TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Rural Roads Projects,District 10,Wolfe,253107,,,CB06,CB06 119 1261 005-008,HINKLE CONTRACTING COMPANY LLC,1011912612501,2025-08-21,352576.57,331326.08
Highway Improvement,District 10,Powell,251021,10-00174.00,,,PROT 6000(214),DELMAE LLC,DE09906132521,2025-08-21,928209.99,928209.99
Pavement Asset Management,District 10,Perry,252279,,,FD05,FD05 097 0267 004-010,MOUNTAIN ENTERPRISES INC,MP09702672501,2025-07-24,537606.62,537606.62
Pavement Asset Management,District 10,Perry,252291,,,FD05,FD05 097 3349 000-003,MOUNTAIN ENTERPRISES INC,MP09733492501,2025-07-24,310044.25,310044.25
Highway Improvement,District 10,Lee,251317,10-00175.00,,,PROT 5262(065),FREDERICK & MAY CONSTRUCTION CO,DE06500522517,2025-07-24,4519237.5,4519237.5
Safety,District 10,Wolfe,254506,10-00952.00,,FD04,FD04 119 0015 000-009,HINKLE CONTRACTING COMPANY LLC,1011900152501,2025-07-24,4845058.35,4845058.35
Pavement Asset Management,District 10,Breathitt,252157,,,FD05,FD05 013 0205 007-010,HINKLE CONTRACTING COMPANY LLC,MP01302052501,2025-06-26,331914.22,331914.22
Rural Roads Projects,District 10,Menifee,253046,,,CB06,CB06 083 0713 000-002,WALKER CONSTRUCTION & MATERIALS LLC,1008307132501,2025-06-26,486853.0,171615.23
Rural Roads Projects,District 10,Menifee,253046,,,CB06,CB06 083 0713 009-013,WALKER CONSTRUCTION & MATERIALS LLC,1008307132502,2025-06-26,486853.0,315237.77
Rural Roads Projects,District 10,Perry,253053,,,CB06,CB06 097 2021 006-008,MOUNTAIN ENTERPRISES INC,1009720212501,2025-06-26,696833.15,149266.21
Rural Roads Projects,District 10,Perry,253053,,,CB06,CB06 097 1088 001-004,MOUNTAIN ENTERPRISES INC,1009710882501,2025-06-26,696833.15,215924.44
Rural Roads Projects,District 10,Perry,253053,,,CB06,CB06 097 2022 007-009,MOUNTAIN ENTERPRISES INC,1009720222501,2025-06-26,696833.15,93227.98
Rural Roads Projects,District 10,Perry,253053,,,CB06,CB06 097 1146 005-007,MOUNTAIN ENTERPRISES INC,1009711462501,2025-06-26,696833.15,95250.88
Rural Roads Projects,District 10,Perry,253053,,,CB06,CB06 097 1067 001-003,MOUNTAIN ENTERPRISES INC,1009710672501,2025-06-26,696833.15,143163.64
Rural Roads Projects,District 10,Breathitt,253043,,,CB06,CB06 013 1098 017-021,HINKLE CONTRACTING COMPANY LLC,1001310982501,2025-06-26,573464.0,346101.24
Rural Roads Projects,District 10,Breathitt,253043,,,CB06,CB06 013 0541 000-002,HINKLE CONTRACTING COMPANY LLC,1001305412501,2025-06-26,573464.0,227362.76
Rural Roads Projects,District 10,Magoffin,253045,,,CB06,CB06 077 2020 000-004,HINKLE CONTRACTING COMPANY LLC,1007720202501,2025-06-26,695982.86,444581.77
Rural Roads Projects,District 10,Magoffin,253045,,,CB06,CB06 077 0364 003-006,HINKLE CONTRACTING COMPANY LLC,1007703642501,2025-06-26,695982.86,251401.09
Rural Roads Projects,District 10,Morgan,253050,,,CB06,CB06 088 0705 002-005,HINKLE CONTRACTING COMPANY LLC,1008807052501,2025-06-26,725713.99,384115.06
Rural Roads Projects,District 10,Morgan,253050,,,CB06,CB06 088 3089 000-003,HINKLE CONTRACTING COMPANY LLC,1008830892501,2025-06-26,725713.99,341598.93
Rural Roads Projects,District 10,Owsley,253051,,,CB06,CB06 095 1411 000-001,HINKLE CONTRACTING COMPANY LLC,1009514112501,2025-06-26,308648.41,102573.68
Rural Roads Projects,District 10,Owsley,253051,,,CB06,CB06 095 0847 002-003,HINKLE CONTRACTING COMPANY LLC,1009508472501,2025-06-26,308648.41,98321.36
Rural Roads Projects,District 10,Owsley,253051,,,CB06,CB06 095 1071 002-004,HINKLE CONTRACTING COMPANY LLC,1009510712501,2025-06-26,308648.41,107753.38
Rural Roads Projects,District 10,Powell,253052,,,CB06,CB06 099 1028 001-003,HINKLE CONTRACTING COMPANY LLC,1009910282501,2025-06-26,488606.54,156710.3
Rural Roads Projects,District 10,Powell,253052,,,CB06,CB06 099 3354 003-006,HINKLE CONTRACTING COMPANY LLC,1009933542501,2025-06-26,488606.54,199446.02
Rural Roads Projects,District 10,Powell,253052,,,CB06,CB06 099 3354 003-006,HINKLE CONTRACTING COMPANY LLC,1009902132501,2025-06-26,488606.54,132450.22
Pavement Asset Management,District 10,Lee,252226,,,FD05,FD05 065 0011 001-005,HINKLE CONTRACTING COMPANY LLC,MP06500112501,2025-05-22,575201.31,575201.31
