TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Bridge Asset Management,District 06,Boone,252952,06-10061.00,,FD04,FD04 008 0275 013-014,SOUTHERN ROAD & BRIDGE LLC,MB008027552,2025-08-21,2479338.0,2160192.5
Highway Improvement,District 06,Campbell,251018,06-20049.00,STP,,STP 5390(014),EATON ASPHALT PAVING CO INC,DE01900082518,2025-08-21,2027174.48,2027174.48
Safety,District 06,Grant,254204,06-09025.00,,HSIP,HSIP 5169(010),HINKLE ENVIRONMENTAL SERVICES LLC,0604104672501,2025-08-21,3498645.3,3209519.99
Rural Roads Projects,District 06,Gallatin,253098,,,CB06,CB06 039 0184 000-007,MAGO CONSTRUCTION COMPANY LLC,0603901842501,2025-08-21,277863.71,277863.71
Rural Roads Projects,District 06,Kenton,253106,,,CB06,CB06 059 0014 003-009,MAGO CONSTRUCTION COMPANY LLC,0605900142501,2025-08-21,557418.5,410611.54
Rural Roads Projects,District 06,Kenton,253106,,,CB06,CB06 059 0536 006-008,MAGO CONSTRUCTION COMPANY LLC,0605905362503,2025-08-21,557418.5,146806.96
Rural Roads Projects,District 06,Boone,253102,,,CB06,CB06 008 0020 008-011,EATON ASPHALT PAVING CO INC,0600800202502,2025-08-21,600452.0,318321.76
Rural Roads Projects,District 06,Boone,253102,,,CB06,CB06 008 1292 002-005,EATON ASPHALT PAVING CO INC,0600812922501,2025-08-21,600452.0,282130.24
Rural Roads Projects,District 06,Robertson,253103,,,CB06,CB06 101 3198 000-003,H G MAYS CORPORATION,0610131982501,2025-08-21,230310.0,145839.79
Rural Roads Projects,District 06,Robertson,253103,,,CB06,CB06 101 0875 000-001,H G MAYS CORPORATION,0610108752501,2025-08-21,230310.0,84470.21
Pavement Asset Management,District 06,Carroll,252296,,,FD05,FD05 021 0071 038-054,LOUISVILLE PAVING COMPANY INC,MP02100712501,2025-07-24,4644000.0,4644000.0
Miscellaneous,District 06,Kenton,252272,,,FE06,FE06 059 2045 000-001,GEORGE B STONE CO LLC,MP05920452501,2025-07-24,24994.0,24994.0
Pavement Asset Management,District 06,Robertson,252274,,,FD05,FD05 101 0165 012-017,H G MAYS CORPORATION,MP10101652501,2025-07-24,415940.0,415940.0
Rural Roads Projects,District 06,Carroll,253072,,,CB06,CB06 021 2984 000-004,HINKLE CONTRACTING COMPANY LLC,0602129842501,2025-07-24,316912.54,316912.54
Rural Roads Projects,District 06,Bracken,253088,,,CB06,CB06 012 0875 007-010,H G MAYS CORPORATION,0601208752502,2025-07-24,317747.0,222125.6
Rural Roads Projects,District 06,Bracken,253088,,,CB06,CB06 012 2370 004-006,H G MAYS CORPORATION,0601223702501,2025-07-24,317747.0,95621.4
Pavement Asset Management,District 06,Bracken,252289,,,FD05,FD05 012 0010 007-014,H G MAYS CORPORATION,MP01200102501,2025-07-24,607576.0,607576.0
Pavement Asset Management,District 06,Carroll,252303,,,FD05,FD05 021 0042 005-008,HINKLE CONTRACTING COMPANY LLC,MP02100422502,2025-07-24,303359.84,303359.84
Rural Roads Projects,District 06,Grant,253076,,,CB06,CB06 041 0491 005-009,MAGO CONSTRUCTION COMPANY LLC,0604104912502,2025-07-24,473791.36,276439.95
Rural Roads Projects,District 06,Grant,253076,,,CB06,CB06 041 1995 003-007,MAGO CONSTRUCTION COMPANY LLC,0604119952501,2025-07-24,473791.36,197351.41
Rural Roads Projects,District 06,Pendleton,253089,,,CB06,CB06 096 3184 000-005,MAGO CONSTRUCTION COMPANY LLC,0609631842501,2025-07-24,621260.52,309479.43
Rural Roads Projects,District 06,Pendleton,253089,,,CB06,CB06 096 0010 007-008,MAGO CONSTRUCTION COMPANY LLC,0609600102502,2025-07-24,621260.52,158940.32
Rural Roads Projects,District 06,Pendleton,253089,,,CB06,CB06 096 0010 007-008,MAGO CONSTRUCTION COMPANY LLC,0609606092501,2025-07-24,621260.52,152840.77
Pavement Asset Management,District 06,Kenton,252273,,,FD05,FD05 059 1930 000-002,MAGO CONSTRUCTION COMPANY LLC,MP05919302501,2025-07-24,119992.14,119992.14
Bridge Asset Management,District 06,Bracken,255383,06-10031.00,"STP, BRZ",,STP BRZ 9030 (501),FREDERICK & MAY CONSTRUCTION CO,BR01205392500,2025-07-24,1554094.0,1554094.0
