TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Rural Roads Projects,District 09,Fleming,253105,,,CB06,CB06 035 0156 002-006,H G MAYS CORPORATION,0903501562501,2025-08-21,786590.0,309360.87
Rural Roads Projects,District 09,Fleming,253105,,,CB06,CB06 035 0161 000-002,H G MAYS CORPORATION,0903501612501,2025-08-21,786590.0,164345.43
Rural Roads Projects,District 09,Fleming,253105,,,CB06,CB06 035 0697 000-003,H G MAYS CORPORATION,0903506972501,2025-08-21,786590.0,312883.69
Pavement Asset Management,District 09,Greenup,252322,,,FD05,FD05 045 0010 000-004,MOUNTAIN ENTERPRISES INC,MP04500102501,2025-08-21,1315851.0,1315851.0
Pavement Asset Management,District 09,Carter,252326,99-511.0.00,,FD05,FD05 068 0057 013-015,HINKLE ENVIRONMENTAL SERVICES LLC,MP06800572502,2025-08-21,1164959.0,443112.69
Pavement Asset Management,District 09,Carter,252326,99-511.0.00,,FD04,FD04 022 0060 000-001,HINKLE ENVIRONMENTAL SERVICES LLC,MP02200602501,2025-08-21,1164959.0,160026.15
Pavement Asset Management,District 09,Carter,252326,99-511.0.00,,FD04,FD04 068 0057 010-011,HINKLE ENVIRONMENTAL SERVICES LLC,MP06800572501,2025-08-21,1164959.0,212608.59
Pavement Asset Management,District 09,Carter,252326,99-511.0.00,,FD04,FD04 068 0008 000-002,HINKLE ENVIRONMENTAL SERVICES LLC,MP06800082501,2025-08-21,1164959.0,349211.57
Miscellaneous,District 09,Greenup,252308,09-04316.00,,FD04,FD04 045 0007 007-013,N H STONE INC,MP04500072501,2025-07-24,66220.0,66220.0
Miscellaneous,District 09,Greenup,252310,09-04314.00,,FD04,FD04 045 0827 004-005,GEORGE B STONE CO LLC,MP04508272501,2025-07-24,21216.75,21216.75
Pavement Asset Management,District 09,Greenup,252254,,,FD05,FD05 045 0207 015-018,MOUNTAIN ENTERPRISES INC,MP04502072501,2025-06-26,813887.5,813887.5
Pavement Asset Management,District 09,Carter,252251,,,FD05,FD05 022 1512 000-002,MOUNTAIN ENTERPRISES INC,MP02215122501,2025-06-26,177719.0,177719.0
Pavement Asset Management,District 09,Fleming,252074,,,FD05,FD05 035 0344 000-002,EATON ASPHALT PAVING CO INC,MP03503442501,2025-06-26,231528.0,231528.0
Pavement Asset Management,District 09,Greenup,252253,,,FD05,FD05 045 1711 000-002,MOUNTAIN ENTERPRISES INC,MP04517112501,2025-06-26,287652.33,287652.33
Rural Roads Projects,District 09,Lewis,253058,,,CB06,CB06 068 1021 003-005,EATON ASPHALT PAVING CO INC,0906810212501,2025-06-26,619873.4,95327.09
Rural Roads Projects,District 09,Lewis,253058,,,CB06,CB06 068 3311 000-007,EATON ASPHALT PAVING CO INC,0906833112501,2025-06-26,619873.4,524546.31
Rural Roads Projects,District 09,Greenup,253056,,,CB06,CB06 045 2070 000-004,MOUNTAIN ENTERPRISES INC,0904520702501,2025-06-26,399991.0,399991.0
Rural Roads Projects,District 09,Carter,253057,,,CB06,CB06 022 1704 000-005,MOUNTAIN ENTERPRISES INC,0902217042501,2025-06-26,763440.0,650464.88
