TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Highway Improvement,District 03,Todd,251113,03-80001.00,,NHPP,NHPP 0791 (008),SCOTTY'S CONTRACTING & STONE LLC,DE11000792513,2025-08-21,7723698.52,7723698.52
Highway Improvement,District 03,Metcalfe,251114,03-08706.00,STP,,STP 5105 (052),SCOTTY'S CONTRACTING & STONE LLC,DE08500682514,2025-08-21,2826306.54,2826306.54
Pavement Asset Management,District 03,Barren,252185,,,FD05,FD05 005 1297 000-008,SCOTTY'S CONTRACTING & STONE LLC,MP00512972501,2025-08-21,932552.86,932552.86
Pavement Asset Management,District 03,Logan,252318,,,FD05,FD05 071 2376 004-008,SCOTTY'S CONTRACTING & STONE LLC,MP07123762501,2025-08-21,225696.07,225696.07
Rural Roads Projects,District 03,Allen,253104,,,CB01,CB01 002 0585 003-008,SCOTTY'S CONTRACTING & STONE LLC,0300205852501,2025-08-21,838738.65,838738.65
Pavement Asset Management,District 03,Logan,252321,,,FD05,FD05 114 3172 000-001,SCOTTY'S CONTRACTING & STONE LLC,MP11431722501,2025-08-21,322103.28,50805.77
Pavement Asset Management,District 03,Logan,252321,,,FD05,FD05 071 3172 000-003,SCOTTY'S CONTRACTING & STONE LLC,MP07131722501,2025-08-21,322103.28,271297.51
Rural Roads Projects,District 03,Warren,253080,,,CB06,CB06 114 2665 000-006,SCOTTY'S CONTRACTING & STONE LLC,0311426652501,2025-07-24,1129547.33,1129547.33
Pavement Asset Management,District 03,Simpson,252183,,,FD05,FD05 107 031W 009-014,SCOTTY'S CONTRACTING & STONE LLC,MP107031W2501,2025-07-24,1041919.93,1041919.93
Rural Roads Projects,District 03,Logan,253074,,,CB06,CB06 071 0663 004-008,SCOTTY'S CONTRACTING & STONE LLC,0307106632501,2025-07-24,742149.46,378265.19
Rural Roads Projects,District 03,Logan,253074,,,CB06,CB06 071 0722 001-005,SCOTTY'S CONTRACTING & STONE LLC,0307107222501,2025-07-24,742149.46,363884.27
Rural Roads Projects,District 03,Edmonson,253086,,,CB06,CB06 031 2336 000-002,SCOTTY'S CONTRACTING & STONE LLC,0303123362501,2025-07-24,576603.91,160572.42
Rural Roads Projects,District 03,Edmonson,253086,,,CB06,CB06 031 1075 000-005,SCOTTY'S CONTRACTING & STONE LLC,0303110752501,2025-07-24,576603.91,416031.48
Rural Roads Projects,District 03,Butler,253073,,,CB06,CB06 016 0340 000-003,SCOTTY'S CONTRACTING & STONE LLC,0301603402501,2025-07-24,680957.55,347547.39
Rural Roads Projects,District 03,Butler,253073,,,CB06,CB06 016 1153 004-008,SCOTTY'S CONTRACTING & STONE LLC,0301611532501,2025-07-24,680957.55,333410.16
Rural Roads Projects,District 03,Barren,253082,,,CB06,CB06 005 0839 000-007,SCOTTY'S CONTRACTING & STONE LLC,0300508392501,2025-07-24,998933.23,715735.98
Rural Roads Projects,District 03,Barren,253082,,,CB06,CB06 005 2131 000-002,SCOTTY'S CONTRACTING & STONE LLC,0300521312502,2025-07-24,998933.23,283197.24
Rural Roads Projects,District 03,Todd,253075,,,CB06,CB06 110 0507 001-009,SCOTTY'S CONTRACTING & STONE LLC,0311005072501,2025-07-24,642784.07,642784.07
Rural Roads Projects,District 03,Metcalfe,253079,,,CB06,CB06 085 0533 000-005,SCOTTY'S CONTRACTING & STONE LLC,0308505332502,2025-07-24,463931.63,463931.63
Safety,District 03,Various,254000,03-00960.00,,HSIP,HSIP 9010(563),REYNOLDS SEALING AND STRIPING INC,0312199992501,2025-07-24,1059956.05,1059956.05
Rural Roads Projects,District 03,Allen,253067,,,CB06,CB06 002 1855 000-007,SCOTTY'S CONTRACTING & STONE LLC,0300218552501,2025-06-26,709405.13,709405.13
Highway Improvement,District 03,Warren,251110,03-80318.00,,FD04,FD04 114 0234 010-011,SCOTTY'S CONTRACTING & STONE LLC,DE11402342510,2025-06-26,403779.68,403779.68
Pavement Asset Management,District 03,Barren,252064,,,FD05,FD05 005 31EX 000-002,SCOTTY'S CONTRACTING & STONE LLC,MP00531EX2501,2025-06-26,296317.81,296317.81
Pavement Asset Management,District 03,Logan,252182,,,FD05,FD05 071 0100 000-010,SCOTTY'S CONTRACTING & STONE LLC,MP07101002501,2025-06-26,1014203.93,1014203.93
Rural Roads Projects,District 03,Monroe,253068,,,CB06,CB06 086 0100 007-012,SCOTTY'S CONTRACTING & STONE LLC,0208601002501,2025-06-26,656516.53,656516.53
Rural Roads Projects,District 03,Simpson,253069,,,CB06,CB06 107 2592 000-001,SCOTTY'S CONTRACTING & STONE LLC,0310725922501,2025-06-26,460675.23,149897.54
Rural Roads Projects,District 03,Simpson,253069,,,CB06,CB06 107 0622 008-012,SCOTTY'S CONTRACTING & STONE LLC,0310706222501,2025-06-26,460675.23,310777.69
Highway Improvement,District 03,Barren,251900,03-08819.00,,,FD06 005 0090 000-009,SCOTTY'S CONTRACTING & STONE LLC,DE00500902501,2025-06-26,6626681.16,6626681.16
Highway Improvement,District 03,Logan,251108,03-80216.00,,FD04,FD04 071 068X 004-005,SCOTTY'S CONTRACTING & STONE LLC,DE071068X2508,2025-05-22,336738.69,336738.69
Pavement Asset Management,District 03,Logan,252201,,,FD05,FD05 071 0106 007-016,SCOTTY'S CONTRACTING & STONE LLC,MP07101062501,2025-05-22,1039142.54,1039142.54
