TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Highway Improvement,District 01,Marshall,251115,01-20034.00,,NHPP,NHPP 0241(095),JIM SMITH CONTRACTING COMPANY LLC,DE07900242515,2025-08-21,10142639.13,10142639.13
Pavement Asset Management,District 01,Trigg,252331,,,FD05,FD05 111 068X 002-005,ROGERS GROUP INC,MP111068X2501,2025-08-21,681815.26,681815.26
Pavement Asset Management,District 01,McCracken,252311,,,FD05,FD05 073 045X 000-003,JIM SMITH CONTRACTING COMPANY LLC,MP073045X25W1,2025-07-24,1125700.37,798858.29
Pavement Asset Management,District 01,McCracken,252311,,,FD04,FD04 073 045X 000-003,JIM SMITH CONTRACTING COMPANY LLC,MP073045X25W2,2025-07-24,1125700.37,326842.08
Pavement Asset Management,District 01,Fulton,252236,,,FD05,FD05 038 0094 013-023,JIM SMITH CONTRACTING COMPANY LLC,MP03800942501,2025-06-26,1518115.7,1518115.7
Pavement Asset Management,District 01,Lyon,252243,,,FD05,FD05 072 0062 006-010,JIM SMITH CONTRACTING COMPANY LLC,MP07200622501,2025-06-26,1342052.17,1342052.17
Pavement Asset Management,District 01,Calloway,252212,,,FD05,FD05 018 0080 016-023,JIM SMITH CONTRACTING COMPANY LLC,MP01800802501,2025-05-22,1349634.98,1349634.98
Pavement Asset Management,District 01,Marshall,252213,,,FD05,FD05 079 0094 000-001,JIM SMITH CONTRACTING COMPANY LLC,MP07900942501,2025-05-22,126003.2,126003.2
Pavement Asset Management,District 01,Graves,252207,,,FD05,FD05 042 0094 000-006,JIM SMITH CONTRACTING COMPANY LLC,MP04200942501,2025-05-22,1494596.6,875815.29
Pavement Asset Management,District 01,Graves,252207,,,FD05,FD05 042 0094 015-020,JIM SMITH CONTRACTING COMPANY LLC,MP04200942502,2025-05-22,1494596.6,618781.31
Bridge Asset Management,District 01,Calloway,255379,01-10024.00,"STP, BRZ",,STP BRZ 9030 (247),YOUNGBLOOD EXCAVATING & CONTRACTING LLC,BR01811832500,2025-04-24,258367.0,258367.0
Highway Improvement,District 01,Fulton,251305,01-08853.00,STP,,STP 6000 (213),HARPER CONSTRUCTION LLC,DE03810992505,2025-04-24,2590016.98,2590016.98
Pavement Asset Management,District 01,Crittenden,252070,,,FD05,FD05 028 0120 000-017,ROGERS GROUP INC,MP02801202501,2025-03-20,1286231.61,1286231.61
Pavement Asset Management,District 01,Ballard,252142,,,FD05,FD05 004 0121 005-009,JIM SMITH CONTRACTING COMPANY LLC,MP00401212501,2025-03-20,480199.4,480199.4
Pavement Asset Management,District 01,Fulton,252144,,,FD05,FD05 038 0045 000-002,JIM SMITH CONTRACTING COMPANY LLC,MP03800452501,2025-03-20,194873.2,194873.2
Pavement Asset Management,District 01,McCracken,252145,,,FD05,FD05 073 0358 003-009,JIM SMITH CONTRACTING COMPANY LLC,MP07303582501,2025-03-20,591255.5,591255.5
Pavement Asset Management,District 01,Various,252146,,,FD05,FD05 073 0994 002-007,JIM SMITH CONTRACTING COMPANY LLC,MP07309942501,2025-03-20,1329981.9,583389.82
Pavement Asset Management,District 01,Various,252146,,,FD05,FD05 042 0994 000-005,JIM SMITH CONTRACTING COMPANY LLC,MP04209942501,2025-03-20,1329981.9,746592.08
