TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Pavement Asset Management,District 11,Bell,252332,,,FD05,FD05 007 0074 011-014,HINKLE CONTRACTING COMPANY LLC,MP00700742501,2025-08-21,1287371.68,367189.95
Pavement Asset Management,District 11,Bell,252332,,,FD05,FD05 007 0186 001-003,HINKLE CONTRACTING COMPANY LLC,MP00701862501,2025-08-21,1287371.68,263209.55
Pavement Asset Management,District 11,Bell,252332,,,FD05,FD05 007 2079 000-004,HINKLE CONTRACTING COMPANY LLC,MP00720792502,2025-08-21,1287371.68,656972.19
Bridge Asset Management,District 11,Harlan,255386,11-10018.00,"STP, BRZ",,STP BRZ 9030 (325),IRVINE CONTRACTING LIMITED LIABILITY COMPANY,BR04810412500,2025-08-21,2436560.21,2436560.21
Pavement Asset Management,District 11,Laurel,252325,,,FD05,FD05 063 0363 003-007,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06303632503,2025-08-21,429831.1,429831.1
Miscellaneous,District 11,Knox,252312,11-04309.00,,FD04,FD04 061 0229 005-006,N W K CONSTRUCTION INC,MP06102292501,2025-08-21,76050.09,76050.09
Miscellaneous,District 11,Harlan,252330,11-04403.00,,FD04,FD04 048 0840 002-003,N H STONE INC,MP04808402501,2025-08-21,65061.0,19397.0
Miscellaneous,District 11,Harlan,252330,11-04402.00,,FD04,FD04 048 0072 000-002,N H STONE INC,MP04800722501,2025-08-21,65061.0,45664.02
Bridge Asset Management,District 11,Jackson,252988,,,FE02,FE02 055 3630 B00034N,IRVINE CONTRACTING LIMITED LIABILITY COMPANY,MB05536302588,2025-08-21,648801.25,648801.25
Highway Improvement,District 11,Various,251016,11-00014.00,,NHPP,NHPP IM 0752 (104),L-M ASPHALT DBA ATS CONST J/V KAY & KAY CONTRACTING LLC,DE11800752516,2025-07-24,147559358.08,122401570.28
Highway Improvement,District 11,Various,251016,11-00014.00,,NHPP,NHPP IM 0752 (104),L-M ASPHALT DBA ATS CONST J/V KAY & KAY CONTRACTING LLC,DE06300752516,2025-07-24,147559358.08,25157787.82
Rural Roads Projects,District 11,Knox,253071,,,CB06,CB06 061 1803 005-006,HINKLE CONTRACTING COMPANY LLC,1106118032501,2025-07-24,1214407.67,125074.34
Rural Roads Projects,District 11,Knox,253071,,,CB06,CB06 061 0225 003-006,HINKLE CONTRACTING COMPANY LLC,1106102252502,2025-07-24,1214407.67,442617.11
Rural Roads Projects,District 11,Knox,253071,,,CB06,CB06 061 0930 003-004,HINKLE CONTRACTING COMPANY LLC,1106109302501,2025-07-24,1214407.67,183848.95
Rural Roads Projects,District 11,Knox,253071,,,CB06,CB06 061 1304 006-009,HINKLE CONTRACTING COMPANY LLC,1106113042501,2025-07-24,1214407.67,462867.27
Pavement Asset Management,District 11,Laurel,252287,,,FD05,FD05 063 1223 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06312232501,2025-07-24,181801.69,181801.69
Pavement Asset Management,District 11,Harlan,252293,,,FD05,FD05 048 0119 026-029,MOUNTAIN ENTERPRISES INC,MP04801192501,2025-07-24,527836.35,527836.35
Pavement Asset Management,District 11,Clay,252280,,,FD05,FD05 026 0066 027-029,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP02600662503,2025-07-24,219466.95,219466.95
Pavement Asset Management,District 11,Whitley,252281,,,FD05,FD05 118 0628 000-004,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP11806282501,2025-07-24,672016.6,365225.6
Pavement Asset Management,District 11,Whitley,252281,,,FD05,FD05 118 2792 003-006,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP11827922501,2025-07-24,672016.6,306791.0
Miscellaneous,District 11,Bell,252286,11-04396.00,,FD04,FD04 007 0066 006-008,GEORGE B STONE CO LLC,MP00700662502,2025-07-24,766068.0,269848.59
Miscellaneous,District 11,Bell,252286,11-04393.00,,FD04,FD04 007 1491 000-001,GEORGE B STONE CO LLC,MP00714912501,2025-07-24,766068.0,68595.62
Miscellaneous,District 11,Bell,252286,11-04394.00,,FD04,FD04 007 0190 004-010,GEORGE B STONE CO LLC,MP00701902502,2025-07-24,766068.0,134396.94
Miscellaneous,District 11,Bell,252286,11-04398.00,,FD04,FD04 007 0092 003-006,GEORGE B STONE CO LLC,MP00700922501,2025-07-24,766068.0,293226.84
Bridge Asset Management,District 11,Leslie,255384,11-10093.00,"STP, BRZ",,STP BRZ 9030 (502),BUSH & BURCHETT INC,BR06613852500,2025-07-24,381918.8,381918.8
Safety,District 11,Harlan,254107,11-09031.00,,FD04,FD04 048 0119 007-011,MOUNTAIN ENTERPRISES INC,1104801192501,2025-07-24,2022822.62,2022822.62
Bridge Asset Management,District 11,Bell,252986,,,FE02,FE02 007 0217 B00064N,KAY & KAY CONTRACTING LLC,MB00702172586,2025-06-26,367311.28,367311.28
Pavement Asset Management,District 11,Bell,252237,,,FD05,FD05 007 0066 000-005,HINKLE CONTRACTING COMPANY LLC,MP00700662501,2025-06-26,901201.38,901201.38
Pavement Asset Management,District 11,Clay,252262,,,FD05,FD05 026 0066 009-014,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP02600662502,2025-06-26,576839.25,576839.25
Rural Roads Projects,District 11,Jackson,253066,,,CB06,CB06 055 0089 001-007,THE ALLEN COMPANY INC,1105500892502,2025-06-26,569615.1,569615.1
Rural Roads Projects,District 11,Whitley,253070,,,CB06,CB06 118 0511 001-006,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1111805112501,2025-06-26,1331587.4,478245.84
Rural Roads Projects,District 11,Whitley,253070,,,CB06,CB06 118 0904 010-012,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1111809042501,2025-06-26,1331587.4,142029.16
Rural Roads Projects,District 11,Whitley,253070,,,CB06,CB06 118 0779 005-008,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1111807792502,2025-06-26,1331587.4,309199.38
Rural Roads Projects,District 11,Whitley,253070,,,CB06,CB06 118 0904 004-008,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,1111809042502,2025-06-26,1331587.4,402113.01
Rural Roads Projects,District 11,Harlan,253063,,,CB06,CB06 048 0987 006-012,MOUNTAIN ENTERPRISES INC,1104809872501,2025-06-26,1045179.0,475149.2
Rural Roads Projects,District 11,Harlan,253063,,,CB06,CB06 048 1780 000-003,MOUNTAIN ENTERPRISES INC,1104817802501,2025-06-26,1045179.0,264406.82
Rural Roads Projects,District 11,Harlan,253063,,,CB06,CB06 048 3467 000-001,MOUNTAIN ENTERPRISES INC,1104834672501,2025-06-26,1045179.0,57912.79
Rural Roads Projects,District 11,Harlan,253063,,,CB06,CB06 048 1137 000-002,MOUNTAIN ENTERPRISES INC,1104811372501,2025-06-26,1045179.0,247710.18
Rural Roads Projects,District 11,Bell,253047,,,CB06,CB06 007 0217 000-003,HINKLE CONTRACTING COMPANY LLC,1100702172501,2025-06-26,883248.33,293060.97
Rural Roads Projects,District 11,Bell,253047,,,CB06,CB06 007 1534 001-006,HINKLE CONTRACTING COMPANY LLC,1100715342501,2025-06-26,883248.33,590187.36
Pavement Asset Management,District 11,Various,252235,,,FD05,FD05 118 0727 003-005,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP11807272501,2025-06-26,849575.5,245169.11
Pavement Asset Management,District 11,Various,252235,,,FD05,FD05 118 1259 002-005,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP11812592501,2025-06-26,849575.5,222237.44
Pavement Asset Management,District 11,Various,252235,,,FD05,FD05 061 0312 000-002,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP06103122501,2025-06-26,849575.5,91102.3
Pavement Asset Management,District 11,Various,252235,,,FD05,FD05 118 2384 000-001,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,MP11823842501,2025-06-26,849575.5,91602.15
