TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Rural Roads Projects,District 04,Green,253100,,,CB06,CB06 044 1048 000-003,HAYDON MATERIALS LLC,0404410482501,2025-08-21,731654.87,336511.17
Rural Roads Projects,District 04,Green,253100,,,CB06,CB06 044 0569 008-010,HAYDON MATERIALS LLC,0404405692501,2025-08-21,731654.87,212307.13
Rural Roads Projects,District 04,Green,253100,,,CB06,CB06 044 0323 003-005,HAYDON MATERIALS LLC,0404403232501,2025-08-21,731654.87,182836.58
Rural Roads Projects,District 04,Marion,253101,,,CB06,CB06 078 0327 000-002,HAYDON MATERIALS LLC,0407803272501,2025-08-21,628774.49,224833.72
Rural Roads Projects,District 04,Marion,253101,,,CB06,CB06 078 0429 000-001,HAYDON MATERIALS LLC,0407804292501,2025-08-21,628774.49,122761.06
Rural Roads Projects,District 04,Marion,253101,,,CB06,CB06 078 0152 000-002,HAYDON MATERIALS LLC,0407801522501,2025-08-21,628774.49,281179.73
Rural Roads Projects,District 04,Taylor,253099,,,CB06,CB06 109 0659 003-004,HAYDON MATERIALS LLC,0410906592501,2025-08-21,578543.59,71608.88
Rural Roads Projects,District 04,Taylor,253099,,,CB06,CB06 109 0744 012-017,HAYDON MATERIALS LLC,0410907442501,2025-08-21,578543.59,506934.71
Pavement Asset Management,District 04,Marion,252173,,,FD05,FD05 078 0049 033-035,HAYDON MATERIALS LLC,MP07800492501,2025-08-21,120295.49,120295.49
Pavement Asset Management,District 04,Breckinridge,252320,,,FD05,FD05 014 1073 000-008,MAGO CONSTRUCTION COMPANY LLC,MP01410732501,2025-08-21,810775.0,431010.82
Pavement Asset Management,District 04,Breckinridge,252320,,,FD05,FD05 014 1385 000-005,MAGO CONSTRUCTION COMPANY LLC,MP01413852501,2025-08-21,810775.0,379764.18
Pavement Asset Management,District 04,Taylor,252284,,,FD05,FD05 109 1625 000-001,HAYDON MATERIALS LLC,MP10916252501,2025-07-24,96026.61,96026.61
