TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Bridge Asset Management,District 02,Christian,251903,,,FE02,FE02 024 0064 B000132LR,ROGERS GROUP INC,MB02400242501,2025-08-21,26076729.21,732698.67
Highway Improvement,District 02,Christian,251903,02-20063.00,,NHPP,NHPP 0243(059),ROGERS GROUP INC,DE02400242501,2025-08-21,26076729.21,25344030.54
Pavement Asset Management,District 02,Muhlenberg,252314,,,FD05,FD05 089 0600 000-003,SCOTTY'S CONTRACTING & STONE LLC,MP08906002501,2025-08-21,213090.93,213090.93
Safety,District 02,Hancock,254108,02-09026.00,,FD04,FD04 046 0060 013-018,E & B PAVING LLC,0204600602501,2025-08-21,1608000.0,1608000.0
Pavement Asset Management,District 02,McLean,252313,,,FD05,FD05 075 0797 000-003,SCOTTY'S CONTRACTING & STONE LLC,MP07507972501,2025-08-21,379757.55,181782.74
Pavement Asset Management,District 02,McLean,252313,,,FD05,FD05 075 0796 000-002,SCOTTY'S CONTRACTING & STONE LLC,MP07507962501,2025-08-21,379757.55,197974.82
Highway Improvement,District 02,Muhlenberg,251312,02-80100.00,STP,,STP 9031 (032),SCOTTY'S CONTRACTING & STONE LLC,DE08902462512,2025-07-24,2865924.82,2865924.82
Pavement Asset Management,District 02,Ohio,252294,,,FD05,FD05 092 2671 000-003,SCOTTY'S CONTRACTING & STONE LLC,MP09226712501,2025-07-24,234177.82,234177.82
Rural Roads Projects,District 02,Christian,253093,,,CB06,CB06 024 0117 014-016,ROGERS GROUP INC,0202401172501,2025-07-24,1122711.82,189904.68
Rural Roads Projects,District 02,Christian,253093,,,CB06,CB06 024 1026 006-011,ROGERS GROUP INC,0202410262501,2025-07-24,1122711.82,477769.18
Rural Roads Projects,District 02,Christian,253093,,,CB06,CB06 024 1027 002-007,ROGERS GROUP INC,0202410272501,2025-07-24,1122711.82,455037.96
Rural Roads Projects,District 02,Caldwell,253091,,,CB06,CB06 017 1592 003-005,ROGERS GROUP INC,0201715922501,2025-07-24,400880.67,148254.76
Rural Roads Projects,District 02,Caldwell,253091,,,CB06,CB06 017 0672 008-011,ROGERS GROUP INC,0201706722501,2025-07-24,400880.67,252625.91
Pavement Asset Management,District 02,Various,252295,,,FD05,FD05 030 0334 000-002,HINKLE CONTRACTING COMPANY LLC,MP03003342501,2025-07-24,212910.81,212910.81
Pavement Asset Management,District 02,Various,252300,,,FD05,FD05 030 1514 000-007,HINKLE CONTRACTING COMPANY LLC,MP03015142501,2025-07-24,586216.0,586216.0
Pavement Asset Management,District 02,Hancock,252305,,,FD05,FD05 046 0060 002-010,HINKLE CONTRACTING COMPANY LLC,MP04600602502,2025-07-24,745987.25,745987.25
Pavement Asset Management,District 02,Hancock,252301,,,FD05,FD05 046 0334 011-016,HINKLE CONTRACTING COMPANY LLC,MP04603342501,2025-07-24,394934.75,394934.75
Pavement Asset Management,District 02,Various,252306,,,FD05,FD05 030 2155 001-004,HINKLE CONTRACTING COMPANY LLC,MP03021552501,2025-07-24,385268.0,385268.0
Pavement Asset Management,District 02,Hancock,252247,02-20022.00,STP,,STP 0601(216),JBI CONSTRUCTION INC,MP04600602501,2025-07-24,5849950.0,5849950.0
Pavement Asset Management,District 02,Various,252116,,,FD05,FD05 030 0144 009-015,HINKLE CONTRACTING COMPANY LLC,MP03001442501,2025-07-24,2392310.17,866806.69
Pavement Asset Management,District 02,Various,252116,,,FD05,FD05 030 0054 008-016,HINKLE CONTRACTING COMPANY LLC,MP03000542501,2025-07-24,2392310.17,1525503.47
Bridge Asset Management,District 02,Hopkins,255382,02-10024.00,"STP, BRZ",,STP BRZ 9030 (500),GALUSHA CONTRACTING LLC,BR05401382500,2025-07-24,6633270.8,6633270.8
Pavement Asset Management,District 02,Various,252234,,,FD05,FD05 030 0081 005-011,HINKLE CONTRACTING COMPANY LLC,MP03000812501,2025-06-26,1035152.15,1035152.15
Pavement Asset Management,District 02,Caldwell,252265,,,FD05,FD05 017 0091 012-020,ROGERS GROUP INC,MP01700912501,2025-06-26,1376905.68,1376905.68
Pavement Asset Management,District 02,Muhlenberg,252242,,,FD05,FD05 089 0431 018-022,SCOTTY'S CONTRACTING & STONE LLC,MP08904312502,2025-06-26,928745.04,928745.04
Rural Roads Projects,District 02,Muhlenberg,253039,,,CB06,CB06 089 0853 000-003,SCOTTY'S CONTRACTING & STONE LLC,0208908532501,2025-06-26,306714.5,306714.5
Rural Roads Projects,District 02,Hopkins,253064,,,CB06,CB06 054 0254 007-012,SCOTTY'S CONTRACTING & STONE LLC,0205402542501,2025-06-26,780719.44,426701.73
Rural Roads Projects,District 02,Hopkins,253064,,,CB06,CB06 054 0281 005-009,SCOTTY'S CONTRACTING & STONE LLC,0205402812501,2025-06-26,780719.44,354017.71
Pavement Asset Management,District 02,Christian,252079,,,FD05,FD05 024 1682 001-004,ROGERS GROUP INC,MP02416822501,2025-05-22,823284.14,823284.14
Pavement Asset Management,District 02,McLean,252155,,,FD05,FD05 075 0431 003-006,HINKLE CONTRACTING COMPANY LLC,MP07504312501,2025-05-22,468901.75,468901.75
Pavement Asset Management,District 02,McLean,252156,,,FD05,FD05 075 0056 004-006,HINKLE CONTRACTING COMPANY LLC,MP07500562501,2025-05-22,144297.75,144297.75
Pavement Asset Management,District 02,Hopkins,252190,,,FD05,FD05 054 2171 000-004,SCOTTY'S CONTRACTING & STONE LLC,MP05421712501,2025-05-22,806696.58,806696.58
Pavement Asset Management,District 02,Christian,252196,,,FD05,FD05 024 0109 029-034,ROGERS GROUP INC,MP02401092502,2025-05-22,572655.13,572655.13
Pavement Asset Management,District 02,Hopkins,252189,,,FD05,FD05 054 1246 000-002,SCOTTY'S CONTRACTING & STONE LLC,MP05412462501,2025-05-22,600988.53,189324.13
Pavement Asset Management,District 02,Hopkins,252189,,,FD05,FD05 054 0109 000-003,SCOTTY'S CONTRACTING & STONE LLC,MP05401092502,2025-05-22,600988.53,411664.4
Pavement Asset Management,District 02,Christian,252195,,,FD05,FD05 024 0107 019-022,ROGERS GROUP INC,MP02401072502,2025-05-22,564100.4,249172.41
Pavement Asset Management,District 02,Christian,252195,,,FD05,FD05 024 0695 010-012,ROGERS GROUP INC,MP02406952501,2025-05-22,564100.4,314928.0
Rural Roads Projects,District 02,McLean,253022,,,CB06,CB06 075 1155 000-003,SCOTTY'S CONTRACTING & STONE LLC,0207511552501,2025-04-24,222254.68,222254.68
Pavement Asset Management,District 02,Christian,252188,,,FD05,FD05 024 0272 009-011,ROGERS GROUP INC,MP02402722502,2025-04-24,365092.2,199422.07
Pavement Asset Management,District 02,Christian,252188,,,FD05,FD05 024 0272 006-008,ROGERS GROUP INC,MP02402722501,2025-04-24,365092.2,165670.14
Miscellaneous,District 02,Various,252194,02-04312.00,,FD04,FD04 075 0431 001-002,N W K CONSTRUCTION INC,MP07504312502,2025-04-24,176133.13,93389.01
Miscellaneous,District 02,Various,252194,02-04308.00,,FD04,FD04 089 0062 017-018,N W K CONSTRUCTION INC,MP08900622502,2025-04-24,176133.13,25258.63
Miscellaneous,District 02,Various,252194,02-04307.00,,FD04,FD04 089 0171 005-006,N W K CONSTRUCTION INC,MP08901712501,2025-04-24,176133.13,57485.5
Bridge Asset Management,District 02,Various,255378,02-10002.00,"STP, BRZ",,STP BRZ 9030 (496),SCOTT AND MURPHY INC,BR03010682500,2025-04-24,192379.0,192379.0
Pavement Asset Management,District 02,Hopkins,252149,,,FD05,FD05 054 0109 014-019,SCOTTY'S CONTRACTING & STONE LLC,MP05401092501,2025-03-20,498588.81,498588.81
Pavement Asset Management,District 02,Hopkins,252150,,,FD05,FD05 054 0262 003-005,SCOTTY'S CONTRACTING & STONE LLC,MP05402622501,2025-03-20,245318.96,245318.96
Pavement Asset Management,District 02,Muhlenberg,252096,,,FD05,FD05 089 0070 013-015,SCOTTY'S CONTRACTING & STONE LLC,MP08900702501,2025-03-20,182333.56,182333.56
Highway Improvement,District 02,McLean,251006,02-08852.00,,FD04,FD04 075 0056 006-007,SCOTTY'S CONTRACTING & STONE LLC,DE07500562504,2025-03-20,1338617.87,1338617.87
Bridge Asset Management,District 02,Christian,252963,,,FE02,FE02 024 0041 B00027N,DELONG CONCRETE LLC,MB02400412501,2025-03-20,500575.84,365822.76
Bridge Asset Management,District 02,Christian,252963,,,FE02,FE02 024 0107 B00016N,DELONG CONCRETE LLC,MB02401072501,2025-03-20,500575.84,134753.08
Rural Roads Projects,District 02,Various,253018,,,CB06,CB06 030 0662 000-004,HINKLE CONTRACTING COMPANY LLC,0203006622501,2025-03-20,810487.65,272452.83
Rural Roads Projects,District 02,Various,253018,,,CB06,CB06 030 0140 000-007,HINKLE CONTRACTING COMPANY LLC,0203001402501,2025-03-20,810487.65,538034.82
Rural Roads Projects,District 02,Hancock,253019,,,CB06,CB06 046 0662 000-001,HINKLE CONTRACTING COMPANY LLC,0204606622501,2025-03-20,266335.29,74728.22
Rural Roads Projects,District 02,Hancock,253019,,,CB06,CB06 046 1700 006-010,HINKLE CONTRACTING COMPANY LLC,0204617002501,2025-03-20,266335.29,191607.07
Miscellaneous,District 02,Various,252002,,,FE01,FE01 121 DW25 0020000,REYNOLDS-CENTRAL SEAL A JOINT VENTURE,MP12100002502,2025-02-20,1985000.0,1985000.0
Safety,District 02,Christian,254501,02-00938.00,,HSIP,HSIP 5041(013),WESTATE CONSTRUCTION INC,0202401092501,2025-02-20,2602166.84,1850652.05
Pavement Asset Management,District 02,Christian,254501,,,FD05,FD05 024 0109 017-024,WESTATE CONSTRUCTION INC,MP02401092501,2025-02-20,2602166.84,751514.79
