TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Safety,District 12,Various,254001,12-00977.00,,HSIP,HSIP 9010(733),M&M SERVICES CO INC,1212199992501,2025-08-21,161429.0,161429.0
Pavement Asset Management,District 12,Lawrence,252328,,,FD05,FD05 064 0001 000-004,BTI CONTRACTING INC DBA BLACKTOP INDUSTRIES,MP06400012501,2025-08-21,457278.1,457278.1
Pavement Asset Management,District 12,Johnson,252327,,,FD05,FD05 058 0825 000-002,MOUNTAIN ENTERPRISES INC,MP05808252501,2025-08-21,200130.13,200130.13
Pavement Asset Management,District 12,Letcher,252323,,,FD05,FD05 067 0931 001-006,MOUNTAIN ENTERPRISES INC,MP06709312503,2025-08-21,745276.0,745276.0
Pavement Asset Management,District 12,Pike,252333,,,FD05,FD05 098 1056 004-012,MOUNTAIN ENTERPRISES INC,MP09810562501,2025-08-21,972897.5,972897.5
Miscellaneous,District 12,Martin,252315,12-04450.00,,FD04,FD04 080 0292 007-023,N H STONE INC,MP08002922501,2025-08-21,231864.5,231864.5
Pavement Asset Management,District 12,Lawrence,252307,,,FD05,FD05 064 0023 018-022,MOUNTAIN ENTERPRISES INC,MP06400232501,2025-07-24,3382618.83,2175235.6
Pavement Asset Management,District 12,Lawrence,252307,,,FD05,FD05 064 2565 000-003,MOUNTAIN ENTERPRISES INC,MP06425652501,2025-07-24,3382618.83,894507.49
Pavement Asset Management,District 12,Lawrence,252307,,,FD05,FD05 064 0032 021-024,MOUNTAIN ENTERPRISES INC,MP06400322501,2025-07-24,3382618.83,312875.73
Highway Improvement,District 12,Knott,251014,12-00162.00,,EK57,EK57 060 1442 000-001,FREDERICK & MAY CONSTRUCTION CO,DE06014422514,2025-07-24,7472773.04,7472773.04
Pavement Asset Management,District 12,Pike,252263,,,FD05,FD05 098 1384 006-008,MOUNTAIN ENTERPRISES INC,MP09813842501,2025-06-26,453729.5,453729.5
Highway Improvement,District 12,Martin,251310,12-04093.00,BRZ,,BRZ 1203 (417),HINKLE CONSTRUCTION SERVICES LLC,DE08012152510,2025-05-22,549090.71,549090.71
Pavement Asset Management,District 12,Martin,252199,,,FD05,FD05 080 0040 011-017,MOUNTAIN ENTERPRISES INC,MP08000402501,2025-04-24,3374059.6,1114933.26
Pavement Asset Management,District 12,Martin,252199,,,FD05,FD05 080 0003 007-010,MOUNTAIN ENTERPRISES INC,MP08000032503,2025-04-24,3374059.6,1806193.06
Pavement Asset Management,District 12,Martin,252199,,,FD05,FD05 080 0003 011-014,MOUNTAIN ENTERPRISES INC,MP08000032502,2025-04-24,3374059.6,452933.28
Pavement Asset Management,District 12,Knott,252136,,,FD05,FD05 060 0080 016-021,MOUNTAIN ENTERPRISES INC,MP06000802501,2025-03-20,2720006.5,2720006.5
Pavement Asset Management,District 12,Pike,252134,,,FD05,FD05 098 0194 044-049,MOUNTAIN ENTERPRISES INC,MP09801942501,2025-03-20,684649.0,684649.0
Pavement Asset Management,District 12,Pike,252159,,,FD05,FD05 098 0199 008-012,MOUNTAIN ENTERPRISES INC,MP09801992401,2025-03-20,488382.5,488382.5
Bridge Asset Management,District 12,Lawrence,252980,,,FE02,FE02 064 0001 B00027N,WALKER CONSTRUCTION & MATERIALS LLC,MB06400012501,2025-03-20,1191191.91,1191191.91
Miscellaneous,District 12,Various,252012,,,FE01,FE01 121 DW25 0120000,OGLESBY CONSTRUCTION INC,MP12100002512,2025-02-20,1069958.97,1069958.97
Pavement Asset Management,District 12,Johnson,252078,,,FD05,FD05 058 1428 000-004,MOUNTAIN ENTERPRISES INC,MP05814282501,2025-02-20,711835.24,711835.24
Bridge Asset Management,District 12,Letcher,252971,12-10117.00,STP,,STP 1203 (415),CENTRAL BRIDGE CO LLC,MB06708052501,2025-02-20,609508.6,609508.6
Pavement Asset Management,District 12,Letcher,252037,,,FD05,FD05 067 0931 000-002,MOUNTAIN ENTERPRISES INC,MP06709312501,2025-01-23,928538.94,233485.34
Pavement Asset Management,District 12,Letcher,252037,,,FD05,FD05 067 0931 005-011,MOUNTAIN ENTERPRISES INC,MP06709312502,2025-01-23,928538.94,695053.61
Pavement Asset Management,District 12,Floyd,252041,,,FD05,FD05 036 0302 000-004,MOUNTAIN ENTERPRISES INC,MP03603022501,2025-01-23,509287.68,295612.86
Pavement Asset Management,District 12,Floyd,252041,,,FD05,FD05 036 3024 001-003,MOUNTAIN ENTERPRISES INC,MP03630242501,2025-01-23,509287.68,213674.83
Pavement Asset Management,District 12,Letcher,252036,,,FD05,FD05 067 0007 002-006,MOUNTAIN ENTERPRISES INC,MP06700072501,2025-01-23,362392.15,362392.15
Pavement Asset Management,District 12,Martin,252038,,,FD05,FD05 080 0003 013-022,MOUNTAIN ENTERPRISES INC,MP08000032501,2025-01-23,1026971.29,1026971.29
Bridge Asset Management,District 12,Letcher,257000,,,FD51,FD51 067 1339 C000009,WALKER CONSTRUCTION & MATERIALS LLC,MB06713392501,2025-01-23,234234.0,234234.0
Safety,District 12,Floyd,254103,12-00972.00,,HSIP,HSIP 9010(635),GEORGE B STONE CO LLC,1203601142401,2025-01-23,437485.0,437485.0
Pavement Asset Management,District 12,Johnson,242419,,,FD05,FD05 058 3214 000-004,BTI CONTRACTING INC DBA BLACKTOP INDUSTRIES,MP05832142401,2024-12-12,329856.0,329856.0
Pavement Asset Management,District 12,Knott,242372,,,FD05,FD05 060 0550 013-016,MOUNTAIN ENTERPRISES INC,MP06005502401,2024-12-12,351165.45,351165.45
Pavement Asset Management,District 12,Floyd,242376,,,FD05,FD05 036 0003 001-005,MOUNTAIN ENTERPRISES INC,MP03600032401,2024-12-12,2013160.74,2013160.74
Pavement Asset Management,District 12,Knott,242370,,,FD05,FD05 060 0160 010-013,MOUNTAIN ENTERPRISES INC,MP06001602401,2024-11-14,782305.75,782305.75
Pavement Asset Management,District 12,Johnson,242375,,,FD05,FD05 058 0172 000-002,MOUNTAIN ENTERPRISES INC,MP05801722401,2024-11-14,290990.62,290990.62
Pavement Asset Management,District 12,Johnson,242394,,,FD05,FD05 058 0040 005-009,MOUNTAIN ENTERPRISES INC,MP05800402402,2024-11-14,680863.05,680863.05
Pavement Asset Management,District 12,Letcher,242383,,,FD05,FD05 067 0119 013-018,MOUNTAIN ENTERPRISES INC,MP06701192401,2024-11-14,1383137.4,1383137.4
Bridge Asset Management,District 12,Letcher,247005,,,FD51,FD51 067 1670 C000020,CENTRAL BRIDGE CO LLC,MB06716702401,2024-09-26,301724.7,301724.7
Pavement Asset Management,District 12,Letcher,242291,,,FD05,FD05 067 0805 000-004,MOUNTAIN ENTERPRISES INC,MP06708052401,2024-08-22,526835.15,526835.15
Highway Improvement,District 12,Knott,241009,12-00162.00,,FD51,FD51 060 1442 000-001,FREDERICK & MAY CONSTRUCTION CO,DE06014422410,2024-08-22,7019009.03,7019009.03
Highway Improvement,District 12,Floyd,241013,12-00191.00,NH,,NH 0231(148),MOUNTAIN ENTERPRISES INC,DE03600232413,2024-08-22,2940356.77,2940356.77
Pavement Asset Management,District 12,Knott,242256,,ER,,ER 9020(358),HINKLE ENVIRONMENTAL SERVICES LLC,MP06005502402,2024-07-18,184932.0,184932.0
Bridge Asset Management,District 12,Martin,242996,,,FE02,FE02 080 0645 B00021L&R,DELONG CONCRETE LLC,MB08006452301,2024-07-18,348179.76,348179.76
Bridge Asset Management,District 12,Martin,245360,12-10130.00,"STP, BRZ",,STP BRZ 9030 (477),FREDERICK & MAY CONSTRUCTION CO,BR08013172400,2024-07-18,879947.83,879947.83
Bridge Asset Management,District 12,Letcher,247003,,,FD51,FD51 067 1517 C018 00.20,KAY & KAY CONTRACTING LLC,MB06715172401,2024-07-18,360177.57,360177.57
Highway Improvement,District 12,Letcher,241012,12-00164.00,,EK57,EK57 067 1936 000-001,MOUNTAIN ENTERPRISES INC,DE06719362412,2024-07-18,847192.77,847192.77
Pavement Asset Management,District 12,Floyd,242241,,,FD05,FD05 036 0321 000-006,MOUNTAIN ENTERPRISES INC,MP03603212401,2024-06-20,2199879.25,1342470.28
Pavement Asset Management,District 12,Floyd,242241,,,FD05,FD05 036 0404 003-009,MOUNTAIN ENTERPRISES INC,MP03604042401,2024-06-20,2199879.25,857408.97
Pavement Asset Management,District 12,Johnson,242116,,,FD05,FD05 058 0040 020-024,MOUNTAIN ENTERPRISES INC,MP05800402401,2024-06-20,573108.31,573108.31
Pavement Asset Management,District 12,Knott,242244,,ER,,ER 9020(359),NATTCO INC,MP06008992401,2024-06-20,276943.0,276943.0
Bridge Asset Management,District 12,Letcher,245347,12-10017.00,"STP, BRZ",,STP BRZ 9030 (462),BUSH & BURCHETT INC,BR06700072400,2024-05-23,5221631.9,5221631.9
Miscellaneous,District 12,Pike,242167,12-04350.00,,FD04,FD04 098 0194 051-073,N H STONE INC,MP09801942403,2024-04-25,611849.5,611849.5
Pavement Asset Management,District 12,Pike,242163,,,FD05,FD05 098 0194 006-017,MOUNTAIN ENTERPRISES INC,MP09801942401,2024-04-25,1419802.98,1419802.98
Pavement Asset Management,District 12,Knott,242102,,,FD05,FD05 060 0015 004-010,MOUNTAIN ENTERPRISES INC,MP06000152401,2024-04-25,1475928.7,1475928.7
Pavement Asset Management,District 12,Johnson,242103,,,FD05,FD05 058 2333 000-001,MOUNTAIN ENTERPRISES INC,MP05823332401,2024-04-25,854170.75,258792.29
Pavement Asset Management,District 12,Johnson,242103,,,FD05,FD05 058 321X 000-001,MOUNTAIN ENTERPRISES INC,MP058321X2401,2024-04-25,854170.75,43724.36
Pavement Asset Management,District 12,Johnson,242103,,,FD05,FD05 058 0321 008-010,MOUNTAIN ENTERPRISES INC,MP05803212401,2024-04-25,854170.75,551654.1
Pavement Asset Management,District 12,Lawrence,242104,,,FD05,FD05 064 0003 017-020,MOUNTAIN ENTERPRISES INC,MP06400032401,2024-04-25,569785.35,435522.8
Pavement Asset Management,District 12,Lawrence,242104,,,FD05,FD05 064 2565 002-004,MOUNTAIN ENTERPRISES INC,MP06425652401,2024-04-25,569785.35,134262.55
Pavement Asset Management,District 12,Various,242106,,,FD05,FD05 058 0201 003-011,MOUNTAIN ENTERPRISES INC,MP05802012401,2024-04-25,1624794.91,959276.3
Pavement Asset Management,District 12,Various,242106,,,FD05,FD05 064 0201 000-005,MOUNTAIN ENTERPRISES INC,MP06402012401,2024-04-25,1624794.91,665518.61
Bridge Asset Management,District 12,Letcher,242987,12-10145.00,FPB,,FPB 1203 (418),KAY & KAY CONTRACTING LLC,MB06713392401,2024-04-25,981455.43,981455.43
Bridge Asset Management,District 12,Knott,247004,12-00255.00,,FD51,FD51 060 1017 C00073N 00.01,FREDERICK & MAY CONSTRUCTION CO,MB06010172401,2024-03-21,471861.61,471861.61
Bridge Asset Management,District 12,Pike,245340,12-10137.00,"STP, BRZ",,STP BRZ 9030 (453),FREDERICK & MAY CONSTRUCTION CO,BR09814412400,2024-03-21,524445.99,524445.99
Bridge Asset Management,District 12,Knott,242979,12-10105.00,FBP,,FBP 1203 (416),FREDERICK & MAY CONSTRUCTION CO,MB06005502401,2024-03-21,317358.15,317358.15
Miscellaneous,District 12,Pike,242095,12-04369.00,,FD04,FD04 098 0611 002-004,GEORGE B STONE CO LLC,MP09806112402,2024-03-21,336947.0,194208.84
