DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 11,Leslie,37.090833333,-83.255277778,KYTC,CONTRACTOR,066B00075N,01,3,2021-11-23,686.0,Good,No,State,2020s,State Secondary,8,8,8,914.0,KY 699,Maggards Branch,"24'-6"" CB12X48 PPC Box Beams - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 11,Knox,36.919166667,-83.648055556,County,KYTC,061C00110N,02,3,2021-08-09,1088.0,Good,No,Local,2020s,,8,8,8,,Trace Branch,Stinking Creek,"66'-6"" Single Span CB27 PPC Box Beam","A Open, no restriction",,1 Highway,5 Waterway
District 11,Clay,37.099444444,-83.755555556,County,KYTC,026C00150N,02,3,2021-10-12,2484.0,Good,No,Local,2020s,,7,7,7,687.0,CR 1238,Collins Fk of Goose Crk,"33'3.5"", 56'-1"", 33'3.5"" CB12/21 PPC Box Beam","A Open, no restriction",,1 Highway,5 Waterway
District 11,Whitley,36.710555556,-83.978055556,County,KYTC,118C00075N,02,3,2021-10-12,1040.0,Good,No,Local,2020s,,8,8,8,49.0,Lick Fork,Poplar Creek,"63'-5"" PPC Box Beam, CB27, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 11,Whitley,36.640555556,-84.1175,County,KYTC,118C00072N,02,3,2020-07-15,1800.0,Good,No,Local,2020s,,8,8,8,111.0,Foley Bend Road,CSX Railroad,2 Span W18X65 Steel Girder with Grid Deck,"A Open, no restriction",,1 Highway,2 Railroad
District 11,Whitley,36.828888889,-84.0975,County,KYTC,118C00074N,02,3,2021-06-14,768.0,Good,No,Local,2020s,,8,8,8,,Imperial Hollow Rd,Colonel Creek,"46'-6"" PPC Box Beam, CB17, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 11,Harlan,36.835277778,-83.373611111,KYTC,CONTRACTOR,048B00208N,01,3,2022-12-30,672.0,Good,No,State,2020s,Rural Secondary,8,8,8,243.0,KY-3451,Ewing Creek,"32'-0"" PPL Box Beam ~ CB17-36 ~ Single Span","A Open, no restriction",,1 Highway,5 Waterway
District 11,Clay,37.318888889,-83.760833333,County,KYTC,026C00149N,02,3,2021-06-14,528.0,Good,No,Local,2020s,,8,7,8,,CR 1371,Little Sexton Creek,"42'-6"" Box Beam, CB17, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 11,Whitley,36.68,-84.045277778,County,CONTRACTOR,118C00071N,02,3,2020-10-05,736.0,Good,No,Local,2020s,,8,8,8,105.0,Bethel Road,Patterson Creek,46' PPC Box Beam CB27X48 Simple Span,"A Open, no restriction",,1 Highway,5 Waterway
District 11,Laurel,37.220277778,-84.016111111,KYTC,CONTRACTOR,063B00124N,01,3,2023-01-06,2712.0,Good,No,State,2020s,Rural Secondary,8,7,8,409.0,KY-638,Big Raccoon Creek,3 Span - CB 17x48 Continuous Box Beam,"A Open, no restriction",,1 Highway,5 Waterway
