DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 09,Elliott,38.094931515,-83.151604496,KYTC,KYTC,032B00030N,01,3,2023-03-01,645.0,Fair,No,State,1970s,Supplemental Road,5,5,5,70.0,KY-755,SOUTH RUIN CREEK,39 SPAN PRESTRESSED CONCRETE SLAB,"A Open, no restriction",,1 Highway,5 Waterway
District 09,Carter,38.220277778,-82.871111111,County,KYTC,022C00078N,02,3,2021-09-23,593.0,Good,No,Local,2020s,,8,8,8,,REEVES HLW CR-1167,Lost Creek,Reeves Hollow,"A Open, no restriction",,1 Highway,5 Waterway
District 09,Carter,38.299722222,-82.9475,KYTC,CONTRACTOR,022B00172N,01,3,2025-01-31,9600.5,Good,No,State,2020s,Supplemental Road,8,8,8,1999.0,KY-773,LITTLE SANDY RIVER,,"A Open, no restriction",,1 Highway,5 Waterway
District 09,Fleming,38.411916667,-83.913438889,KYTC,KYTC,035B00108N,01,3,2021-06-22,377.13,Good,No,State,2020s,Supplemental Road,N,N,N,96.0,KY 681,Buchanan Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 09,Bath,38.144722222,-83.631111111,KYTC,CONTRACTOR,006B00091N,01,3,2023-11-14,1680.0,Good,No,State,2020s,Rural Secondary,8,8,8,650.0,KY-211,Cow Creek,"68'-6"" CB27x48 PPC Box Beams - Simple Span ","A Open, no restriction",,1 Highway,5 Waterway
District 09,Carter,38.281611111,-83.014916667,County,KYTC,022C00077N,02,3,2020-09-08,784.0,Fair,No,Local,1990s,,7,5,6,,CR 1102,Little Sinking Creek,Steel beam or grider with concrete deck,P Posted for load,21.0,1 Highway,5 Waterway
District 09,Bath,38.232777778,-83.846944444,KYTC,CONTRACTOR,006B00092N,01,3,2023-11-15,5138.1,Good,No,State,2020s,Rural Secondary,8,7,8,277.0,KY-1106,Flat Creek,3 - 63.5' CB27X36 PPC Box Beam Spans,"A Open, no restriction",,1 Highway,5 Waterway
District 09,Lewis,38.330338889,-83.340927778,County,KYTC,068C00115N,02,3,2018-01-08,462.5,Good,No,Local,2010s,,8,7,7,142.0,Laurel Creek Rd.,Clinton-Hamilton Branch,,"A Open, no restriction",,1 Highway,5 Waterway
District 09,Lewis,38.550276,-83.2881,County,KYTC,068C00114N,02,3,2018-01-08,447.81,Good,No,Local,2010s,,7,7,7,116.0,Rock Run Cr1002,Rock run,,"A Open, no restriction",,1 Highway,5 Waterway
District 09,Greenup,38.652172,-83.015104,County,KYTC,045C00177N,02,3,2018-04-04,510.37,Good,No,Local,2010s,,7,7,7,40.0,Silver Cr CR-1949,Dry Fork,,"A Open, no restriction",,1 Highway,5 Waterway
