DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 10,Wolfe,37.733333333,-83.457777778,KYTC,KYTC,119B00085N,01,3,2023-11-15,1056.0,Good,No,State,2020s,Rural Secondary,8,8,8,375.0,KY 1812,Landsaw Fork,"42'-6"" PPC Box Beam CB17 - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 10,Estill,37.689166667,-83.8575,KYTC,KYTC,033B00047N,01,3,2024-02-05,1056.0,Good,No,State,2020s,Supplemental Road,8,8,8,249.0,KY-1182,Furnace Fork,"42'-6"" PPC Box Beam CB17 ~ Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 10,Wolfe,37.787222222,-83.4225,KYTC,CONTRACTOR,119B00084N,01,3,2023-11-15,2256.0,Good,No,State,2020s,State Primary (Other),8,8,8,1132.0,KY-191,Lacey Creek,"92'-6"" Single Span CB 42 Box Beam","A Open, no restriction",,1 Highway,5 Waterway
District 10,Perry,37.079722222,-83.113333333,County,KYTC,097C00096N,02,3,2020-11-18,657.6,Good,No,Local,2020s,,8,8,8,,Owens Branch Road,Owens Branch,"37'-6"" Slab Bridge, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 10,Perry,37.081111111,-83.068333333,County,KYTC,097C00098N,02,3,2021-02-01,426.0,Good,No,Local,2020s,,8,8,8,221.0,Little Leatherwood,Little Leatherwood Creek,"29'-6"" PPC Box Beam, CB12, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 10,Magoffin,37.741156,-83.056101,KYTC,KYTC,077B00092N,01,3,2024-12-04,16335.0,Good,Yes,State,2010s,State Primary (Parkway),7,8,8,7026.0,KY9009,Burning Fork,,"A Open, no restriction",,1 Highway,5 Waterway
District 10,Magoffin,37.735986111,-83.063036111,KYTC,KYTC,077B00090N,01,3,2023-09-25,19953.0,Good,Yes,State,2010s,State Primary (Parkway),8,9,9,7026.0,KY 9009,Over KY7,3 span 208ft long concrete beam,"A Open, no restriction",,1 Highway,1 Highway
District 10,Perry,37.291938,-83.235423,KYTC,KYTC,097B00138N,01,3,2023-06-30,24123.0,Good,Yes,State,2010s,State Primary (Other),8,8,8,15543.0,KY 15,Jimmy Darrell & First Cr,,"A Open, no restriction",,1 Highway,6 Highway-waterway
District 10,Breathitt,37.453888889,-83.174722222,County,KYTC,013C00082N,02,3,2020-10-12,768.0,Good,No,Local,2020s,,8,8,8,,Little Buckhorn Rd,Buckhorn Creek,"47'-0"" PPC Box Beam CB17 - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 10,Breathitt,37.466919161,-83.279329632,KYTC,KYTC,013B00073N,01,3,2025-04-25,9867.0,Good,No,State,1990s,State Secondary,7,7,7,560.0,KY-476,TROUBLESOME CREEK,95-100-100 PRESTRESSED CONC CONT I BEAM SPANS,"A Open, no restriction",,1 Highway,5 Waterway
