DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 03,Allen,36.734166667,-86.191666667,County,CONTRACTOR,002C00073N,02,3,2021-11-08,576.0,Good,No,Local,2020s,,8,7,8,50.0,Old Walnut Trail,West Bays Fork Creek,"46'-6"" CB17x48 PPC Box Beam - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 03,Monroe,36.666222,-85.746237,County,KYTC,086C00032N,02,3,2021-03-01,519.75,Fair,No,Local,2010s,,6,7,6,,Ebenezer Rd. ,Unnamed Stream,Single Span 36ft. Steel multibeam,P Posted for load,15.0,1 Highway,5 Waterway
District 03,Allen,36.751944444,-86.409166667,KYTC,KYTC,002B00060N,01,3,2023-06-27,3847.8,Fair,No,State,2020s,Rural Secondary,8,5,8,519.0,KY-585,Middle Fork Drakes Creek,"3 (53-53-53) PPC I-Beam, Type 3 - Continuous Spans","A Open, no restriction",,1 Highway,5 Waterway
District 03,Warren,37.028119444,-86.314238889,KYTC,KYTC,114B00105R,01,3,2023-09-25,19984.0,Good,No,State,2010s,State Primary (Other),7,7,9,4700.0,KY 3145,CSX Railroad,,"A Open, no restriction",,1 Highway,2 Railroad
District 03,Metcalfe,37.028055556,-85.541666667,County,KYTC,085C00037N,02,3,2017-12-12,1020.7,Fair,No,Local,2010s,,N,N,N,,Jack Sparks Rd,Prices Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 03,Simpson,36.665277778,-86.440833333,County,CONTRACTOR,107C00023N,02,3,2022-07-01,816.0,Good,No,Local,2020s,,8,7,8,72.0,Pleasant Hill Road,Mays Branch,"34' CB12X48 PPC Box Beams, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 03,Todd,36.840363411,-87.244533038,County,KYTC,110C00055N,02,3,2018-09-19,957.0,Fair,No,Local,Over 100,,5,5,5,132.0,OLD 68/80-CR1374 ,BR OF W FK RED RIVER,1-30.2 FT R.C.D.G. SPAN,P Posted for load,25.0,1 Highway,5 Waterway
District 03,Todd,36.82609046,-87.174358161,County,KYTC,110C00056N,02,3,2024-04-24,840.0,Fair,No,Local,2000s,,6,7,5,,B WHITE RD,TRIB- ELK FORK,1-28 FT. PRESTRESSED CONC BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 03,Todd,36.773416743,-87.05788043,County,KYTC,110C00057N,02,3,2023-11-29,960.0,Fair,No,Local,2000s,,6,7,6,54.0,DOBBS RD,VICKS BRANCH,1-40.0 P.C.P.S. CONCRETE BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 03,Todd,36.802213224,-87.074640211,County,CONTRACTOR,110C00054N,02,3,2020-11-05,648.0,Fair,No,Local,1960s,,N,N,N,409.0,OLD 68/80 -CR1107,VICKS BRANCH,TRPL 7X5X72 BCCM M-P ARCH -4 FT FILL                  0,"A Open, no restriction",,1 Highway,5 Waterway
