DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 02,Webster,37.495852,-87.604508,County,KYTC,117C00077N,02,3,2021-03-30,763.0,Good,No,Local,2020s,,8,8,8,,John Roach Road,Branch of Deer Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Ohio,37.416388889,-86.853888889,KYTC,KYTC,092B00188N,01,3,2023-09-25,4016.2,Good,No,State,2020s,State Secondary,8,8,8,2678.0,US 62,BR of Three Lick Fork,"90'-0"" PPC I-Beam, Type 4, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 02,Muhlenberg,37.223055556,-87.2075,KYTC,CONTRACTOR,089B00141N,01,3,2021-06-17,806.0,Good,No,State,2020s,Rural Secondary,N,N,N,1352.0,KY 601,Caney Creek,1 Span 25Wx36L Aluminum Culvert,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Webster,37.568611111,-87.589444444,County,CONTRACTOR,117C00076N,02,3,2020-08-17,571.0,Good,No,Local,2010s,,N,N,N,49.0,COUNTRYSIDE DRIVE,BR OF KNOBLICK CREEK,21' x 37.5' single barrel aluminum culvert,"A Open, no restriction",,1 Highway,5 Waterway
District 02,McLean,37.456388889,-87.235,KYTC,CONTRACTOR,075B00080N,01,3,2023-09-20,792.0,Fair,No,State,2020s,State Secondary,8,5,8,1621.0,KY-81,Slough,"31'-6"" SB17-48 Spread Box Beam Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 02,Hopkins,37.296111111,-87.571388889,KYTC,CONTRACTOR,054B00233N,01,3,2023-11-15,3869.6,Good,No,State,2020s,State Secondary,7,7,7,2143.0,KY-70,Clear Creek,3 Span - CB17x48 Box Beams - Simple Spans,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Ohio,37.3675,-86.8425,KYTC,KYTC,092B00187R,01,3,2023-09-20,5244.75,Fair,Yes,State,2010s,State Primary (Parkway),7,6,6,5648.0,WK 9001,US 231,3 Span Continous Spread Box 35-49-42,P Posted for load,,1 Highway,1 Highway
District 02,Ohio,37.4175,-86.851944444,KYTC,CONTRACTOR,092B00189N,01,3,2023-01-08,5031.0,Good,No,State,2020s,State Secondary,8,8,8,2678.0,US 62,Three Lick Fork,"114'-0"" Single Span, HN48-49 PPC I-Beam","A Open, no restriction",,1 Highway,5 Waterway
District 02,Union,37.719676,-87.769854,KYTC,KYTC,113B00112N,01,3,2020-08-13,1809.75,Good,No,State,2010s,State Primary (Other),N,N,N,6011.0,US 60,Branch of Casey Creek,"3 216""x136""  75'long aluminum plate pipe arch.","A Open, no restriction",,1 Highway,5 Waterway
District 02,McLean,37.640532,-87.431394,KYTC,KYTC,075B00078N,01,3,2023-11-27,535.0,Fair,No,State,1970s,Rural Secondary,7,5,6,103.0,KY 593,Abe Creek,,P Posted for load,,1 Highway,5 Waterway
District 02,Christian,37.001977778,-87.425936111,County,KYTC,024C00216N,02,3,2022-08-03,697.0,Fair,No,Local,2010s,,N,N,N,,"CR1099, Johnson Mi",Trib to W Fork Pond Rive,DBL 13'x6'x26' RCBC,P Posted for load,18.0,1 Highway,5 Waterway
District 02,Caldwell,37.31661,-87.811229,KYTC,CONTRACTOR,017B00093N,01,3,2025-01-31,10807.5,Good,No,State,2010s,Rural Secondary,8,8,8,484.0,KY 293,Tradewater River,3 Span Precast Prestressed I Beam 91'-132'-91',"A Open, no restriction",,1 Highway,5 Waterway
District 02,Henderson,37.822949,-87.772134,County,KYTC,051C00126N,02,3,2017-11-02,800.0,Good,No,Local,2010s,,8,8,8,,_CR1317,_Br. Pond Creek,1-40' weathering steel span,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Christian,36.65463734,-87.366006187,KYTC,KYTC,024B00133N,01,3,2018-05-07,11321.0,Fair,No,State,1970s,,6,5,6,84.0,Carter Rd,I 24,2-147 FT CONT COMP PLATE GIRDER SPANS-46 D 20 M SKEW,"A Open, no restriction",,1 Highway,1 Highway
District 02,Christian,36.645331656,-87.343764936,KYTC,KYTC,024B00134N,01,3,2018-05-07,10097.0,Fair,No,State,1970s,Rural Secondary,6,7,7,301.0,KY-1881,I 24,2-133 FT CONT COMP PLATE GIRDER SPANS-40 D 10 M SKEW,P Posted for load,,1 Highway,1 Highway
District 02,Christian,36.87972884,-87.58948891,KYTC,KYTC,024B00135L,01,3,2022-11-29,3859.0,Fair,Yes,State,1990s,State Primary (Other),6,7,7,3732.0,US-68 NC,MUDDY CREEK,1-84.5 PRESTRESSED SPREAD BOX BEAM SPAN @ 5 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Christian,36.7508373,-87.657932502,KYTC,KYTC,024B00137N,01,3,2024-12-11,6388.0,Fair,No,State,1980s,Rural Secondary,6,7,6,78.0,KY-287,LITTLE RIVER,79 -79.8 - 79.7 FT. CONT. P.C.I.B. SPANS,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Christian,36.99638781,-87.684714388,KYTC,KYTC,024B00138N,01,3,2023-11-29,1281.0,Fair,No,State,1980s,Rural Secondary,6,6,7,529.0,KY-124,SUGAR CREEK,1-43 FT. PRECAST PREST. CONC DECK UNITS,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Christian,36.671196221,-87.351557051,KYTC,KYTC,024B00141N,01,3,2022-10-31,5903.0,Fair,No,State,1970s,Rural Secondary,7,7,6,301.0,KY-1881,WEST FORK RED RIVER,3-CONT. SPANS 58.0 81.0 61.0 R. C. DECK GIRDER,P Posted for load,,1 Highway,5 Waterway
District 02,Christian,37.059071502,-87.664121916,OTHER,KYTC,024B00142N,11,3,2023-08-07,338.0,Poor,No,Local,Over 75,,6,3,4,35.0,PENNYRILE FOREST S,CLIFTY CREEK,1-28 STEEL SPAN,P Posted for load,3.0,1 Highway,5 Waterway
District 02,Christian,36.818339635,-87.489580136,KYTC,KYTC,024B00145L,01,3,2020-08-27,10040.0,Good,Yes,State,1990s,State Primary (Other),7,7,7,7471.0,EAGLE WAY NC,SOUTH FK-LITTLE RIVER,47 - 73 -73 -47  FT CONT  PCIB SPANS,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Daviess,37.761174351,-87.212927234,County,KYTC,030C00166N,02,3,2024-09-06,1140.0,Fair,No,Local,1990s,,5,7,7,463.0,LYDANNE BRIDGE RD,GILES DITCH,1- 47 FT PRESTRESSED CONCRETE BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Daviess,37.691896059,-87.307834243,County,KYTC,030C00170N,02,3,2024-09-06,1312.0,Good,No,Local,1990s,,7,7,7,,MULLIGAN RD,E FORK -KNOBLICK CREEK,1-54    FT. PRESTRESSED CONC BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Daviess,37.684781135,-87.221455595,County,KYTC,030C00173N,02,3,2024-04-26,1258.0,Good,No,Local,1990s,,7,7,7,,WAYNE BRIDGE RD,FLAT LICK CREEK,1 - 52     FT. PRESTRESSED CONC BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Daviess,37.660041612,-86.986238995,County,KYTC,030C00174N,02,3,2024-04-26,1198.0,Good,No,Local,1990s,,7,7,7,,BRATCHER HILL RD,SWEEPSTAKES RUN,1 - 50     FT. PRESTRESSED CONC BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Daviess,37.646289205,-87.001251036,County,KYTC,030C00175N,02,4,2024-07-29,2551.0,Poor,No,Local,1990s,,6,6,3,,OLD HARTFORD RD,SOUTH FORK PANTHER CREEK,26-54-26   FT. PRESTRESSED CONC BOX BEAM SPANS,K Closed to all traffic,0.0,1 Highway,5 Waterway
District 02,Daviess,37.705492222,-87.042976399,KYTC,KYTC,030B00094R,01,3,2020-08-27,5196.0,Fair,Yes,State,1970s,State Primary (Interst.),7,6,7,4789.0,I 165,N FORK PANTHER CK,TWIN(50.04-50-50.04 FT CONT PRESTRESSED CONC SPANS-0 DE,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Daviess,37.811263605,-87.238684848,KYTC,KYTC,030B00096N,01,3,2022-05-16,4557.0,Poor,No,State,Over 75,State Secondary,6,4,6,2021.0,US-60,KATIE MEADOW SLOUGH,4-35 FT RCDG SPANS-45 DEG SKEW,P Posted for load,,1 Highway,5 Waterway
District 02,Daviess,37.778951155,-87.227111518,KYTC,KYTC,030B00098N,01,3,2021-12-01,920.0,Fair,No,State,1970s,Rural Secondary,7,6,7,572.0,KY-279,RHODES CREEK,"1-36 FT PPCDU SPAN, STEEL GUARDRAIL","A Open, no restriction",,1 Highway,5 Waterway
District 02,Daviess,37.841936437,-86.978927403,KYTC,KYTC,030B00100N,01,3,2025-06-12,5895.0,Fair,No,State,1970s,Rural Secondary,6,6,6,1722.0,KY-405,PUP CREEK,40 FT-25 FT-40 FT-40 FT RCDG SPANS-0 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Daviess,37.768240372,-86.993444412,KYTC,KYTC,030B00104N,01,3,2023-03-23,1293.0,Fair,No,State,1970s,Rural Secondary,7,5,7,443.0,KY-142,Burnett Fork,1 span ppcdu,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Daviess,37.883077427,-86.915881522,KYTC,KYTC,030B00106N,01,3,2019-10-30,686.0,Fair,No,State,Over 75,Rural Secondary,N,N,N,156.0,KY-661,UNNAME STREAM,DBL 8X5X36 RC CULV- 45 DEG SK FILL= 1.5 FT BRL= GOOD,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Daviess,37.728681206,-86.872274098,KYTC,KYTC,030B00107N,01,3,2019-11-01,699.0,Fair,No,State,1950s,Rural Secondary,N,N,N,351.0,KY-764,UNNAME STREAM,DBL 10X3X31 RC CULV-30 DEG SK FILL= 1 FT BRL= GOOD,P Posted for load,22.0,1 Highway,5 Waterway
District 02,Daviess,37.724135302,-86.872055888,KYTC,KYTC,030B00108N,01,3,2022-05-16,2369.0,Fair,No,State,1960s,Rural Secondary,6,5,6,351.0,KY-764,N FORK OF PANTHER CREEK,3-25 FT RCDG SPANS-30 DEG SKEW,P Posted for load,,1 Highway,5 Waterway
District 02,Daviess,37.708920803,-86.866596032,KYTC,KYTC,030B00109N,01,3,2023-03-23,1399.0,Fair,No,State,1970s,Rural Secondary,7,5,7,1015.0,KY-764,S FORK PANTHER CK,1-54 FT PRECAST-PRESTRESSED CONC SPAN-0 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Hopkins,37.461128683,-87.443932057,KYTC,KYTC,054B00119N,01,3,2023-03-23,2448.0,Poor,No,State,1960s,Supplemental Road,5,4,6,65.0,KY-1033,OTTER CREEK,3-32 FT PRECAST PRESTRESSED CONCR SPANS -0 DEG. SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Hopkins,37.436512633,-87.591134702,KYTC,KYTC,054B00120N,01,3,2022-08-03,726.0,Fair,No,State,Over 75,Rural Secondary,N,N,N,1209.0,KY-630,EAST FORK DEER CREEK,DBL 10X7X32 RC CULV-30 DEG SK FILL= 2 FT BRL= GOOD,P Posted for load,22.0,1 Highway,5 Waterway
District 02,Hopkins,37.377047069,-87.581049735,KYTC,KYTC,054B00121N,01,3,2019-10-30,731.0,Fair,No,State,Over 75,Rural Secondary,N,N,N,2410.0,KY-630,FORK OF POND CREEK,DBL 12X12X27 RC CULV-15 DEG SK FILL= 1.5 FT BRL= GOOD,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Hopkins,37.212392,-87.43436,KYTC,KYTC,054B00131N,01,3,2022-10-31,7279.0,Fair,No,State,1960s,Rural Secondary,6,5,5,219.0,KY-813,WESTERN KENTUCKY PARKWAY,48.5 FT SIMPLE RCDG SPAN 59FT-78FT-59FT CONT RCDG SPANS,P Posted for load,,1 Highway,1 Highway
District 02,Hopkins,37.199813895,-87.418282331,KYTC,KYTC,054B00132N,01,3,2022-09-22,2604.0,Fair,No,State,Over 75,Rural Secondary,5,6,5,219.0,KY-813,DRAKES CREEK OVERFLOW,3-30 FT RCDG SPANS,P Posted for load,,1 Highway,5 Waterway
District 02,Hopkins,37.208241974,-87.737528103,KYTC,KYTC,054B00134N,01,3,2019-10-30,750.0,Fair,No,State,Over 75,Supplemental Road,N,N,N,223.0,KY-1220,TRACE CREEK,DBL 10X8X33 RC CULV W/RC HDRL-45 DEG SK FILL=3 BR=GOOD,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Henderson,37.677861897,-87.470103661,County,KYTC,051C00033N,02,3,2022-12-13,2255.0,Fair,No,Local,1980s,,6,5,6,30.0,SOUTH PLEASANT VAL,SPUTZMAN CREEK,3-30 PRECAST-PRESTRESSED CONCRETE SPANS,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Henderson,37.802098734,-87.624846213,County,KYTC,051C00059N,02,3,2018-01-02,2448.0,Fair,No,Local,1970s,,6,7,6,90.0,LOVERS LN,CANOE CREEK,37-51.5-36.5 FT. PREST CONC DECK UNIT,P Posted for load,18.0,1 Highway,5 Waterway
District 02,Henderson,37.904519793,-87.551323459,KYTC,KYTC,051B00007L,01,3,2019-03-21,197026.0,Fair,Yes,State,1960s,State Primary (Other),5,5,5,21344.0,US-41 NC,OHIO RIVER,SEE PLANS IN DIVISION OF BRIDGES,P Posted for load,,1 Highway,6 Highway-waterway
District 02,Henderson,37.857271545,-87.573291512,KYTC,KYTC,051B00010N,01,3,2022-04-28,15308.0,Fair,No,State,1960s,State Secondary,5,5,5,23890.0,OWENSBORO ROAD,US 41 BY PASS,65 FT- 100 FT- 65 FT CONT. R.C. UNIT - 5 DEG SKEW,"A Open, no restriction",,1 Highway,1 Highway
District 02,Henderson,37.858058995,-87.571860185,KYTC,KYTC,051B00011N,01,3,2022-09-22,6519.0,Fair,No,State,1960s,State Secondary,6,5,5,23890.0,OWENSBORO ROAD,US 41A,3-50 FT R.C.D.G. SPANS - 0 DEG SKEW,"A Open, no restriction",,1 Highway,1 Highway
District 02,Henderson,37.770002871,-87.331390702,KYTC,KYTC,051B00019N,01,3,2015-04-15,428.0,Fair,No,State,1950s,Rural Secondary,5,5,5,214.0,KY-416,DRAINAGE DITCH,1-23 FT RC slab span,P Posted for load,22.0,1 Highway,5 Waterway
District 02,Henderson,37.788476331,-87.419736618,KYTC,KYTC,051B00020N,01,3,2016-08-04,598.0,Fair,No,State,Over 100,State Secondary,N,N,N,1531.0,KY-351,DRAINAGE DITCH,DBL 10X6X26 CONC CULV- FILL= .5 FT BRL= GOOD,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Henderson,37.680845165,-87.622196245,KYTC,KYTC,051B00117N,01,3,2023-11-27,1088.0,Fair,No,State,1970s,Rural Secondary,7,5,5,414.0,KY-416,WEST FK CANOE CREEK DITC,1-38 FT PRECAST-PRESTRESSED CONCRETE SPAN-0 DEG SKEW,P Posted for load,,1 Highway,5 Waterway
District 02,Henderson,37.676592571,-87.608297654,KYTC,KYTC,051B00118N,01,3,2023-09-12,779.0,Poor,No,State,1970s,Rural Secondary,5,7,4,414.0,KY-416,BR W FK CANOE CREEK DITC,1-30 FT PRECAST NOT PRESTRESSED CONC. SPANS - 0  DEG,P Posted for load,,1 Highway,5 Waterway
District 02,Henderson,37.742888518,-87.648022145,KYTC,KYTC,051B00120N,01,3,2023-03-23,678.0,Fair,No,State,1980s,Supplemental Road,7,6,7,83.0,KY-443,FORK OF CANOE CREEK,1-28 FT. PRECAST PREST CONC BOX BEAM SPAN - 0 DEG.,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Henderson,37.854355359,-87.35106913,KYTC,KYTC,051B00122N,01,3,2018-04-09,3477.0,Fair,No,State,1980s,Rural Secondary,6,7,6,205.0,KY-811,IPSOM DITCH,3-25 FT. PRECAST PREST. SPREAD CONC. BOX BEAM SPAN-CONT,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Henderson,37.859599142,-87.454321493,KYTC,KYTC,051B00124N,01,3,2024-11-20,2336.0,Fair,No,State,1980s,State Secondary,6,6,7,2770.0,US-60,RACE CREEK,1-48 FT CLR SPAN PCIB  BRIDGE,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Henderson,37.704003221,-87.697984418,KYTC,KYTC,051B00125N,01,3,2018-03-21,2282.0,Fair,No,State,1980s,Rural Secondary,6,7,6,595.0,KY-145,BEAVER DAM CREEK,3- 25 FT CONT CONC SLAB SPANS,P Posted for load,,1 Highway,5 Waterway
District 02,Henderson,37.713020415,-87.729332883,KYTC,KYTC,051B00129N,01,3,2024-05-13,976.0,Poor,No,State,1980s,Supplemental Road,6,6,4,572.0,KY-1557,BEAVER DAM DITCH,1-40 FT. PRECAST PREST. CONC. BOX BEAM SPAN,P Posted for load,19.0,1 Highway,5 Waterway
District 02,Henderson,37.762920081,-87.588706371,KYTC,KYTC,051B00130N,01,3,2023-03-23,877.0,Fair,No,State,1980s,Rural Secondary,5,5,5,131.0,KY-1299,BARRETT DITCH,1-36 FT PREST CONC. DECK UNIT (used),P Posted for load,,1 Highway,5 Waterway
District 02,Henderson,37.71430981,-87.561822522,County,KYTC,051C00042N,02,3,2023-08-06,1094.0,Fair,No,Local,1970s,,6,7,6,,WALTER RD,BR OF CANOE CREEK,1-42.2 CLEAR-SPAN PRECAST-PRESTRESSED CONCRETE SPANS,P Posted for load,23.0,1 Highway,5 Waterway
District 02,Henderson,37.740893331,-87.645836794,KYTC,KYTC,051B00131N,01,3,2023-11-29,829.0,Fair,No,State,1980s,Supplemental Road,7,6,7,83.0,KY-443,FORK OF CANOE DITCH,1-29.7 FT CLEAR SPAN PRECAST-PREST.CONC.DECK UNIT,"A Open, no restriction",,1 Highway,5 Waterway
District 02,Henderson,37.789590658,-87.635397017,KYTC,KYTC,051B00132N,01,3,2024-11-13,10884.0,Fair,Yes,State,1980s,State Primary (Other),6,6,7,5970.0,KY-425,"Abandoned RR bed, no tra",69-71-71 FT. CONT. P.C.I.B  SPAN,"A Open, no restriction",,1 Highway,0 Other
