DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 01,McCracken,37.064722222,-88.621666667,City,KYTC,073C00086N,04,3,2021-07-23,848.0,Good,No,Local,2020s,,8,8,8,,SOUTH 24TH ST.,BR. OF ISLAND CREEK,1-32' SPREAD BOX BEAM SPAN,"A Open, no restriction",,5 Highway-pedestrian,5 Waterway
District 01,Graves,36.689049682,-88.486635182,KYTC,CONTRACTOR,042B00302N,01,3,2021-07-30,2025.0,Good,No,State,2020s,Rural Secondary,N,N,N,100.0,KY 1124,Watson Creek,"ALBC 53, 21'-2"" span x 8' - 10"" rise","A Open, no restriction",,1 Highway,5 Waterway
District 01,Trigg,36.799764,-87.976713,KYTC,CONTRACTOR,111B00068N,01,3,2019-07-30,286517.0,Good,Yes,State,2010s,State Primary (Other),8,8,8,4908.0,US 68,CUMBERLAND RIVER,,"A Open, no restriction",,1 Highway,5 Waterway
District 01,Marshall,36.824444444,-88.440277778,County,KYTC,079C00103N,02,3,2020-12-02,1680.0,Good,No,Local,2020s,,8,8,8,117.0,Houser Rd CR-1286,Smith Creek,1-70' PRE CAST PRESTRESSED CONC BOX BEAMS SIDE BY SIDE,"A Open, no restriction",,1 Highway,5 Waterway
District 01,Crittenden,37.448055556,-88.058055556,County,CONTRACTOR,028C00079N,02,3,2021-04-26,1120.0,Good,No,Local,2020s,,8,8,8,126.0,Cotton Patch Rd,Hughes Branch,"56'-0"" Single Span, CB21x48 Box Beams","A Open, no restriction",,1 Highway,5 Waterway
District 01,Calloway,36.569444444,-88.171944444,KYTC,CONTRACTOR,018B00143N,01,3,2022-12-29,1632.0,Fair,No,State,2020s,Rural Secondary,7,6,8,294.0,KY-280,Panther Creek,"68'-0"" CB27x48 PPC Box Beams - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 01,McCracken,37.077513889,-88.717716667,County,CONTRACTOR,073C00084N,02,3,2020-11-30,2374.4,Good,No,Local,2010s,,N,N,N,,MAXON RD (CR1302),UNNAMED STREAM,1-45 ALUMINUM BOX CULVERT W/ CONC. H-WALLS & W-WALLS,"A Open, no restriction",,1 Highway,5 Waterway
District 01,Trigg,36.802777778,-87.936666667,KYTC,KYTC,111B00072L,01,3,2023-09-25,8064.0,Good,Yes,State,2010s,State Primary (Other),8,9,9,2290.0,US 68,HOPSON CREEK,,"A Open, no restriction",,1 Highway,5 Waterway
District 01,Ballard,37.043626,-89.021286,County,CONTRACTOR,004C00083N,02,3,2020-09-21,1150.0,Good,No,Local,2020s,,8,8,8,104.0,Johnson Road,Shawnee Creek,"57'-6"" Box Beam - CB27-48 - Single Span ","A Open, no restriction",,1 Highway,5 Waterway
District 01,Hickman,36.677777778,-88.818888889,County,CONTRACTOR,053C00073N,02,3,2021-11-23,3348.0,Good,No,Local,2020s,,8,8,8,25.0,Baltimore Church,IC (NOR) RAILROAD,"1-186' Single Span 87"" WSP Girder","A Open, no restriction",,1 Highway,2 Railroad
