DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 12,Knott,37.272222222,-82.862222222,County,CONTRACTOR,060C00091N,02,3,2021-11-23,544.0,Good,No,Local,2020s,,8,8,8,291.0,Collins Branch Rd,Carr Fork,"34'-0"" CB12x48 PPC Box Beam ~Single Span","A Open, no restriction",,1 Highway,5 Waterway
District 12,Letcher,37.114166667,-82.854722222,County,KYTC,067C00101N,02,3,2021-08-16,840.0,Good,No,Local,2020s,,7,8,8,200.0,Orchard Road,North Fork KY River,"68'-6"" PPC Box Beam, CB27, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 12,Knott,37.32895,-83.020013889,County,KYTC,060C00092N,02,3,2021-08-18,720.0,Fair,No,Local,2020s,,7,5,7,,Physician Dr,Troublesome Creek,57' Single Span Steel Stringer/Girder,P Posted for load,9.0,1 Highway,5 Waterway
District 12,Letcher,37.179166667,-82.715277778,KYTC,CONTRACTOR,067B00146N,01,3,2023-01-06,1049.4,Good,No,State,2020s,State Secondary,8,7,8,2922.0,KY-805,Potters Fork,"47'-8"" PPC Box Beam, CB33, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 12,Letcher,37.197488889,-82.712477778,City,KYTC,067C00098N,04,3,2021-04-26,396.0,Good,No,Local,2020s,,7,7,7,50.0,Welch Holw,Yonts Fork,33' - Single Span Steel Stringer/Multi-beam or Girder,P Posted for load,6.0,1 Highway,5 Waterway
District 12,Lawrence,38.218055556,-82.740277778,County,KYTC,064C00092N,02,3,2021-06-14,660.0,Good,No,Local,2020s,,8,8,8,90.0,Little East Frk Rd,E Frk Little Sandy River,"53'-6"" PPC Box Beam, CB21, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 12,Letcher,37.140555556,-82.765555556,County,CONTRACTOR,067C00094N,02,3,2020-11-09,1104.0,Good,No,Local,2020s,,8,7,8,60.0,Holbrook Town ,N. Fork Kentucky River,"67'-6"" Simple Span CB27x48 Box Beams ","A Open, no restriction",,1 Highway,5 Waterway
District 12,Letcher,37.015555556,-82.883055556,KYTC,KYTC,067B00144N,01,3,2023-09-25,1867.5,Good,No,State,2020s,Rural Secondary,8,8,8,326.0,KY-3404,Poor Frk of Cumberland,"80'-0"" PPC I-Beam, Type 4, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 12,Pike,37.592222222,-82.1725,County,CONTRACTOR,098C00200N,02,3,2021-05-18,672.0,Good,No,Local,2020s,,7,7,8,248.0,AIL Branch,Blackberry Creek,"54'-6"" PPC Box Beam, CB21, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 12,Letcher,37.123888889,-82.836944444,City,CONTRACTOR,067C00095N,04,3,2020-12-14,420.0,Fair,No,Local,2020s,,8,6,8,270.0,Caudill Town Rd,Sandlick Creek,1 - 28' Simple Span W18x86 Steel Girder,"A Open, no restriction",,1 Highway,5 Waterway
District 12,Letcher,37.171666667,-82.725833333,County,CONTRACTOR,067C00093N,02,3,2020-08-18,696.0,Good,No,Local,2020s,,8,7,8,366.0,Cornfield Dr,Boone Fork,2 (26' - 32') spans CB17 Box Beams w/ Continuous Deck,"A Open, no restriction",,1 Highway,5 Waterway
District 12,Pike,37.520251,-82.454487,KYTC,KYTC,098B00288N,01,3,2020-07-23,4897.75,Good,No,State,2020s,State Secondary,N,N,N,2255.0,KY-1441,Raccoon Creek,196' - 25'X12' Reinforced Concrete Box Culvert,"A Open, no restriction",,1 Highway,5 Waterway
