DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 06,Pendleton,38.657952778,-84.273813889,County,KYTC,096C00108N,02,3,2021-07-08,656.0,Good,No,Local,2020s,,8,8,8,,MILFORD RIVER,TRIB. TO LICKING RIVER,,"A Open, no restriction",,1 Highway,5 Waterway
District 06,Boone,38.960911111,-84.656713889,KYTC,CONTRACTOR,008B00098N,01,3,2021-07-22,575.0,Fair,No,State,Over 100,State Secondary,7,6,7,4500.0,KY 237,TRIB TO GUNPOWDER CREEK,"SINGLE SPAN, 7 STEEL I BEAMS",P Posted for load,22.0,1 Highway,5 Waterway
District 06,Pendleton,38.670277778,-84.288888889,County,KYTC,096C00109N,02,3,2021-09-23,763.0,Good,No,Local,2020s,,8,7,7,,MILFORD RD,TRIB. TO LICKING RIVER,38.08' Single Span Weathering Steel Open Girder I-beam,"A Open, no restriction",,1 Highway,5 Waterway
District 06,Gallatin,38.7551,-84.813983333,KYTC,KYTC,039B00051N,01,3,2021-12-13,0.0,Fair,No,State,2020s,Rural Secondary,N,N,N,430.0,KY 3002,TRIB-BIG SUGAR CREEK,,"A Open, no restriction",,1 Highway,5 Waterway
District 06,Boone,39.083545,-84.736618,KYTC,CONTRACTOR,008B00095N,01,3,2025-01-31,18801.86,Good,No,State,2020s,State Secondary,9,9,9,3576.0,KY-495,275,,"A Open, no restriction",,5 Highway-pedestrian,1 Highway
District 06,Grant,38.628333333,-84.709722222,KYTC,CONTRACTOR,041B00074N,01,3,2025-02-05,9004.5,Good,No,State,2020s,State Primary (Other),8,8,8,1517.0,KY 22,Eagle Creek,"333'-5 7/8"" ~ Type 4 PPC I-Beam ~ 3 Continuous Spans","A Open, no restriction",,1 Highway,5 Waterway
District 06,Harrison,38.482780556,-84.216141667,County,KYTC,049C00156N,02,3,2020-03-27,640.0,Good,No,Local,2020s,,9,8,8,30.0,SMITHSONVILLE ROAD,LITTLE BEAVER CREEK,40 Foot-Single Span Steel Stringer/Multi-beam or Girder,"A Open, no restriction",,1 Highway,5 Waterway
District 06,Grant,38.658888889,-84.672222222,KYTC,CONTRACTOR,041B00072N,01,3,2023-09-25,8013.5,Good,No,State,2020s,State Primary (Other),8,8,8,2936.0,KY 22,Clarks Ck+Baton Rouge Rd,85 'x 85' x 85' Type 3 PCIB - Continuous for Live Load,"A Open, no restriction",,1 Highway,6 Highway-waterway
District 06,Pendleton,38.682977,-84.495975,County,KYTC,096C00105N,02,3,2017-09-27,972.0,Good,No,Local,2010s,,8,8,9,124.0,FAIRVIEW RD,S. FK. GRASSY CREEK,"60', 56.82' Single Span PPC Box Beam","A Open, no restriction",,1 Highway,5 Waterway
District 06,Owen,38.5435,-84.808666667,KYTC,CONTRACTOR,094B00044N,01,3,2020-09-30,424.36,Good,No,State,2010s,Rural Secondary,N,N,N,218.0,KY 1287,STEVENS CREEK,20.6' x 8.5' RISE ALUMINUM CONTECH METAL ARCH CULVERT,P Posted for load,,1 Highway,5 Waterway
District 06,Pendleton,38.631627,-84.390887,KYTC,KYTC,096B00044N,01,3,2023-09-25,6416.0,Good,No,State,2010s,Rural Secondary,9,7,9,1087.0,KY-330,Short Creek,3 Span (45'-90'-45') PCI Beam continuous bridge,"A Open, no restriction",,1 Highway,5 Waterway
District 06,Kenton,38.84,-84.486388889,County,KYTC,059C00073N,02,3,2024-09-12,2468.118,Fair,No,Local,1970s,,6,5,6,199.0,HEMPFLING RD,CRUISES CREEK,,"A Open, no restriction",,1 Highway,5 Waterway
District 06,Campbell,38.940098241,-84.344178733,County,KYTC,019C00054N,02,3,2024-03-07,1744.0,Good,No,Local,1990s,,7,7,7,,CR-1129 Cryer Rd.,12 MILE CREEK,1-70 FT PREST CONC BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 06,Campbell,38.885763333,-84.29868248,County,KYTC,019C00055N,02,3,2024-03-07,1071.0,Fair,No,Local,1990s,,7,6,7,,GUBSER MILL RD,12 MILE CREEK,2-36 FT PREST CONC BOX BEAMS,P Posted for load,19.0,1 Highway,5 Waterway
District 06,Campbell,39.081427123,-84.491615067,City,CONTRACTOR,019C00057N,04,3,2017-08-03,27179.0,Good,No,Local,1980s,,7,7,7,,CS-1204,CSX RAILROAD,1-78SIMP(133-133-114)CONT WELDED STEEL PLATE GIRDERS,P Posted for load,33.0,1 Highway,2 Railroad
District 06,Campbell,39.104375206,-84.478228039,City,KYTC,019C00061N,04,3,2023-09-21,1786.0,Fair,No,Local,1990s,,7,6,8,,CENTER ST,CSX RAILROAD,1- 44        FT PRESTRESSED CONC  BOX BEAM SPAN,"A Open, no restriction",,1 Highway,2 Railroad
District 06,Campbell,39.103847209,-84.478276472,City,KYTC,019C00062N,04,3,2023-09-20,1889.0,Fair,No,Local,1990s,,7,6,7,1288.0,FOOTE AVE,CSX RAILROAD,1- 49        FT PRESTRESSED CONC  BOX BEAM SPAN,"A Open, no restriction",,1 Highway,2 Railroad
District 06,Campbell,38.956108795,-84.440669493,County,KYTC,019C00064N,02,3,2024-03-27,1198.0,Good,No,Local,1990s,,7,8,7,,RIFLE RANGE RD,FANNON CREEK,1 - 50     FT. PRESTRESSED CONC BOX BEAM SPANS,P Posted for load,33.0,1 Highway,5 Waterway
District 06,Boone,38.872274007,-84.632756225,KYTC,KYTC,008B00032N,01,3,2025-07-30,8869.0,Fair,No,State,1960s,Rural Secondary,6,5,5,1193.0,KY-1292,I-71 @ 76.156,1-30 FT SIMPLE RCDG & 50.5 FT-72 FT-72 FT-50.5 FT CONT.,"A Open, no restriction",,1 Highway,1 Highway
District 06,Harrison,38.406057447,-84.289968666,KYTC,KYTC,049B00068N,01,3,2020-10-14,17342.0,Fair,No,State,1990s,State Primary (Other),7,6,8,4907.0,US-27,INDIAN CREEK,100-110-110 FT CONT PCIB SPANS,"A Open, no restriction",,1 Highway,5 Waterway
District 06,Harrison,38.468578188,-84.124453568,County,KYTC,049C00006N,02,3,2022-08-03,554.0,Fair,No,Local,Over 75,,5,5,6,37.0,MOUTH OF CEDAR RD,ELK LICK CREEK,SINGLE SPAN (26.2) CONCRETE SLAB BRIDGE,P Posted for load,18.0,1 Highway,5 Waterway
District 06,Carroll,38.71622,-85.09593,KYTC,CONTRACTOR,021B00061N,01,3,2025-03-19,13275.0,Good,No,State,2010s,State Secondary,8,8,8,7948.0,US-42,McCOOL CREEK,"226.0' Three Span, PPC I-Beam","A Open, no restriction",,1 Highway,5 Waterway
