DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 08,Cumberland,36.832097222,-85.452316667,County,KYTC,029C00065N,02,3,2022-08-03,420.0,Fair,No,Local,1990s,,6,6,7,,Dutchman's Lane,Dutch Creek,"2 Span 35' Continuous 7"" Reinforced Concrete Slab",P Posted for load,18.0,1 Highway,5 Waterway
District 08,Adair,37.106941667,-85.303055556,KYTC,KYTC,001B00090N,01,3,2021-03-01,0.0,Good,No,State,2010s,State Secondary,N,N,N,8263.0,KY-55X and KY-206,Branch of Russell Creek,"14'-10"" X 4'-10"" X 199' AL Plate Culvert on ~ 49° SK","A Open, no restriction",,1 Highway,5 Waterway
District 08,Casey,37.23994,-84.993899,County,KYTC,023C00120N,02,3,2024-09-06,864.0,Fair,No,Local,1990s,,8,6,8,,Rubarts Road,Garrett Creek,Single Span 36’ Box Beam,P Posted for load,33.0,1 Highway,5 Waterway
District 08,Cumberland,36.804597222,-85.487333333,KYTC,KYTC,029B00066N,01,3,2022-08-03,0.0,Poor,No,State,Over 75,Rural Secondary,N,N,N,351.0,KY-100,German Branch,"Double 10' 4' X 26' RC Culvert, No Skew, 1.5' Fill",P Posted for load,22.0,1 Highway,5 Waterway
District 08,McCreary,36.758858,-84.518991,KYTC,KYTC,074B00034N,01,3,2020-03-03,1223.85,Fair,No,State,1980s,Rural Secondary,7,6,5,113.0,KY-700,Yahoo Falls Rock,"59'-8"" Single Span Steel Beam with Concrete Deck",P Posted for load,,1 Highway,0 Other
District 08,Rockcastle,37.385833333,-84.335555556,KYTC,KYTC,102B00076N,01,3,2023-09-25,11640.0,Good,Yes,State,2010s,State Primary (Interst.),7,7,7,47638.0,I-75,Green Hill Road,"Type-3 PCI Beam, HL-93 (25) Live Load","A Open, no restriction",,1 Highway,1 Highway
District 08,Rockcastle,37.377777778,-84.330555556,KYTC,KYTC,102B00077N,01,3,2023-01-10,35642.0,Good,Yes,State,2010s,State Primary (Interst.),7,7,7,47638.0,I-75,US-25,"75’0”, 122’-3”, 73’-3”, 3-Span Hybrid HN 54 49 PCIB","A Open, no restriction",,1 Highway,1 Highway
District 08,McCreary,36.802222222,-84.375277778,KYTC,CONTRACTOR,074B00037N,01,3,2023-01-06,5702.4,Good,No,State,2020s,Rural Secondary,7,8,8,247.0,KY-700,Indian Creek,46'-86'-46' PPC Box Beams CB17-CB42-CB17,"A Open, no restriction",,1 Highway,5 Waterway
District 08,Rockcastle,37.341944444,-84.307777778,KYTC,KYTC,102B00078N,01,3,2023-01-11,31478.0,Good,Yes,State,2020s,State Primary (Interst.),8,8,7,40386.0,I-75,US-25,65' - 111' - 65' 3 Span Type HN 48 49 PPC I-Beam,"A Open, no restriction",,1 Highway,1 Highway
District 08,Lincoln,37.528333333,-84.663055556,KYTC,KYTC,069B00101N,01,3,2023-09-20,2384.45,Good,No,State,2020s,Rural Secondary,8,7,8,2787.0,KY-1247,St. Asaph Creek,"50'-0"" PCCB TYPE SB21x48 - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
