DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 04,Hardin,37.716616,-85.747836,County,KYTC,047C00095N,02,3,2021-08-24,720.0,Good,No,Local,2020s,,8,7,8,127.0,Miller Road,Trib. of Youngers Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Nelson,37.911944444,-85.318333333,KYTC,KYTC,090B00125N,01,3,2022-10-12,2739.0,Good,No,State,2020s,State Secondary,7,8,8,3685.0,KY 48,E. Fork of Simpson Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Marion,37.557165991,-85.416796606,County,KYTC,078C00129N,02,3,2012-11-13,554.0,Good,No,Local,2000s,,7,7,7,56.0,J E BICKETT RD,CHERRY CREEK,B4   1 - 36 STEEL STRINGER SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Marion,37.58464631,-85.402448454,County,KYTC,078C00119N,02,3,2024-08-20,800.0,Good,No,Local,1990s,,7,7,7,223.0,WIMSATT RD,TRIB-PRATHER CREEK,1- 50        FT PRESTRESSED CONC  BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Grayson,37.433888889,-86.157777778,County,KYTC,043C00065N,02,3,2020-07-20,1024.0,Good,No,Local,2020s,,9,8,9,30.0,Horntown Road,Rock Creek,1-67' Side by side PC Box girder span with RC Deck,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Nelson,37.912222222,-85.317222222,KYTC,KYTC,090B00124N,01,3,2021-04-01,964.1,Good,No,State,2020s,State Secondary,N,N,N,3862.0,US 62,Hinkle Creek,1- 6.5' X 17.5' X42' RC Box Culvert,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Taylor,37.341944444,-85.338333333,City,KYTC,109C00075N,04,3,2020-04-10,760.0,Good,No,Local,2020s,,8,8,8,1356.0,South Jackson St.,Buckhorn Creek,1-38' P C Box beam span,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Hardin,37.634722222,-86.149722222,County,KYTC,047C00094N,02,3,2021-05-17,1848.0,Fair,No,Local,1980s,,8,6,8,35.0,Laurel Ridge Rd.,Linders Creek,1-77' PPC Box girder span,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Taylor,37.339722222,-85.346388889,KYTC,KYTC,109B00065N,01,3,2024-02-06,1070.0,Good,No,State,Over 100,Rural Secondary,7,7,8,4242.0,KY 323 West Main,Buckhorn Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Washington,37.7125,-85.186388889,County,KYTC,115C00082N,02,3,2024-11-28,498.0,Good,No,Local,2020s,,7,7,7,,Spaulding Lane,Unnamed stream,,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Nelson,37.942222222,-85.465,KYTC,KYTC,090B00120N,01,3,2023-01-08,7261.0,Good,No,State,2010s,State Primary (Other),7,8,8,7690.0,US 31E,Whitesides Road,,"A Open, no restriction",,1 Highway,1 Highway
District 04,Hardin,37.6675,-85.7325,County,KYTC,047C00093N,02,3,2018-06-02,700.0,Good,No,Local,2010s,,8,7,7,54.0,_Union Church RD,_Middle Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Nelson,37.671894,-85.577303,County,KYTC,090C00078N,02,3,2018-08-06,828.0,Fair,No,Local,2010s,,6,7,6,53.0,HIGDON LOOP,DAVIS RUN,,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Washington,37.684166667,-85.222777778,KYTC,CONTRACTOR,115B00073N,01,3,2023-09-20,1776.0,Good,No,State,Over 100,State Secondary,8,7,7,3286.0,KY 528,Road Run Branch,,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Taylor,37.405850576,-85.387678884,KYTC,KYTC,109B00060N,01,3,2023-11-29,600.0,Fair,No,State,2000s,Rural Secondary,6,7,8,1131.0,KY-527,FLAT RUN CREEK,1-25 FT. P.P.C.D.U. SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Taylor,37.358616774,-85.224106505,KYTC,KYTC,109B00061N,01,3,2023-09-21,2774.0,Good,No,State,2000s,State Secondary,7,7,8,1632.0,KY-70,DUTTONS CREEK,1-65 FT. PPC BOX BEAM WITH CONC DECK,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Taylor,37.370784392,-85.402744364,County,CONTRACTOR,109C00011N,02,3,2020-11-02,454.98,Fair,No,Local,1970s,,N,N,N,201.0,NOE RD,FLAT RUN,2-14 FT X 8.3 FT X 48.5 FT BC MULTI-PLATE ARCH SPANS,P Posted for load,18.0,1 Highway,5 Waterway
District 04,Taylor,37.339338675,-85.342911477,City,KYTC,109C00025N,04,3,2025-08-05,741.0,Poor,No,Local,1960s,,4,5,5,134.0,COURT ST,BUCKHORN CREEK,12.8 FT-15 FT RAILROAD RAILS ENCASED IN CONCRETE SPAN,P Posted for load,24.0,1 Highway,5 Waterway
District 04,Taylor,37.343103414,-85.336255607,City,KYTC,109C00027N,04,3,2022-03-10,437.0,Fair,No,Local,1950s,,6,6,6,118.0,DURHAM ST,BUCKHORN CREEK,1-20 FT. RAILROAD RAIL RALL SPAN,P Posted for load,6.0,1 Highway,5 Waterway
District 04,Taylor,37.438057537,-85.564550474,County,KYTC,109C00030N,02,3,2019-10-30,1398.96,Fair,No,Local,1950s,,N,N,N,67.0,POPULAR GROVE RD,POPLAR GROVE BRANCH,DOUBLE 14 FT X 7 FT X 34 FT R.C. CULVERT - 45 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Taylor,37.338716122,-85.362287776,City,KYTC,109C00032N,04,3,2016-06-16,1575.45,Fair,No,Local,1980s,,N,N,N,132.0,OLD GREENSBURG RD,BUCKHORN CREEK,TRI 11 X 7 RC BOX CULVERT- 45 DEG SKEW,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Taylor,37.433955618,-85.304275284,County,KYTC,109C00034N,02,3,2023-11-29,576.0,Good,No,Local,1990s,,7,7,7,51.0,PITMAN CREEK RD,PITMAN CREEK,1-23 FT PREST CONC DECK UNIT,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Taylor,37.411811272,-85.13163268,County,KYTC,109C00035N,02,3,2023-11-29,1920.0,Fair,No,Local,1990s,,6,6,7,282.0,MERRIMAC RD,ROBINSON CREEK,1-77 FT PREST CONC BOX BEAM SPAN,"A Open, no restriction",,1 Highway,5 Waterway
