TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Safety,District 12,Floyd,12-09005.00,KY 122,KY 306 THRU PIKE CO. LINE,D,FD52,ZS30,1200,,9362701D,,ROADWAY SAFETY-M&P,1,2,93627,2021-10-20,"PERFORM LOW COST SAFETY IMPROVEMENTS ALONG KY 122 BETWEEN MP 29.736 AND MP 34.191 IN FLOYD COUNTY, KY. (2016BOP)","THIS MODIFICATION PROVIDES ADDITIONAL $50,000 FD52 HSIP FUNDS FOR DESIGN, TOLL CREDIT MATCH.",2022,2022,50000.0
Pavement Asset Management,District 12,Floyd,,KY 122,KY 122,C,FD52,ER80,1200,202270,1146401C,,RESTORATION & REHAB,1,1,11464,2021-01-07,"RESTORE STORM DAMAGED ROADWAY ON KY 122 AT MP 9.770, 10.337, 10.970, 19.810, 22.218, 30.130, 32.380 AND 32.360.",THIS MODIFICATION PROVIDES ADDITIONAL CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS ENGINEERING.,2021,2021,22988.8
Highway Improvement,District 12,Floyd,,"CR 1257, CR 1279","HONEYCAMP BRANCH RD,HALEY RD,S",C,CB01,,1100,,1060301C,0.0219,DRAINAGE STRUCTURE,0,1,10603,2019-08-01,"LOCATED 0.004 MILES FROM KY 1498 EXTENDING WEST TO MP 0.007,LOCATED 0.171 MILES NORTH OF HALE CEMETERY RD EXTENDING NORTH TO 0.060 MILES SOUTH OF SPARKMAN CEMETERY RD,FROM KY 979 EXTENDING EAST TO MP 0.002,LOCATED 0.359 MILES WEST OF KY 850 EXTENDING WEST TO MP 0.362,LOCATED 0.018 MILES WEST OF KY 302 EXTENDING WEST TO MP 0.021,LOCATED 0.018 MILES EAST OF KY 80 EXTENDING EAST TO MP 0.021,LOCATED 0.088 MILES WEST OF KY 2030 EXTENDING WEST TO MP 0.091,LOCATED KY 777 EXTENDING SOUTH TO MP 0.003",COUNTY IS RESPONSIBLE FOR ALL PHASES OF WORK (SEE AGREEMENT). ,2020,2020,80000.0
Pavement Asset Management,District 12,Floyd,,KY 122,KY 122,C,FD52,ER80,1100,202270,1146401C,,RESTORATION & REHAB,1,1,11464,2021-01-07,"RESTORE STORM DAMAGED ROADWAY ON KY 122 AT MP 9.770, 10.337, 10.970, 19.810, 22.218, 30.130, 32.380 AND 32.360.",THIS MODIFICATION PROVIDES ADDITIONAL CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS ENGINEERING.,2021,2021,5747.2
Highway Improvement,District 12,Floyd,,KY 122,KY 122,C,FD52,,1100,,1146401C,,RESTORATION & REHAB,0,1,11464,2019-12-05,"RESTORE STORM DAMAGED ROADWAY ON KY 122 AT MP 9.770, 10.337, 10.970, 19.810, 22.218, 30.130, 32.380 AND 32.360.",FEBRUARY 2019 STORM EVENT.  JL,2020,2020,49337.2
Highway Improvement,District 12,Floyd,,KY 122,KY 122,C,FD52,Z240,1200,,1146401C,,RESTORATION & REHAB,0,1,11464,2019-12-05,"RESTORE STORM DAMAGED ROADWAY ON KY 122 AT MP 9.770, 10.337, 10.970, 19.810, 22.218, 30.130, 32.380 AND 32.360.",FEBRUARY 2019 STORM EVENT.  JL,2020,2020,197348.8
Pavement Asset Management,District 12,Floyd,,KY 122,KY 122,C,FD52,,1100,202270,1146401C,,RESTORATION & REHAB,1,1,11464,2021-01-07,"RESTORE STORM DAMAGED ROADWAY ON KY 122 AT MP 9.770, 10.337, 10.970, 19.810, 22.218, 30.130, 32.380 AND 32.360.",THIS MODIFICATION PROVIDES ADDITIONAL CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS ENGINEERING.,2020,2021,0.0
Pavement Asset Management,District 12,Floyd,,KY 122,KY 122,C,FD52,Z240,1200,202270,1146401C,,RESTORATION & REHAB,1,1,11464,2021-01-07,"RESTORE STORM DAMAGED ROADWAY ON KY 122 AT MP 9.770, 10.337, 10.970, 19.810, 22.218, 30.130, 32.380 AND 32.360.",THIS MODIFICATION PROVIDES ADDITIONAL CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS ENGINEERING.,2020,2021,0.0
Highway Improvement,District 12,Floyd,,KY 122,"KY 3383,KY 1091,KY 122,KY 122",C,FD51,,1300,,1508501C,,RESTORATION & REHAB,0,0,15085,2022-06-01,"RESTORE STORM DAMAGED ROADWAY ON KY 3383 AT MP .081, .093 AND MP .109.,RESTORE STORM DAMAGED ROADWAY ON KY 1091 AT MP .155.,RESTORE STORM DAMAGED ROADWAY ON KY 122 AT MP 3.691.,RESTORE STORM DAMAGED ROADWAY ON KY 122 AT MP 2.718 AND MP 5.034.",DISASTER #4595 - 2021 FLOODING EVENT; FEMA WILL REIMBURSE THE CABINET 90% OF THE PROJECT COST.,2022,2022,110577.6
Highway Improvement,District 12,Floyd,,KY 122,"KY 3383,KY 1091,KY 122,KY 122",C,FD51,,1100,,1508501C,,RESTORATION & REHAB,0,0,15085,2022-06-01,"RESTORE STORM DAMAGED ROADWAY ON KY 3383 AT MP .081, .093 AND MP .109.,RESTORE STORM DAMAGED ROADWAY ON KY 1091 AT MP .155.,RESTORE STORM DAMAGED ROADWAY ON KY 122 AT MP 3.691.,RESTORE STORM DAMAGED ROADWAY ON KY 122 AT MP 2.718 AND MP 5.034.",DISASTER #4595 - 2021 FLOODING EVENT; FEMA WILL REIMBURSE THE CABINET 90% OF THE PROJECT COST.,2022,2022,12286.4
