TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Highway Improvement,District 11,Bell,, ,"KY 74, KY 1630, KY 72, KY 2012",C,FD51,,1300,,1165201C,,RESTORATION & REHAB,0,0,11652,2020-01-22,"RESTORE STORM DAMAGED ROADWAY ON KY 74 AT MP 8.25 &amp; 5.418; KY 1630 AT MP .32; KY 72 AT MP .71; KY 2012 AT MP .4; KY 987 AT MP 18.7; KY 225 AT MP .82, .89 &amp; .92; KY 3485 AT MP .077, 1, 1.22 &amp; 1.44; KY 1491 AT MP 1.03 &amp; 1.27.","DISASTER #4428 - SPRING 2019, FEMA WILL REIMBURSE THE CABINET 75% OF THE PROJECT COST.  JL",2020,2020,947010.75
Highway Improvement,District 11,Bell,,KY 1344,KY 1344,C,FD51,,1100,,1332201C,,RESTORATION & REHAB,0,0,13322,2021-05-07,RESTORE STORM DAMAGED ROADWAY ON KY 1344 AT MP .64.,"DISASTER #4540 - SPRING 2020, FEMA WILL REIMBURSE THE CABINET 75% OF THE PROJECT COSTS.  JL",2021,2021,35281.5
Highway Improvement,District 11,Bell,,"CS 2184, CS 2221","EDGEWOOD ROAD,SALISBURY AVENUE",C,FD39,,1100,,1253601C,,NOT APPLICABLE,1,1,12536,2022-03-29,"RESURFACE EDGEWOOD ROAD (CS 2021) FROM ASHBURY AVENUE EXTENDING WESTERLY TO ENGLEWOOD ROAD FOR APPROXIMATELY 0.392 MILE.,RESURFACE SALISBURY AVENUE (CS 2184) FROM WILDERNESS ROAD EXTENDING EASTERLY TO US 25E FOR APPROXIMATELY 0.492 MILE.,RESURFACE WILDERNESS ROAD (CS 2221) FROM ASHBURY AVENUE EXTENDING NORTHERLY TO THE END OF CITY MAINTENANCE FOR APPROXIMATELY 0.441 MILE.,RESURFACE ASHBURY AVENUE (CS 2055) FROM WILDERNESS ROAD EXTENDING EASTERLY TO N. 15TH STREET FOR APPROXIMATELY 0.227 MILE.",THIS MODIFICATION REDUCES THE BUDGET TO ACTUAL COST FOR THE PROJECT. FINAL INVOICE HAS BEEN PAID. PROJECT HAS BEEN COMPLETED. LPI,2021,2022,0.0
Highway Improvement,District 11,Bell,,KY 3485,KY 3485,C,CB01,,1100,,1592501C,0.0600,SLIP OR SLIDE REPAIR,0,0,15925,2022-10-26,"SLIDE REPAIR - FROM KY 74 JUNCTION, NORTH 1.561 MILES (MP), EXTENDING NORTHWARDLY TO ENDING MP 1.621.",WORK TO BE PERFORMED BY STATE DOH FORCES/PRICE CONTRACT.,2023,2023,190000.0
Highway Improvement,District 11,Bell,, ,VARIOUS COUNTY ROADS,C,FD39,,1100,,9398401C,2.5390,NOT APPLICABLE,1,1,93984,2023-07-31,RESURFACE VARIOUS COUNTY ROADS IN BELL COUNTY,THIS MOD REDUCES THE FD39 BUDGET FOR THIS CLOSED PROJECT.  LPI,2024,2024,-36986.04
Highway Improvement,District 11,Bell,,US 119,US 119,C,FD04,,1100,,1948601C,,RESTORATION & REHAB,0,0,19486,2025-06-13,"SLIDE REPAIRS ON US 119 IN BELL COUNTY, KY.","THIS AUTHORIZATION PROVIDES $400,000 OF FDO4 FUNDING FROM ZVARIOUS DISTRICT 99-511.04 FOR SLIDE REPAIRS ON US 119 IN BELL COUNTY, KENTUCKY TO BE CONDUCTED WITH MASTER AGREEMENTS AND STATE FORCES. RBR ",2025,2025,400000.0
Highway Improvement,District 11,Bell,,KY 1630,KY 1630,C,FD51,,1300,,1937501C,,RESTORATION & REHAB,0,0,19375,2025-05-15,RESTORE STORM DAMAGED ROADWAY ON KY 1630 AT MP 0.35 AND MP 1.14.,DISASTER #4848-SEPTEMBER 2024 HURRICANE HELENE – FEMA WILL REIMBURSE THE CABINET 75% OF THE PROJECT COST.,2025,2025,25467.0
Highway Improvement,District 11,Bell,, ,CUMBERLAND GAP TUNNEL,C,FE01,,1300,,6835301C,,,5,8,68353,2022-01-31,MAINTENANCE AND OPERATION OF THE CUMBERLAND GAP TUNNEL.,"OBLIGATE $2,000,000 OF FE01 FUNDS FOR CONTINUING / ONGOING MAINTENANCE AND OPERATIONS.  TENNESSEE WILL REIMBURSE THE CABINET 50% OF THE COSTS (SHOWN AS 1300 FUNDS).  ",2022,2022,2000000.0
Highway Improvement,District 11,Bell,, ,CUMBERLAND GAP TUNNEL,C,FE01,,1100,,6835301C,,,5,8,68353,2022-01-31,MAINTENANCE AND OPERATION OF THE CUMBERLAND GAP TUNNEL.,"OBLIGATE $2,000,000 OF FE01 FUNDS FOR CONTINUING / ONGOING MAINTENANCE AND OPERATIONS.  TENNESSEE WILL REIMBURSE THE CABINET 50% OF THE COSTS (SHOWN AS 1300 FUNDS).  ",2022,2022,2000000.0
Highway Improvement,District 11,Bell,, ,CUMBERLAND GAP TUNNEL,C,FE01,,1300,,6835301C,,,6,8,68353,2022-12-02,MAINTENANCE AND OPERATION OF THE CUMBERLAND GAP TUNNEL.,"OBLIGATE $2,000,000 OF FE01 FUNDS FOR CONTINUING/ONGOING MAINTENANCE AND OPERATIONS. TENNESSEE WILL REIMBURSE THE CABINET 50% OF THE COSTS (SHOWN AS 1300 FUNDS).",2023,2023,2000000.0
