TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Highway Improvement,District 07,Anderson,07-00304.01, 127,US127-BLUEGRASS PARKWAY ICHNG,R,FD04,,1100,,6129101R,,,6,6,61291,2020-05-04,RECONSTRUCT US127/BLUEGRASS PARKWAY INTERCHANGE.,"RELEASE $1,320,602.70 OF FD04 FUNDS FROM EMARS#6129101R.  SAC",2020,2020,-1320602.7
Pavement Asset Management,District 07,Anderson,07-20038.00, ,*,C,FD52,,1100,202188,1246901C,8.1590,BIT SURF & RESTORE,0,0,12469,2020-10-21,"Resurfacing of KY 53 (MP 1.175-5.95) and US 127B (MP 3.272-6.656) in Anderson County, KY.",THIS AUTHORIZATION PROVIDES FEDERAL NHPP CONSTUCTION FUNDS TO COVER LOW-BID PLUS ENGINEEERING WITH STATE FUND MATCH.,2021,2021,410100.0
Pavement Asset Management,District 07,Anderson,07-20038.00, ,*,C,FD52,Z001,1200,202188,1246901C,8.1590,BIT SURF & RESTORE,0,0,12469,2020-10-21,"Resurfacing of KY 53 (MP 1.175-5.95) and US 127B (MP 3.272-6.656) in Anderson County, KY.",THIS AUTHORIZATION PROVIDES FEDERAL NHPP CONSTUCTION FUNDS TO COVER LOW-BID PLUS ENGINEEERING WITH STATE FUND MATCH.,2021,2021,1640400.0
Pavement Asset Management,District 07,Anderson,,US 127,HARRODSBURG ROAD/MAIN STREET,C,FD05,,1100,212045,1266501C,3.2610,BIT SURF & RESTORE,0,0,12665,2021-02-11,(US 127) (MP 2.535) BEGINNING AT US 127B EXTENDING NORTH TO 0.379 MILES SOUTH OF US 62. (MP 5.796),THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.,2021,2021,205365.0
Pavement Asset Management,District 07,Anderson,,KY 44,GLENSBORO ROAD,C,FD05,,1100,212120,1303601C,6.6110,BIT SURF & RESTORE,0,0,13036,2021-04-01,(KY 44) (MP 7.277) BEGINNING AT THE INDIAN CREEK EASTERN BRIDGE END EXTENDING EAST TO US 62/US 127. (MP 13.888),THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.,2021,2021,771214.0
Pavement Asset Management,District 07,Anderson,,US 62,BARDSTOWN ROAD,C,FD05,,1100,212243,1347101C,0.8650,BIT SURF & RESTORE,0,0,13471,2021-07-13,(US 62) (MP 0.000) BEGINNING AT THE ANDERSON - NELSON COUNTY LINE EXTENDING EAST TO LOVE RIDGE. (MP 0.865),THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.,2021,2022,110613.0
Pavement Asset Management,District 07,Anderson,,US 62,US 62,C,FD05,,1100,212234,1408101C,2.4890,BIT SURF & RESTORE,0,0,14081,2021-10-19,"FOX CREEK ROAD (US 62) (MP 13.531) BEGINNING 0.028 MILES WEST OF FOX CREEK-GOSHEN ROAD EXTENDING EAST TO 0.255 MILES WEST OF WALLACE LANE. (MP 16.020), A DISTANCE OF 2.48 MILES. ",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.  JL,2022,2022,304700.0
Highway Improvement,District 07,Anderson,,BG 9002,MARTHA LAYNE COLLINS-BLUEGRASS,C,FD04,,1100,211051,1441601C,3.1560,BIT SURF & RESTORE,0,0,14416,2021-12-14,ADDRESS PAVEMENT CONDITION OF MARTHA LAYNE COLLINS BLUEGRASS PARKWAY CARDINAL DIRECTION(S) FROM MILEPOINT 58.3 TO MILEPOINT 61.84,THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING (NOV 2021 LETTING).,2022,2022,2310352.0
Highway Improvement,District 07,Anderson,,KY 151,KY 151,C,FD05,,1100,221186,1473601C,4.5870,BIT SURF & RESTORE,0,1,14736,2022-03-17,"GRAEFENBURG ROAD (KY 151) (MP 0.000) FROM US 127 EXTENDING NORTH TO FRANKLIN COUNTY LINE (MP 4.587), A DISTANCE OF 4.59 MILES. ",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.,2022,2022,772420.0
Pavement Asset Management,District 07,Anderson,,KY 151,KY 151,C,FD05,,1100,222186,1473602C,4.5870,BIT SURF & RESTORE,1,1,14736,2024-03-04,"GRAEFENBURG ROAD (KY 151) (MP 0.000) FROM US 127 EXTENDING NORTH TO FRANKLIN COUNTY LINE (MP 4.587), A DISTANCE OF 4.59 MILES. ","THIS MODIFICATION PROVIDES ADDITIONAL $38,220 TO COVER TRAFFIC INSTALL ITEMS AND $171,140 FD04 FUNDS FOR CHANGE ORDER NO. 2.",2024,2024,38220.0
