TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Highway Improvement,District 04,Breckinridge,, ,"KY 992,",C,CB01,,1100,,1657801C,0.2220,SLIP OR SLIDE REPAIR,0,0,16578,2023-05-23,"SLIDE REPAIR - FROM IRON ORE HILL RD (CR 1456), 0.312 MILES NORTH (5.7 MP), EXTENDING SOUTH TO ENDING MP 5.922.,",WORK TO BE PERFORMED BY STATE DOH FORCES/PRICE CONTRACT.,2023,2023,47000.0
Pavement Asset Management,District 04,Breckinridge,04-20037.00, ,HIGHWAY 144,C,FD52,Z232,1100,202064,1248301C,8.5340,BIT SURF & RESTORE,0,0,12483,2020-10-21,"Resurfacing of KY 144 (MP 14.377-19.45) and KY 737 (MP 0.0-3.421) in Breckinridge County, KY.",THIS AUTHORIZATION PROVIDES FEDERAL STP CONSTRUCTION FUNDS TO COVER LOW-BID PLUS ENGINEERING WITH STATE FUND MATCH.,2021,2021,210550.25
Rural Roads Projects,District 04,Breckinridge,,KY 2779,"CLOVERPORT-MCQUADY RD,HIGHWAY ",C,CB06,,1100,193318,1050301C,8.0040,,0,0,10503,2019-07-12,"FROM IRON ORE HILL RD EXTENDING NORTH TO US 60,FROM KY 144 EXTENDING NORTH TO B00056N,FROM KY 259 EXTENDING NORTH TO FLOOD RD ",THIS REFLECTS THE LOW BID PLUS 5% CONST ENGR,2020,2020,748465.2
Pavement Asset Management,District 04,Breckinridge,,KY 1073,"FAIRFIELD-BURAS ROAD,HORSLEY C",C,FD05,,1100,252320,2016301C,,BIT SURF & RESTORE,0,0,20163,2025-09-08,"FAIRFIELD-BURAS ROAD (KY 1073) (MP 0.000) BEGIN AT KY 1401 EXTENDING EAST TO KY 690 (MP 7.861), A DISTANCE OF 7.86 MILES. ASPHALT RESURFACING.,HORSLEY CHAPEL RD (KY 1385) (MP 0.000) BEGIN AT KY 261 EXTENDING EAST TO KY 261 (MP 4.923), A DISTANCE OF 4.92 MILES. ASPHALT RESURFACING.",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.  ,2026,2026,891880.0
Highway Improvement,District 04,Breckinridge,, ,HOLT HOUSE VISITOR CENTER,C,FD39,,1100,,8669002C,0.0000,TRANS ENHANCEMENT,4,4,86690,2021-03-16,HOLT HOUSE VISITOR CENTER PHASE I - PROVIDE EXTERIOR STABILIZATION AND REHABILITATION TO THE HOME OF JUDGE JOSEPH HOLT IN HARDINSBURG.,THIS MOD RELEASES $100 UNOBLIGATED FD39 FUNDS FROM THIS PROJECT.  LPI,2021,2021,0.0
Highway Improvement,District 04,Breckinridge,04-00159.00, ,KY-86 LODIBURG RD KY-86,U,FD52,,1100,,1207701D,1.2310,RECONST W/WIDER LNS,2,2,12077,2025-05-02,REALIGN KY 86 FROM JESSIE PRIEST ROAD TO EAST OF ROSETTA CORNERS. (2020CCR),"THIS MOD PROVIDES $100,000 FEDERAL STP DESIGN FUNDS TO COVER GEOTECH AND FINAL PLANS. (STATE FUND MATCH)",2025,2025,0.0
Highway Improvement,District 04,Breckinridge,, ,HOLT HOUSE VISITOR CENTER,C,FD39,,1100,,8669002C,0.0000,TRANS ENHANCEMENT,3,4,86690,2020-10-13,HOLT HOUSE VISITOR CENTER PHASE I - PROVIDE EXTERIOR STABILIZATION AND REHABILITATION TO THE HOME OF JUDGE JOSEPH HOLT IN HARDINSBURG.,THIS MODIFICATION RELEASES REMAINING UNOBLIGATED FD39 CONSTRUCTION FUNDS (LESS $100) DUE TO NO EXPENDITURES SINCE FUNDS AUTHORIZED IN 2015.  ,2021,2021,-113539.0
Pavement Asset Management,District 04,Breckinridge,,KY 2201,KY 2201,C,FD05,,1100,232441,1748701C,1.8930,BIT SURF & RESTORE,0,0,17487,2023-11-08,"M HOUK LANE (KY 2201) (MP 0.000) BEGIN AT KY 105 EXTRENDING NORTH TO KY 79/KY105 (MP 1.893), A DISTANCE OF 1.89 MILES. CHIP AND SEAL.",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.  ,2024,2024,117875.0
Highway Improvement,District 04,Breckinridge,,KY 1740,KY 1740,C,FD51,,1100,,1994701C,,RESTORATION & REHAB,0,0,19947,2025-07-31,RESTORE FLOOD DAMAGED ROADWAY ON KY 1740 AT MP 5.05.,DISASTER #4860-FEBRUARY 2025 FLOOD EVENT – FEMA WILL REIMBURSE THE CABINET 75% OF THE PROJECT COST.,2026,2026,24470.5
Highway Improvement,District 04,Breckinridge,,KY 1740,KY 1740,C,FD51,,1300,,1994701C,,RESTORATION & REHAB,0,0,19947,2025-07-31,RESTORE FLOOD DAMAGED ROADWAY ON KY 1740 AT MP 5.05.,DISASTER #4860-FEBRUARY 2025 FLOOD EVENT – FEMA WILL REIMBURSE THE CABINET 75% OF THE PROJECT COST.,2026,2026,73411.5
