TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Pavement Asset Management,District 02,Caldwell,,KY 293,KY 293,C,FD05,,1100,232185,1645701C,3.2120,BIT SURF & RESTORE,0,0,16457,2023-04-11,"SOUTH JEFFERSON STREET (KY 293) (MP 0.000) BEGIN AT THE CALDWELL/LYON COUNTY LINE EXTENDING NORTH TO A PAVEMENT JOINT 0.01 MILES NORTH OF KY 903 (MP 3.212), A DISTANCE OF 3.21 MILES. PAVEMENT (WITH ALTERNATES).",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.  ,2023,2023,372680.0
Rural Roads Projects,District 02,Caldwell,,KY 672,"WEBSTER RD (KY 1592),KY 672 (K",C,CB06,,1100,253091,2005801C,4.0020,BIT. RESURFACE,0,0,20058,2025-08-12,"BIT. RESURFACING - FROM BRIDGE ID: 017B00096N OVER TOWERY BRANCH, SOUTH 0.655 MILES, EXTENDING SOUTHWARDLY TOWARDS KY 293.,BIT. RESURFACING - FROM SMILEY RD (CR 1133), NORTH 0.552 MILES, EXTENDING NORTHERLY TOWARDS ISLAND COVE LN (PR 1104).",THIS REFLECTS THE LOW BID PLUS 10% CONSTR. &amp; ENGR.,2026,2026,440969.0
Safety,District 02,Caldwell,,I 69,I 69,D,FD52,ER01,1200,224324,1482401D,,RESTORATION & REHAB,2,2,14824,2025-02-24,RESTORE STORM DAMAGED ROADWAY ON I69 AT MP 79.000.,"THIS MODIFICATION TRANSFERS $4,000 FD52 ER FUNDS WITH $1,000 STATE MATCHING FUNDS FROM THE DESIGN PHASE TO THE CONSTRUCTION PHASE AND PROVIDES ADDITIONAL $2,400 FD52 ER FUNDS WITH $600 STATE MATCHING FUNDS TO COVER CURRENT CONSTRUCTION EXPENDITURES AND PROJECT OVERSIGHT.",2025,2025,-4000.0
Highway Improvement,District 02,Caldwell,,KY 1857,KY 1857,C,FD05,,1100,,1832801C,,BIT SURF & RESTORE,0,0,18328,2024-08-30,ASPHALT RESURFACING ON KY 1857 FROM DRIPPING SPRINGS ROAD EXTENDING NORTH TO KY 91.,"THIS AUTHORIZATION PROVIDES $140,000 FD05 FUNDS FOR CONSTRUCTION FUNDING. (WORK DONE BY MASTER AGREEMENT)",2025,2025,140000.0
Pavement Asset Management,District 02,Caldwell,02-04314.00,KY 139,KY 139,C,FD04,,1100,242302,1863101C,0.2300,BIT SURF & RESTORE,0,0,18631,2024-10-15,"FARMERSVILLE ROAD (KY 139) (MP 18.210) FROM 40 FEET NORTH OF MORGAN HILL ROAD EXTENDING NORTH TO 25 FEET SOUTH OF FORK OF DONALDSON CREEK BRIDGE (MP 18.430), A DISTANCE OF 0.22 MILES. GUARDRAIL.",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.,2025,2025,79800.0
Highway Improvement,District 02,Caldwell,, ,VARIOUS COUNTY ROADS,C,FD14,,1100,,1822201C,,NOT APPLICABLE,0,0,18222,2024-07-18,RESURFACE VARIOUS ROADS IN CALDWELL COUNTY.,"THIS AUTHORIZATION PROVIDES $594,000 FD14 FUNDS FOR THE PROJECT.  AS PER AGREEMENT, THE CABINET WILL REIMBURSE CALDWELL COUNTY UP TO $594,000 FOR THIS PROJECT.  LPA CONTRACT.  LPI",2025,2025,594000.0
Highway Improvement,District 02,Caldwell,,CR 1249,"ALSOBROOK RD (CR 1206),CRIDER-",C,CB06,,1100,,2024001C,2.2620,BIT. RESURFACE,0,0,20240,2025-09-15,"BIT. RESURFACING - FROM CRIDER-DULANEY RD (CR 1249) JUNCTION (0.00 MP), EXTENDING WEST TO END OF ROAD AT MP 0.151.,BIT. RESURFACING - FROM US 62 JUNCTION (0.00 MP), EXTENDING NORTH TO END OF ROAD AT MP 2.111.",COUNTY IS RESPONSIBLE FOR ALL PHASES OF WORK (SEE AGREEMENT).,2026,2026,238429.0
Highway Improvement,District 02,Caldwell,,CR 1122,"CRESWELL RD,SCOTTSBURG RD",C,CB01,,1100,,1780201C,1.0500,DRAINAGE STRUCTURE,0,0,17802,2024-02-21,"DRAINAGE STRUCTURE LOCATE 0.05 MILE EAST OF FARMERSVILLE ROAD (MP 0.05) EXTENDING EAST TO MILE POINT 1.00,DRAINAGE STRUCTURE LOCATED FROM 1.7 MILE SOUTHWEST OF HUDGINS RD (MP 1.70) EXTENDING SOUTHWEST TO MILE POINT 1.80",COUNTY IS RESPONSIBLE FOR ALL PHASES OF WORK (SEE AGREEMENT).  RS EMERGENCY FUNDS TO BE USED FOR THIS PROJECT.  ,2024,2024,42030.0
Pavement Asset Management,District 02,Caldwell,,KY 139,CADIZ ROAD,C,FD05,,1100,242319,1873101C,,BIT SURF & RESTORE,0,0,18731,2024-11-20,"CADIZ ROAD (KY 139) (MP 0.000) BEGIN AT THE TRIGG/CALDWELL COUNTY LINE EXTENDING NORTH TO 0.187 MILES OF 1-24 OVERPASS (MP 0.645), A DISTANCE OF 0.64 MILES. ASPHALT RESURFACING.",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING. (LET WITH FE01 FUNDS),2025,2025,206910.0
Bridge Asset Management,District 02,Caldwell,02-10059.00,KY 109,"MARION ROAD,LENIN ROAD,CHARLES",C,FD04,,1100,212965,1327602C,0.5000,MINOR BRIDGE REHAB,0,1,13276,2021-05-07,"(KY109) BRIDGE 054B00073N OVER LICK CREEK AT MP 07.25 BRIDGE DECK RESTORATION &amp; WATERPROOFING.,(KY 2657) BRIDGE 054B00018N OVER I-69 AT MP 00.36 BRIDGEDECK RESTORATION &amp; WATERPROOFING.,(US 41) BRIDGE 054B00161N OVER EAST LOUISVILLE AVENUE (CS 4018) AT MP 04.86 BRIDGE DECK RESTORATION &amp; WATERPROOFING.,(KY 91) BRIDGE 017B00037N OVER I-69 AT MP 12.32 BRIDGE DECK RESTORATION &amp; WATERPROOFING.,(KY862) BRIDGE 054B00019 OVER I-69 AT MP 00.26 BRIDGE DECK RESTORATION &amp; WATERPROOFING.","THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.,1327601C	    CALDWELL		$253,871.00	 1327602C	    HOPKINS 		$780,923.00",2021,2021,1034794.0
