TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Bridge Asset Management,District 09,Bath,09-10066.00,"I 64, I 64","INTERSTATE 64,INTERSTATE 64,IN",C,FD04,,1100,212904,1327804C,0.7999,,0,1,13278,2021-05-07,"(MP 158.126). BRIDGE OVER FLEMING FORK RD. BRIDGE DECK RESTORATION &amp; WATERPROOFING.,(MP 181.377). BRIDGE OVER US 60 WILLIAMS CREEK. BRIDGE DECK RESTORATION &amp; WATERPROOFING.,(MP 151.641). BRIDGE OVER FLAT FORK RD. BRIDGE DECK RESTORATION &amp; WATERPROOFING.,(MP 170.973). BRIDGE OVER BARRET CREEK. BRIDGE DECK RESTORATION &amp; WATERPROOFING.,(MP 137.289). BRIDGE OVER KY 32. BRIDGE DECK RESTORATION &amp;  WATERPROOFING.,(MP 150.134). BRIDGE OVER FLEMING FORK RD. BRIDGE DECK RESTORATION &amp; WATERPROOFING.,(MP 121.824). BRIDGE OVER SLATE CREEK. BRIDGE DECK RESTORATION &amp; WATERPROOFING.,(MP 159.246). BRIDGE OVER FLEMING FORK RD. BRIDGE DECK RESTORATION &amp; WATERPROOFING.","THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.,1327801C	BATH		$122,815.00	 1327802C	BOYD	        $70,371.00	 1327803C	CARTER		$320,872.00	 1327804C	ROWAN		$139,886.00",2021,2021,653944.0
Highway Improvement,District 09,Bath,09-80250.00,US 60,US-60,D,FD04,,1100,,1624801D,0.8000,,0,0,16248,2023-03-06,REALIGN ROADWAY ON US 60 NEAR OWINGSVILLE BEGINNING IN THE VICINITY OF ROSE BUSH LN AND ENDING AT WELLS ROAD NEAR I 64 EXIT 123 (2022CCN),"THIS AUTHORIZATION PROVIDES $500,000 FD04 FUNDS FOR PE &amp; ENVIRONMENTAL (PARTIAL DESIGN AUTHORIZATION).",2023,2023,500000.0
Pavement Asset Management,District 09,Bath,,KY 36,OWINGSVILLE TO SHARPSBURG ROAD,C,FD05,,1100,192211,1053401C,11.1870,BIT SURF & RESTORE,0,0,10534,2019-07-12,(KY 36) (MP 0.000) BEGIN AT THE BATH/NICHOLAS EXTENDING EAST TO PRICKLEY ASH CREEK BRIDGE (MP 11.187),THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.,2020,2020,1633896.0
Pavement Asset Management,District 09,Bath,,KY 11,MOUNT STERLING TO FLEMINGSBURG,C,FD05,,1100,202079,1189801C,3.2210,BIT SURF & RESTORE,0,0,11898,2020-04-14,(KY 11) (MP 7.532) BEGIN AT KY 1106 EXTENDING NORTH TO SANDERSON NORTH ROAD (MP 10.753),THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING. PAYMENT TO THE CONTRACTOR WILL BE DEFERRED UNTIL SEPTEMBER 2020. 10% FOR ENGINEERING PROVIDED FROM FY 2020 FUNDS,2020,2020,43900.0
Pavement Asset Management,District 09,Bath,,KY 11,MOUNT STERLING TO FLEMINGSBURG,C,FD05,,1100,202079,1189801C,3.2210,BIT SURF & RESTORE,0,0,11898,2020-04-14,(KY 11) (MP 7.532) BEGIN AT KY 1106 EXTENDING NORTH TO SANDERSON NORTH ROAD (MP 10.753),THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING. PAYMENT TO THE CONTRACTOR WILL BE DEFERRED UNTIL SEPTEMBER 2020. 10% FOR ENGINEERING PROVIDED FROM FY 2020 FUNDS,2021,2020,438995.0
Pavement Asset Management,District 09,Bath,,KY 36,OWINGSVILLE-FRENCHBURG,C,FD05,,1100,222150,1459701C,,BIT SURF & RESTORE,0,1,14597,2022-02-16,"OWINGSVILLE - FRENCHBURG (KY 36) (MP 11.847) BEGINNING AT US 60 EXTENDING EAST TO KY 3290. (MP 20.504), A DISTANCE OF 8.65 MILES. PAVEMENT (WITH ALTERNATES).",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS FOR THE PROJECT PLUS 10% FOR ENGINEERING.,2022,2022,739805.0
Pavement Asset Management,District 09,Bath,,KY 36,OWINGSVILLE-FRENCHBURG,C,FD05,,1100,222150,1459701C,,BIT SURF & RESTORE,1,1,14597,2023-04-24,"OWINGSVILLE - FRENCHBURG (KY 36) (MP 11.847) BEGINNING AT US 60 EXTENDING EAST TO KY 3290. (MP 20.504), A DISTANCE OF 8.65 MILES. PAVEMENT (WITH ALTERNATES).","THIS MODIFICATION PROVIDES ADDITIONAL $110,000 FD05 FUNDS TO COVER CHANGE ORDER NO. 3 AND OVERSIGHT.",2023,2023,110000.0
Pavement Asset Management,District 09,Bath,,KY 36,OWINGSVILLE-FRENCHBURG,C,FD05,,1100,222150,1459701C,,BIT SURF & RESTORE,1,1,14597,2023-04-24,"OWINGSVILLE - FRENCHBURG (KY 36) (MP 11.847) BEGINNING AT US 60 EXTENDING EAST TO KY 3290. (MP 20.504), A DISTANCE OF 8.65 MILES. PAVEMENT (WITH ALTERNATES).","THIS MODIFICATION PROVIDES ADDITIONAL $110,000 FD05 FUNDS TO COVER CHANGE ORDER NO. 3 AND OVERSIGHT.",2022,2023,0.0
Pavement Asset Management,District 09,Bath,,US 60,US 60,C,FD05,,1100,222317,1501201C,3.2630,BIT SURF & RESTORE,0,0,15012,2022-05-16,"MT STERLING - OWINGSVILLE ROAD (US 60) (MP 0.000) FROM MONTGOMERY COUNTY LINE EXTENDING EAST TO KY 1198 (MP 3.263), A DISTANCE OF 3.26 MILES. ",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.  ,2022,2022,406340.0
Pavement Asset Management,District 09,Bath,,KY 111,WYOMING ROAD,C,FD05,,1100,222373,1514401C,,BIT SURF & RESTORE,0,0,15144,2022-06-14,"(MP 3.750) FROM 0.45 MILES NORTH OF WATER DELL ROAD, EXTENDING NORTH TO FLEMING COUNTY LINE (MP 8.054), A DISTANCE OF 4.30 MILES. ASPHALT RESURFACING.",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.  ,2022,2022,510400.0
Pavement Asset Management,District 09,Bath,,KY 11,KY 11,C,FD05,,1100,222527,1596901C,7.5320,BIT SURF & RESTORE,0,0,15969,2022-11-07,"MT STERLING / FLEMINGSBURG ROAD (KY 11) (MP 0.000) MONTGOMERY COUNTY LINE EXTENDING NORTH TO KY 1106 (MP 7.532), A DISTANCE OF 7.53 MILES. ASPHALT RESURFACING.",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.  ,2023,2023,2121075.0
Highway Improvement,District 09,Bath,,KY 6217,KY 6217,C,FD05,,1100,,1721201C,,BIT SURF & RESTORE,0,0,17212,2023-09-18,ASPHALT RESURFACING FROM WELLS ROAD EXTENDING EAST TO WELLS ROAD.,THIS AUTHORIZATION PROVIDES STATE (FD05) FUNDS FOR THE CONSTRUCTION PHASE ADMINISTERED BY MASTER AGREEMENT.,2024,2024,40000.0
Pavement Asset Management,District 09,Bath,,KY 111,WYOMING ROAD,C,FD05,,1100,232445,1758001C,,BIT SURF & RESTORE,0,1,17580,2023-12-04,"WYOMING ROAD (KY 111) (MP 0.000) BEGIN AT US 60 EXTENDING NORTH TO A CHANGE IN PAVEMENT 0.45 MILES NORTH OF WATER DELL ROAD (MP 3.750), A DISTANCE OF 3.75 MILES. PAVEMENT (WITH ALTERNATES).",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.,2024,2024,416350.0
Pavement Asset Management,District 09,Bath,,KY 111,WYOMING ROAD,C,FD05,,1100,232445,1758001C,,BIT SURF & RESTORE,1,1,17580,2025-06-05,"WYOMING ROAD (KY 111) (MP 0.000) BEGIN AT US 60 EXTENDING NORTH TO A CHANGE IN PAVEMENT 0.45 MILES NORTH OF WATER DELL ROAD (MP 3.750), A DISTANCE OF 3.75 MILES. PAVEMENT (WITH ALTERNATES).","THIS MODIFICATION PROVIDES ADDITIONAL $10,000 FD05 FUNDS TO COVER CURRENT CONSTRUCTION EXPENDITURES.",2025,2025,10000.0
Pavement Asset Management,District 09,Bath,,KY 111,WYOMING ROAD,C,FD05,,1100,232445,1758001C,,BIT SURF & RESTORE,1,1,17580,2025-06-05,"WYOMING ROAD (KY 111) (MP 0.000) BEGIN AT US 60 EXTENDING NORTH TO A CHANGE IN PAVEMENT 0.45 MILES NORTH OF WATER DELL ROAD (MP 3.750), A DISTANCE OF 3.75 MILES. PAVEMENT (WITH ALTERNATES).","THIS MODIFICATION PROVIDES ADDITIONAL $10,000 FD05 FUNDS TO COVER CURRENT CONSTRUCTION EXPENDITURES.",2024,2025,0.0
Highway Improvement,District 09,Bath,,KY 6219,KY 6219,C,FD05,,1100,,1966601C,,BIT SURF & RESTORE,0,0,19666,2025-07-08,ASPHALT RESURFACING ON KY 6219 FROM VANCE ROAD EXTENDING EAST TO KY 211.,THIS AUTHORIZATION PROVIDES STATE (FD05) FUNDS FOR THE CONSTRUCTION PHASE ADMINISTERED BY MASTER AGREEMENT.,2026,2026,60000.0
Highway Improvement,District 09,Bath,,KY 6218,KY 6218,C,FD05,,1100,,1966701C,,BIT SURF & RESTORE,0,0,19667,2025-07-08,ASPHALT RESURFACING ON KY 6218 FROM OLD PEASTICKS ROAD EXTENDING EAST TO OLD PEASTICKS ROAD.,THIS AUTHORIZATION PROVIDES STATE (FD05) FUNDS FOR THE CONSTRUCTION PHASE ADMINISTERED BY MASTER AGREEMENT.,2026,2026,60000.0
Highway Improvement,District 09,Bath,,KY 1331,"KY 1331,KY 3290 ",C,CB06,,1100,,1235901C,0.5000,BIT. PATCHING,0,0,12359,2020-09-25,"BIT PATCHING AT VARIOUS LOCATIONS FROM THE MONTGOMERY COUNTY LINE (MP 0.000) EXTENDING EAST TO KY 965 (MP 3.344),BIT PATCHING AT VARIOUS LOCATIONS FROM KY 36 (MP 0.000) EXTENDING NORTHEAST TO KY 211 (MP 4.117)",WORK TO BE PERFORMED BY DOH FORCES/PRICE CONTRACT.  RS EMERGENCY FUNDS WILL BE USED FOR THIS PROJECT.,2021,2021,51600.0
Highway Improvement,District 09,Bath,,CR 1316,"DONAH ROAD,OLD RIVER ROAD,RAME",C,CB06,,1100,,1542701C,4.5630,BIT. PATCHING,0,0,15427,2022-07-18,"BIT PATCHING - 0.00 MILES SOUTH OF KY 1331, EXTENDING SOUTHEAST TO ENDING MP 1.822.,BIT PATCHING - 0.00 MILES SOUTH OF US 60, EXTENDING SOUTHEAST TO ENDING MP 1.03.,BIT PATCHING - 0.00 MILES NORTH OF KY 11, EXTENDING NORTH TO COUNTY LINE AT ENDING MP 1.711.",COUNTY IS RESPONSBILE FOR ALL PHASES OF WORK (SEE AGREEMENT).,2023,2023,192612.0
Highway Improvement,District 09,Bath,,KY 1269,KY-1269,C,CB06,,1100,,1045101C,2.2360,BIT. RESURFACE,0,0,10451,2019-06-28,FROM US 60 EXTENDING EAST TO FEARING RD,WORK TO BE PREFORMED BY STATE DOH FORCES/PRICE CONTRACT.  ,2020,2019,210000.0
Highway Improvement,District 09,Bath,,CR 1006,"JOHNSON FORD RD ,FERGUSON RD,L",C,CB06,,1100,,1063901C,3.3309,BIT. RESURFACE,0,0,10639,2019-08-01,"FROM 0.657 MILES NORTH OF RICE RD EXTENDING NORTH TO END OF COUNTY MAINTENANCE ,FROM 0.500 MILES EAST OF ADAMS RD EXTENDING EAST TO FOXCLIFF RD ,FROM KY 36 EXTENDING WEST TO END OF COUNTY MAINTENANCE,FROM US 60 EXTENDING NORTH TO END OF COUNTY MAINTENANCE ,FROM 0.269 MILES NORTH OF KY 1269 EXTENDING NORTH TO END OF COUNTY MAINTENANCE,FROM KY 826 EXTENDING SOUTH TO END OF COUNTY MAINTENANCE ,FROM KY 965 EXTENDING EAST TO END OF COUNTY MAINTENANCE ,FROM KY 211 EXTENDING SOUTH TO CARRINGTON DR  - PATCHING ",COUNTY IS RESPONSIBLE FOR ALL PHASES OF PROJECT (SEE AGREEMENT).,2020,2020,135631.0
Highway Improvement,District 09,Bath,,CR 1204,"ELK LICK RD,N LITTLE FLAT- LED",C,CB06,,1100,,1221101C,4.6790,BIT. RESURFACE,0,0,12211,2020-09-16,"FROM 0.562 MILES EAST OF KY 36 EXTENDING EAST TO 0.972 MILES WEST OF COLUMBIA RD ,FROM 0.255 MILES NORTH OF KY 11 EXTENDING NORTH TO SHARP RD,FROM KY 965 EXTENDING EAST TO 0.022 MILES WEST OF MILL CREEK RD,FROM KENDALL SPRINGS RD EXTENDING NORTH TO END OF COUNTY ROAD MAINTENANCE - PATCHING",COUNTY IS RESPONSIBLE FOR ALL PHASES OF WORK (SEE AGREEMENT). ,2021,2021,175062.0
Highway Improvement,District 09,Bath,,KY 1325,KY-1325,C,CB06,,1100,,1279101C,4.6260,BIT. RESURFACE,0,0,12791,2021-01-07,FROM KY 36 EXTENDING NORTH TO 0.231 MILES NORTH OF HENDRIX RD,WORK TO BE PREFORMED BY STATE DOH STATE FORCES/ PRICE CONTRACT. ,2021,2021,410000.0
Highway Improvement,District 09,Bath,,KY 1325,"KY-1602,KY-1325",C,CB06,,1100,,1364001C,7.6330,BIT. RESURFACE,0,0,13640,2021-07-23,"PATCHING FROM KY-1325 EXTENDING EAST 0.246 MILES EAST OF CHAD RD,FROM 0.585 MILES NORTH OF YOUNG RD EXTENDING NORTH TO KY 11",WORK TO BE PREFORMED BY STATE DOH FORCES/ PRICE CONTRACT.,2022,2022,406110.0
Highway Improvement,District 09,Bath,,CR 1010,"ORE MINES RD,RIDDLE RD,FORGE H",C,CB06,,1100,,1375801C,3.3890,BIT. RESURFACE,0,0,13758,2021-08-11,"FROM US-60 EXTENDING SOUTH TO OAKLAND RD,FROM FORGE HILL RD EXTENDING NORTHTO ADAMS RD,FROM KY-1269 EXTENDING NORTH TO RIDDLE RD,FROM KY-36 EXTENDING SOUT HTO OLD STATE RD -PATCHING ,FROM KY-211 EXTENDING WEST TO END OF COUNTY ROAD MAINTENANCE ,FROM US-60 EXTENDING SOUTH TO END OF COUNTY ROAD MAINTENANCE ",COUNTY IS RESPONSIBLE FOR ALL PHASES OF WORK (SEE AGREEMENT).,2022,2022,183156.0
Rural Roads Projects,District 09,Bath,,KY 1331,"KY 1602,KY 1331",C,CB06,,1100,233005,1621801C,5.3439,BIT. RESURFACE,0,0,16218,2023-02-08,"BIT. RESURFACING - FROM 0.12 MILES WEST OF CRAIN ROAD AND EXTENDING TO KY 111 (MP 7.057), A DISTANCE OF 02.00 MILES.,BIT. RESURFACING - FROM MONTGOMERY COUNTY LINE EXTENDING EASTERLY TO KY 965. (MP 3.344), A DISTANCE OF 03.34 MILES.",THIS REFLECTS THE LOW BID PLUS 10% CONSTR. ENGR.,2023,2023,571486.0
