TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Highway Improvement,District 06,Boone,06-80003.00, ,US-42,C,FD52,,1100,211311,1060101C,,RECONST TO FREEWAY,1,4,10601,2021-04-08,INCREASE CAPACITY AND REDUCE CONGESTION ON US 42 AT I 71/75(18CCN),THIS AUTHORIZATION PROVIDES FEDERAL CM CONSTUCTION FUNDS TO COVER LOW-BID PLUS ENGINEEERING WITH STATE FUND MATCH.,2021,2021,798600.0
Pavement Asset Management,District 06,Boone,,KY 18,BURLINGTON PIKE,C,FD05,,1100,192165,1023001C,0.3300,BIT SURF & RESTORE,1,1,10230,2021-07-02,(KY 18) (MP 3.502) BEGIN AT KY 20 EXTENDING 1700 FEET EAST TO 0.6150 MILES WEST OF MIDDLE CREEK ROAD (MP 3.841),THIS MODIFICATION PROVIDES ADDITIONAL FD05 FUNDS TO COVER CHANGE ORDER NO. 1.,2022,2022,10000.0
Highway Improvement,District 06,Boone,,CR 1224,DALE WILLIAMSON ROAD,C,CA03,,1100,,1848301C,0.0450,SLIP OR SLIDE REPAIR,0,0,18483,2024-09-03,SLIDE REPAIR LOCATED FROM 0.137 MILE SOUTHWEST OF BIG JIMMY HILL ROAD (MP 0.966) EXTENDING NORTHEAST TO MILE POINT 1.011,COUNTY IS RESPONSIBLE FOR ALL PHASES OF WORK.  COUNTY ROAD AID EMERGENCY FUNDS TO BE USED FOR THIS PROJECT.  PAYMENTS TO BE MADE DIRECTLY TO THE COUNTY.  ,2025,2025,100000.0
Highway Improvement,District 06,Boone,06-00018.00, ,LEXINGTON - COVINGTON,C,FD52,Z430,1200,,8433801D,,RECONST TO FREEWAY,11,13,84338,2020-07-16,RECONSTRUCTION OF THE I-75/RICHWOOD ROAD (KY-338) INTERCHANGE AT EXIT 175 NORTH  OF WALTON.,"THIS MODIFICATION PROVIDES ADDITIONAL $335,000 FD52 FUNDS TO COVER CONTRACT MODIFICATION #7.  TOLL CREDIT MATCH",2020,2021,0.0
Rural Roads Projects,District 06,Boone,,KY 8,RIVER RD,C,CB06,,1100,183142,9447301C,3.0470,BIT. RESURFACE,1,1,94473,2021-01-27,FROM KY 237 EXTENDING EAST TO TANNER ROAD,MOD 1 - OVER RUN ON CONSTRUCTION ADDITIOANL FUNDS ADDED. ,2021,2021,10000.0
Highway Improvement,District 06,Boone,, ,OKI PLANNING ACTIVITIES,N,FD52,Z230,1200,,1202801N,,NOT APPLICABLE,0,0,12028,2020-06-24,"REGIONAL CLEAN AIR PROGRAM, FISCAL IMPACT ANALYSIS MODEL, LAND USE, AND RIDESHARE ACTIVITIES SPECIFIED IN OKI'S UPWP.","THIS AUTHORIZATION PROVIDES FEDERAL FUNDS ONLY ($143,200), OKI WILL PROVIDE MATCHING FUNDS ($35,800 TOTAL, WITH $17,300 IN-KIND MATCH CONSISTING OF ADVERTISING CONTRIBUTED SERVICES.)",2020,2020,143200.0
Highway Improvement,District 06,Boone,06-00018.00, ,LEXINGTON - COVINGTON,U,FD52,M001,1100,,8433801D,,RECONST TO FREEWAY,11,13,84338,2020-07-16,RECONSTRUCTION OF THE I-75/RICHWOOD ROAD (KY-338) INTERCHANGE AT EXIT 175 NORTH  OF WALTON.,"THIS MODIFICATION PROVIDES ADDITIONAL $335,000 FD52 FUNDS TO COVER CONTRACT MODIFICATION #7.  TOLL CREDIT MATCH",2020,2021,0.0
Rural Roads Projects,District 06,Boone,,KY 2852,"RIDDLES RUN ROAD (KY 2852),BEL",C,CB06,,1100,173114,9292901C,5.0370,BIT. RESURFACE,1,1,92929,2019-11-21,"FROM KY 338 (MP 0.000) EXTENDING NORTH TO KY 536 (MP 2.337),FROM KY 18 (MP 0.000) EXTENDING EAST TO 0.102 MILE WEST OF WOOLPER CREEK BRIDGE (008B00094N) (MP 2.700)",THIS MOD ADDS FUNDS FOR CHANGE ORDER #1.,2020,2020,90000.0
Highway Improvement,District 06,Boone,06-00018.00, ,LEXINGTON - COVINGTON,U,FD52,M001,1200,,8433801D,,RECONST TO FREEWAY,11,13,84338,2020-07-16,RECONSTRUCTION OF THE I-75/RICHWOOD ROAD (KY-338) INTERCHANGE AT EXIT 175 NORTH  OF WALTON.,"THIS MODIFICATION PROVIDES ADDITIONAL $335,000 FD52 FUNDS TO COVER CONTRACT MODIFICATION #7.  TOLL CREDIT MATCH",2020,2021,0.0
Highway Improvement,District 06,Boone,06-00018.00, ,LEXINGTON - COVINGTON,C,FD52,LS4E,1100,,8433801D,,RECONST TO FREEWAY,11,13,84338,2020-07-16,RECONSTRUCTION OF THE I-75/RICHWOOD ROAD (KY-338) INTERCHANGE AT EXIT 175 NORTH  OF WALTON.,"THIS MODIFICATION PROVIDES ADDITIONAL $335,000 FD52 FUNDS TO COVER CONTRACT MODIFICATION #7.  TOLL CREDIT MATCH",2020,2021,0.0
