TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,FORT JEFFERSON HILL RD+S 4TH S,R,FD52,Z0E1,1100,,8580703D,,BRIDGE REPLACEMENT,5,5,85807,2025-05-09,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),"THIS MODIFICATION PROVIDES ADDITIONAL FD52 FBP FUNDS WITH STATE MATCHING FUNDS FOR FINAL DESIGN.  KYTC WILL INVOICE ILLINOIS DEPT. OF TRANSPORTATION (IDOT) $14,550,000 OF FD52 “1300” WHICH REPRESENTS THE 50% OF THE $29,100,000 TOTAL.",2022,2025,0.0
Highway Improvement,District 01,Ballard,,CS 3007,"E. 3RD STREET,PINE STREET,BISC",C,FD39,,1100,,1110701C,,NOT APPLICABLE,0,1,11107,2019-10-07,"RESURFACE E. 3RD STREET (CS 3007) FROM KY 358 EXTENDING EASTERLY TO LOCUST STREET FOR APPROXIMATELY 0.295 MILE.,RESURFACE PINE STREET (CS 3015) FROM W. 6TH STREET EXTENDING SOUTHERLY TO W. 3RD STREET FOR APPROXIMATELY 0.263 MILE.,RESURFACE BISCAYNE DRIVE (CS 3028) FROM IMPALA DRIVE EXTENDING SOUTHERLY TO THE END OF CITY MAINTENANCE FOR APPROXIMATELY 0.257 MILE.","THIS AUTHORIZATION PROVIDES $76,245 FD39 FUNDS FOR THE PROJECT.  AS PER AGREEMENT, THE CABINET WILL REIMBURSE THE CITY OF LACENTER UP TO $76,245 FOR THIS PROJECT.  LPA CONTRACT.  LPI",2020,2020,76245.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,FORT JEFFERSON HILL RD+S 4TH S,D,FD52,Y115,1200,,8580703D,,BRIDGE REPLACEMENT,5,5,85807,2025-05-09,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),"THIS MODIFICATION PROVIDES ADDITIONAL FD52 FBP FUNDS WITH STATE MATCHING FUNDS FOR FINAL DESIGN.  KYTC WILL INVOICE ILLINOIS DEPT. OF TRANSPORTATION (IDOT) $14,550,000 OF FD52 “1300” WHICH REPRESENTS THE 50% OF THE $29,100,000 TOTAL.",2025,2025,11640000.0
Pavement Asset Management,District 01,Ballard,,US 51,GREEN STREET,C,FD05,,1100,222244,1502701C,,BIT SURF & RESTORE,0,0,15027,2022-05-16,"(MP 3.376) BEGIN AT KY 121 EXTENDING NORTH TO WILLOW SLOUGH BRIDGE (MP 4.247), A DISTANCE OF 0.87 MILES. ASPHALT RESURFACING.",THIS AUTHORIZATION PROVIDES CONSTRUCTION FUNDS TO COVER THE LOW BID PLUS 10% FOR ENGINEERING.,2022,2022,264880.0
Highway Improvement,District 01,Ballard,,KY 1368,KY 1368,C,FD05,,1100,,1528801C,,BIT SURF & RESTORE,0,0,15288,2022-07-06,RESURFACING ON KY 1368 FROM S. ADKINS DIXON ROAD EXTENDING EAST TO WAYSIDE INN ROAD.,"THIS AUTHORIZATION PROVIDES $170,000 FD05 FUNDS FOR THE CONSTRUCTION.",2022,2023,170000.0
Pavement Asset Management,District 01,Ballard,01-20000.00,US 51,US-51,D,FD52,Z001,1200,,1229701D,,RESTORATION & REHAB,0,0,12297,2020-09-21,ADDRESS PAVEMENT CONDITION OF AC PAVEMENT ON US-51 (MP 4.873 - MP 7.3) IN BALLARD CO.,"OBLIGATE $220,000 (Z001) FUNDS FOR THE DESIGN PHASE.  STATE MATCH= $55,000.   SAC",2021,2021,220000.0
Pavement Asset Management,District 01,Ballard,01-20000.00,US 51,US-51,D,FD52,Z001,1100,,1229701D,,RESTORATION & REHAB,0,0,12297,2020-09-21,ADDRESS PAVEMENT CONDITION OF AC PAVEMENT ON US-51 (MP 4.873 - MP 7.3) IN BALLARD CO.,"OBLIGATE $220,000 (Z001) FUNDS FOR THE DESIGN PHASE.  STATE MATCH= $55,000.   SAC",2021,2021,55000.0
Highway Improvement,District 01,Ballard,01-20000.00,US 51,FORT JEFFERSON HILL RD S 4TH S,C,FD52,,1100,201018,1199901C,,RESTORATION & REHAB,0,0,11999,2020-05-29,ADDRESS PAVEMENT CONDITION OF  AC PAVEMENT AND BRIDGE MAINTENANCE WORK.,"THIS AUTHORIZATION PROVIDES THE INITIAL FUNDS FOR THE CONSTRUCTION PHASE OF THE PROJECT.  APRIL, 2020 LETTING.  JL",2020,2020,763400.0
Highway Improvement,District 01,Ballard,01-20000.00,US 51,FORT JEFFERSON HILL RD S 4TH S,C,FD52,Z001,1200,201018,1199901C,,RESTORATION & REHAB,0,0,11999,2020-05-29,ADDRESS PAVEMENT CONDITION OF  AC PAVEMENT AND BRIDGE MAINTENANCE WORK.,"THIS AUTHORIZATION PROVIDES THE INITIAL FUNDS FOR THE CONSTRUCTION PHASE OF THE PROJECT.  APRIL, 2020 LETTING.  JL",2020,2020,3053600.0
Highway Improvement,District 01,Ballard,,KY 1280,KY 1280,C,FD05,,1100,,1692301C,,BIT SURF & RESTORE,0,0,16923,2023-07-25,RESURFACING ON KY 1280 FROM STOUGH LANE EXTENDING NORTH TO US 60.,THIS AUTHORIZATION PROVIDES STATE (FD05) FUNDS FOR THE CONSTRUCTION PHASE ADMINISTERED BY MASTER AGREEMENT.,2024,2024,150000.0
Highway Improvement,District 01,Ballard,,KY 1368,TABOR ROAD,C,FD05,,1100,,1713401C,,BIT SURF & RESTORE,0,0,17134,2023-08-31,ASPHALT RESURFACING ON KY 1368 FROM WAYSIDE INN ROAD EXTENDING EAST TO KY 1290.,"THIS AUTHORIZATION PROVIDES $70,000 STATE FD05 FUNDS FOR THE CONSTRUCTION PHASE. ",2024,2024,70000.0
Bridge Asset Management,District 01,Ballard,01-01140.00,US 51,FORT JEFFERSON HILL RD+S 4TH S,D,FD52,Y001,1100,,8580703D,,BRIDGE REPLACEMENT,5,5,85807,2025-05-09,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),"THIS MODIFICATION PROVIDES ADDITIONAL FD52 FBP FUNDS WITH STATE MATCHING FUNDS FOR FINAL DESIGN.  KYTC WILL INVOICE ILLINOIS DEPT. OF TRANSPORTATION (IDOT) $14,550,000 OF FD52 “1300” WHICH REPRESENTS THE 50% OF THE $29,100,000 TOTAL.",2024,2025,0.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,FORT JEFFERSON HILL RD+S 4TH S,R,FD52,Z0E1,1200,,8580703D,,BRIDGE REPLACEMENT,5,5,85807,2025-05-09,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),"THIS MODIFICATION PROVIDES ADDITIONAL FD52 FBP FUNDS WITH STATE MATCHING FUNDS FOR FINAL DESIGN.  KYTC WILL INVOICE ILLINOIS DEPT. OF TRANSPORTATION (IDOT) $14,550,000 OF FD52 “1300” WHICH REPRESENTS THE 50% OF THE $29,100,000 TOTAL.",2022,2025,0.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,FORT JEFFERSON HILL RD+S 4TH S,D,FD52,Z001,1300,,8580703D,,BRIDGE REPLACEMENT,5,5,85807,2025-05-09,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),"THIS MODIFICATION PROVIDES ADDITIONAL FD52 FBP FUNDS WITH STATE MATCHING FUNDS FOR FINAL DESIGN.  KYTC WILL INVOICE ILLINOIS DEPT. OF TRANSPORTATION (IDOT) $14,550,000 OF FD52 “1300” WHICH REPRESENTS THE 50% OF THE $29,100,000 TOTAL.",2021,2025,0.0
