"DISTRICT","COUNTY","SYP_NO","ROUTE_PREFIX","ROUTE_NO","ROUTE","TYPE_WORK","BMP","EMP","DESCRIPTION","BRIDGE_ID","ENACT_INITIAL_YEAR","ENACT_YEAR","ENACT_PHASE","FUND_CODE","RSY_FUND","RSY_YEAR","LATEST_LETTING_DATE","AWARDED","NUMBER_OF_LETTINGS","RT_UNIQUE","GEOMETRY_WKT"
"District 12","Floyd","12-00195.10","KY","979","KY-979","SPOT IMPROVEMENTS","12.398","12.985","SPOT IMPROVEMENTS ON KY 979, BEGINNING 0.14 MI WEST OF NEWMAN’S BRANCH ROAD TO THE JOHN M. STUMBO SCHOOL. (SECTION 1)","","2026","2026","C","HGC","6140000","2026","2026-05-21","Awarded","1","036-KY-0979-000","LINESTRING (-82.6564077217 37.4752015073, -82.6564226646 37.4752865401, -82.6566918099 37.4766242289, -82.6567472007 37.4768675152, -82.6568001321 37.4771533309, -82.6568578297 37.4774903851, -82.6568833308 37.4778139468, -82.6568995428 37.4779215473, -82.6569611289 37.4782894813, -82.6570624639 37.4788208712, -82.6570897739 37.4790595679, -82.6570921497 37.4792096715, -82.657076086 37.4793554402, -82.6570409275 37.4794960323, -82.6569854455 37.4796278434, -82.6569376676 37.4797650797, -82.6569110987 37.4799146925, -82.656860954 37.4801999825, -82.6568146237 37.4803438514, -82.6567841902 37.4804122968, -82.6566142363 37.4807510292, -82.6565703737 37.4808935901, -82.6565498302 37.4810392401, -82.6565505284 37.4811881994, -82.656582107 37.48147345, -82.6567979133 37.4825107473, -82.6568533429 37.4828029488, -82.6568697817 37.482946553, -82.6569052345 37.4830890108, -82.6569751699 37.4832977822, -82.6570039896 37.4833510302, -82.6570849617 37.4834603408, -82.6571452426 37.483528215)"
"District 12","Floyd","12-00195.20","KY","979","KY-979","SPOT IMPROVEMENTS","12.985","13.95","SPOT IMPROVEMENTS ON KY 979 FROM BRANHAM’S CREEK TO 0.14 MIL WEST OF NEWSOME BRANCH ROAD. (SECTION 2)","","2026","2026","C","HGC","7080000","2026","","","","036-KY-0979-000","LINESTRING (-82.6571452426 37.483528215, -82.6571854299 37.4835734645, -82.6572639949 37.4836494607, -82.6573306075 37.4837309127, -82.6573711247 37.4838179945, -82.657376656 37.4839088241, -82.6573611576 37.4840161357, -82.6573505112 37.4840565252, -82.6573377546 37.484106201, -82.6573237228 37.484252848, -82.6573459345 37.4845312556, -82.6573422617 37.4846858704, -82.6572924693 37.4849129123, -82.657203008 37.4851982626, -82.6571777513 37.4852665701, -82.6571165798 37.4853941098, -82.6570335432 37.48550843, -82.6569243124 37.4856058455, -82.6566775864 37.4857754728, -82.6564968011 37.4858935299, -82.656423416 37.4859333603, -82.6563514177 37.4859647086, -82.6562765468 37.4859904847, -82.656038183 37.486025405, -82.6549202489 37.4860818662, -82.6548474646 37.486090659, -82.6547115676 37.4861244386, -82.6545902571 37.4861805876, -82.6544817534 37.486260433, -82.6544307236 37.4863099214, -82.654382794 37.4863594918, -82.6542937235 37.4864695287, -82.6541494084 37.486688849, -82.6540132365 37.4869858778, -82.6539810148 37.4870391613, -82.653938458 37.4870839275, -82.6538829252 37.4871256017, -82.6537495116 37.4871907738, -82.6529470438 37.4875548149, -82.6526725973 37.4876775344, -82.652522924 37.4877521669, -82.6523797968 37.4878352163, -82.6520067913 37.4880803597, -82.651844019 37.4881878948, -82.6517414464 37.4882742158, -82.6516702084 37.4883451519, -82.6515833136 37.4884607407, -82.6513651698 37.4887880241, -82.6512019468 37.4890469613, -82.6510601865 37.4892460107, -82.650789057 37.4895867286, -82.6504915161 37.4899322438, -82.6503660184 37.4900885793, -82.6502524742 37.4902477043, -82.6500195581 37.4906312029, -82.6498812001 37.4908973921, -82.6498413995 37.4909834495, -82.6497924421 37.4911236744, -82.6497828151 37.4911808522, -82.6497844844 37.4913062049, -82.6498150207 37.491425727, -82.6498462632 37.4914870099, -82.6498848191 37.4915465636, -82.6499508912 37.4916244325, -82.6499861831 37.4916547699, -82.6500703388 37.4917125079, -82.6501253116 37.4917422675, -82.6502558598 37.4917957377, -82.6503905615 37.4918322797, -82.6508092824 37.4919139882, -82.6511516189 37.4919997186, -82.6516331124 37.4921061684, -82.652258052 37.4922710974, -82.6529222108 37.4924301896, -82.6532196541 37.4925213647)"
"District 12","Floyd","12-04336.00","KY","1929","KY-1929","SAF-GUARDRAIL(P)","4.22","4.31","INSTALL GUARDRAIL ON KY-1929   IN FLOYD COUNTY","","2020","2026","C","GR","30000","2026","","","","036-KY-1929-000","LINESTRING (-82.7252684385 37.4390193816, -82.7252750901 37.4390761607, -82.7253026515 37.4392458712, -82.725401128 37.4397565082, -82.7254666666 37.4400516806, -82.7255310178 37.4402913153, -82.7255354072 37.4403056882)"
"District 12","Floyd","12-04355.00","KY","404","KY-404","SAF-GUARDRAIL(P)","0.0","0.54","INSTALL GUARDRAIL ON KY-404   IN FLOYD COUNTY","","2020","2026","C","GR","130000","2026","","","","036-KY-0404-000","LINESTRING (-82.904165685 37.602746042, -82.904029185 37.6027842199, -82.9038987175 37.6027821524, -82.9037832808 37.6027573686, -82.9036710287 37.6027126041, -82.9035490803 37.6026414996, -82.9033934959 37.6025289125, -82.9030594997 37.6022416347, -82.9028818299 37.6021106495, -82.9027237201 37.602027951, -82.9024226228 37.6018914953, -82.9021274899 37.6017436434, -82.9019068484 37.6016165606, -82.9017598076 37.6015154445, -82.9016428047 37.6014235752, -82.9015503484 37.6013399963, -82.9014962248 37.6012834521, -82.9013686319 37.6011165877, -82.9012847603 37.6010343159, -82.9011758958 37.6009643515, -82.9010468705 37.6009068121, -82.9008307733 37.6008413855, -82.9007599326 37.6008245516, -82.9006843199 37.6008150208, -82.9005153608 37.6008081673, -82.9004237064 37.6008117104, -82.9001326158 37.6008376087, -82.899821756 37.6008927008, -82.8996819193 37.600936838, -82.8995293932 37.60100567, -82.8992827969 37.6011409092, -82.8991861765 37.6011748297, -82.8991372103 37.6011818824, -82.8990851115 37.6011806157, -82.8990315607 37.6011721701, -82.8989807829 37.6011544494, -82.8989276364 37.6011265035, -82.8988809311 37.6010926701, -82.8988413068 37.6010543374, -82.89880911 37.6010024466, -82.898783601 37.6009292855, -82.898775475 37.6008711115, -82.8987775658 37.6008076893, -82.8988098983 37.6007301645, -82.8988370449 37.6006887845, -82.8988759102 37.6006479636, -82.89907402 37.6005252862, -82.8991447047 37.6004742479, -82.8992187826 37.6004068057, -82.8993218995 37.600293633, -82.8995282845 37.6000453094, -82.8996670027 37.5998593623, -82.8997293912 37.599754542, -82.899773238 37.599664932, -82.8997866537 37.5995943671, -82.8997777785 37.5995196874, -82.8997080823 37.5993561512, -82.8996151465 37.5991862804, -82.8995100076 37.5990194095, -82.8994681925 37.5989661862, -82.8994188905 37.5989191002, -82.8992079615 37.598737293, -82.8991361931 37.5986637139)"
"District 12","Floyd","12-04356.00","KY","404","KY-404","SAF-GUARDRAIL(P)","0.55","0.81","INSTALL GUARDRAIL ON KY-404   IN FLOYD COUNTY","","2020","2026","C","GR","70000","2026","","","","036-KY-0404-000","LINESTRING (-82.8990836011 37.5985263047, -82.8990806443 37.5984555769, -82.899098557 37.5983488499, -82.8991728613 37.5981225949, -82.8992196443 37.5980014583, -82.8992760142 37.5978824777, -82.8993424617 37.5977708861, -82.8994264369 37.5976704377, -82.8995291541 37.5975855566, -82.8997453553 37.5974501283, -82.8998331356 37.5973854927, -82.8998928428 37.5973234711, -82.8999623241 37.5972317364, -82.9000280178 37.5971127078, -82.9000590916 37.5970409234, -82.9000753795 37.5969764725, -82.9000801136 37.5969161365, -82.9000728872 37.5968524892, -82.9000260339 37.5967326479, -82.8999018731 37.5965216262, -82.8998598346 37.5964203113, -82.8998378507 37.5963093187, -82.8998472339 37.5961908443, -82.899929768 37.5957411218, -82.8999339207 37.5956329624, -82.8999078874 37.5955375329, -82.89984754 37.5954453906, -82.8997622462 37.5953553891, -82.8996046715 37.5952232399, -82.8994719768 37.595124497)"
"District 12","Floyd","12-04387.00","KY","3385","KY-3385","SAF-GUARDRAIL(P)","0.6","0.9","INSTALL GUARDRAIL ON KY-3385   IN FLOYD COUNTY","","2020","2026","C","GR","70000","2026","","","","036-KY-3385-000","LINESTRING (-82.6066942531 37.6358292272, -82.6067848867 37.6358698781, -82.6069600458 37.6359196384, -82.607136837 37.6359471839, -82.60731217 37.6359683694, -82.6075437113 37.6360086474, -82.6076573384 37.6360345003, -82.6078273796 37.6360827482, -82.6079942405 37.6361408038, -82.6081553789 37.6362116217, -82.6083049364 37.6362947693, -82.6084408913 37.636389095, -82.6085564539 37.636491667, -82.6087018472 37.6366568683, -82.6091143577 37.6371974544, -82.6093644559 37.637501484, -82.6094506607 37.6376282767, -82.609511932 37.6377563248, -82.6095554383 37.6378877453, -82.6097199363 37.6385813476, -82.6097816593 37.6389028672, -82.6097839049 37.6389167589)"
"District 12","Floyd","12-04390.00","KY","680","KY-680","SAF-GUARDRAIL(P)","10.07","10.33","INSTALL GUARDRAIL ON KY-680   IN FLOYD COUNTY","","2020","2026","C","GR","60000","2026","","","","036-KY-0680-000","LINESTRING (-82.6754943225 37.4825262314, -82.6753998518 37.4826009681, -82.6752339625 37.4827433522, -82.6746410851 37.4833045771, -82.6742668164 37.4836659943, -82.6726045585 37.4853024179, -82.6724564232 37.4854464194)"
"District 12","Floyd","12-04423.00","KY","1100","KY-1100","SAF-GUARDRAIL(P)","0.03","0.36","INSTALL GUARDRAIL ON KY-1100   IN FLOYD COUNTY","","2020","2026","C","GR","80000","2026","","","","036-KY-1100-000","LINESTRING (-82.8483127097 37.7248771969, -82.8482273863 37.7248154377, -82.8481728872 37.7247495192, -82.8481396521 37.7246706626, -82.8481242454 37.7245782316, -82.848103453 37.7241463215, -82.8480938538 37.7240380984, -82.8480837467 37.7239870154, -82.8480711877 37.7239366958, -82.8480331347 37.7238483769, -82.8479785284 37.7237764114, -82.8479099065 37.7237178372, -82.8478686045 37.7236948347, -82.8478269344 37.7236723721, -82.8477313501 37.7236397849, -82.8476205517 37.7236246821, -82.8475641664 37.7236246626, -82.8474542573 37.7236310146, -82.8472891318 37.7236516635, -82.8471768877 37.7236469657, -82.8470906136 37.7236151579, -82.8470597003 37.7235918621, -82.8470338737 37.7235623724, -82.8470121016 37.7235000102, -82.8470162493 37.7234382883, -82.8470556014 37.7232991253, -82.847080791 37.7231329595, -82.8470757779 37.7228635568, -82.847053769 37.7226747915, -82.8470295091 37.7225876377, -82.8469557536 37.7224305674, -82.8468868684 37.7223346164, -82.8468129648 37.7222607986, -82.8467556883 37.7222217391, -82.8466918471 37.7221913096, -82.8465207061 37.7221271774, -82.8461652878 37.7219634179, -82.8460408899 37.7219158283, -82.8457897668 37.7218359789, -82.8456612014 37.7217888357, -82.8453972195 37.7216575601, -82.8452360555 37.7215902141)"
"District 12","Floyd","12-04424.00","KY","1100","KY-1100","SAF-GUARDRAIL(P)","0.37","0.81","INSTALL GUARDRAIL ON KY-1100   IN FLOYD COUNTY","","2020","2026","C","GR","100000","2026","","","","036-KY-1100-000","LINESTRING (-82.8450793779 37.7215203485, -82.8450062729 37.7214824763, -82.8449208927 37.7214102967, -82.8448582771 37.7213309863, -82.8447962505 37.7212101998, -82.8446045824 37.7209815165, -82.8443962755 37.7207537955, -82.8443286511 37.7206875495, -82.8442443088 37.7206153954, -82.8440933857 37.7205121934, -82.8438308944 37.7204136479, -82.8434543394 37.7202952434, -82.8431322559 37.7201726914, -82.8429076776 37.7201130017, -82.8428081143 37.7200761905, -82.8424410687 37.7198830041, -82.8423379511 37.7198221994, -82.8422114297 37.7197407562, -82.8416320551 37.7193433722, -82.8412033553 37.7190642994, -82.8411013752 37.7190186343, -82.8409517388 37.7189797563, -82.8407912522 37.7189705603, -82.8405160787 37.7189750096, -82.8403240066 37.7189861878, -82.8398483623 37.7190483167, -82.8396984389 37.7190783996, -82.8391082695 37.7191676389, -82.8386659204 37.719280323, -82.8383699481 37.719329889)"
"District 12","Floyd","12-04425.00","KY","1428","KY-1428","SAF-GUARDRAIL(P)","9.25","9.36","INSTALL GUARDRAIL ON KY-1428   IN FLOYD COUNTY","","2020","2026","C","GR","30000","2026","","","","036-KY-1428-000","LINESTRING (-82.697398364 37.6434855934, -82.6977191354 37.6436046251, -82.6984858726 37.64387573, -82.6992253736 37.6441510386)"
