"DISTRICT","COUNTY","SYP_NO","ROUTE_PREFIX","ROUTE_NO","ROUTE","TYPE_WORK","BMP","EMP","DESCRIPTION","BRIDGE_ID","ENACT_INITIAL_YEAR","ENACT_YEAR","ENACT_PHASE","FUND_CODE","RSY_FUND","RSY_YEAR","LATEST_LETTING_DATE","AWARDED","NUMBER_OF_LETTINGS","RT_UNIQUE","GEOMETRY_WKT"
"District 04","Breckinridge","04-00159.00","KY","86","KY-86","RECONSTRUCTION","17.569","18.8","REALIGN KY 86 FROM JESSIE PRIEST ROAD TO EAST OF ROSETTA CORNERS. (2020CCR) ($2 MILLION CONGRESSIONAL EARMARK DEMO ID KY188) (2024CCR)","","2020","2026","C","CRP","8100000","2027","","","","014-KY-0086-000","LINESTRING (-86.3093276654 37.7811989345, -86.3089565317 37.7810372861, -86.3085092351 37.7808251882, -86.3079631448 37.7805435244, -86.3053358997 37.7791393445, -86.3046748144 37.7787931172, -86.3044763499 37.7786751319, -86.3042836918 37.7785469575, -86.3041932146 37.7784787231, -86.3041075509 37.7784063452, -86.3039527923 37.7782560201, -86.3038083516 37.7780974068, -86.3033938215 37.7774498232, -86.3031727855 37.7771350226, -86.302935924 37.7768321042, -86.3024803822 37.7762973154, -86.3022869491 37.7760639521, -86.302175154 37.775920289, -86.3020503622 37.7757505947, -86.3017319492 37.7752750318, -86.3016158913 37.7751162818, -86.301347845 37.7748058178, -86.3011940959 37.7746499906, -86.3008533883 37.7743390416, -86.3002473624 37.7738038504, -86.2998048143 37.7734296574, -86.2993931967 37.7730731697, -86.29906499 37.7728129664, -86.2988890253 37.7726929446, -86.2987007013 37.772585888, -86.2985048329 37.7724879298, -86.298303843 37.7723990585, -86.298095311 37.7723195605, -86.2978873703 37.7722732905, -86.2976676717 37.7722276246, -86.2972221573 37.7721514256, -86.2958189929 37.7719429013, -86.2947445118 37.7717789786, -86.2943974038 37.7717215372, -86.2941739174 37.7716778051, -86.2939590249 37.7716266173, -86.293753391 37.7715638507, -86.2936232685 37.7715128198, -86.2935590766 37.7714878487, -86.29337609 37.7713994353, -86.293204085 37.7712986108, -86.2930420128 37.771184009, -86.2928895376 37.7710570036, -86.2927477132 37.7709195118, -86.292491212 37.7706267399)"
"District 04","Breckinridge","04-08702.00","KY","79","KY-79","SAFETY(P)","15.812","16.692","ADDRESS SAFETY AND GEOMETRIC DEFICIENCIES ON KY 79 FROM KY 477 TO KY 144 (12CCN)(14CCR)(18CCN)(2020 CCR) (COMBINED W/ 4-8703) (2022CCR) (2024CCR)","","2012","2026","U","SPP","2430000","2029","","","","014-KY-0079-000","LINESTRING (-86.2845485434 37.8874908372, -86.2831332608 37.8893128968, -86.2827862349 37.8897750375, -86.2825715686 37.8900424092, -86.2816003899 37.8913224982, -86.2808412468 37.8923096809, -86.2807080094 37.8924805584, -86.2805722901 37.8926437565, -86.2804027023 37.8928202895, -86.2802466842 37.8929561147, -86.2801001193 37.8930570176, -86.2798823814 37.893188451, -86.2768042727 37.8948498228, -86.2730454414 37.8968670495, -86.2671867408 37.9000191393, -86.2666598178 37.9003021338, -86.2664578903 37.9004211139, -86.2662695275 37.9005469001, -86.2660982235 37.9006835969, -86.2659432988 37.9008331299, -86.2658002299 37.9009930476, -86.2651207947 37.9018240563, -86.2624699771 37.9050736106, -86.2601486973 37.9079391034, -86.2585194046 37.9099361779, -86.2549010775 37.9143879718, -86.2524639539 37.9173826079, -86.2519392606 37.9180206306, -86.2466377089 37.9245503611, -86.2441864091 37.9275470734, -86.2439006624 37.9279031033, -86.2437783367 37.9280689476, -86.2436778546 37.9282349751, -86.2435988765 37.9284020096, -86.2435407066 37.9285697824, -86.2434800301 37.9288295683, -86.2432777496 37.9300558462, -86.2430805841 37.9311662041, -86.2428337068 37.9326225383, -86.242820345 37.932698668, -86.2424037454 37.9351213333, -86.2417028266 37.9391163769, -86.2412132377 37.9413687901, -86.2406601032 37.9438746785, -86.239965752 37.9470562056, -86.2395860365 37.9487382812, -86.2392576254 37.9502616771, -86.2389360361 37.9516650275, -86.238896398 37.9518071786, -86.2388589238 37.9519097738)"
"District 04","Breckinridge","04-08702.00","KY","79","KY-79","SAFETY(P)","15.812","16.692","ADDRESS SAFETY AND GEOMETRIC DEFICIENCIES ON KY 79 FROM KY 477 TO KY 144 (12CCN)(14CCR)(18CCN)(2020 CCR) (COMBINED W/ 4-8703) (2022CCR) (2024CCR)","","2012","2026","R","SPP","4200000","2029","","","","014-KY-0079-000","LINESTRING (-86.2845485434 37.8874908372, -86.2831332608 37.8893128968, -86.2827862349 37.8897750375, -86.2825715686 37.8900424092, -86.2816003899 37.8913224982, -86.2808412468 37.8923096809, -86.2807080094 37.8924805584, -86.2805722901 37.8926437565, -86.2804027023 37.8928202895, -86.2802466842 37.8929561147, -86.2801001193 37.8930570176, -86.2798823814 37.893188451, -86.2768042727 37.8948498228, -86.2730454414 37.8968670495, -86.2671867408 37.9000191393, -86.2666598178 37.9003021338, -86.2664578903 37.9004211139, -86.2662695275 37.9005469001, -86.2660982235 37.9006835969, -86.2659432988 37.9008331299, -86.2658002299 37.9009930476, -86.2651207947 37.9018240563, -86.2624699771 37.9050736106, -86.2601486973 37.9079391034, -86.2585194046 37.9099361779, -86.2549010775 37.9143879718, -86.2524639539 37.9173826079, -86.2519392606 37.9180206306, -86.2466377089 37.9245503611, -86.2441864091 37.9275470734, -86.2439006624 37.9279031033, -86.2437783367 37.9280689476, -86.2436778546 37.9282349751, -86.2435988765 37.9284020096, -86.2435407066 37.9285697824, -86.2434800301 37.9288295683, -86.2432777496 37.9300558462, -86.2430805841 37.9311662041, -86.2428337068 37.9326225383, -86.242820345 37.932698668, -86.2424037454 37.9351213333, -86.2417028266 37.9391163769, -86.2412132377 37.9413687901, -86.2406601032 37.9438746785, -86.239965752 37.9470562056, -86.2395860365 37.9487382812, -86.2392576254 37.9502616771, -86.2389360361 37.9516650275, -86.238896398 37.9518071786, -86.2388589238 37.9519097738)"
"District 04","Breckinridge","04-08702.00","KY","79","KY-79","SAFETY(P)","15.812","16.692","ADDRESS SAFETY AND GEOMETRIC DEFICIENCIES ON KY 79 FROM KY 477 TO KY 144 (12CCN)(14CCR)(18CCN)(2020 CCR) (COMBINED W/ 4-8703) (2022CCR) (2024CCR)","","2012","2026","C","SPP","8700000","2030","","","","014-KY-0079-000","LINESTRING (-86.2845485434 37.8874908372, -86.2831332608 37.8893128968, -86.2827862349 37.8897750375, -86.2825715686 37.8900424092, -86.2816003899 37.8913224982, -86.2808412468 37.8923096809, -86.2807080094 37.8924805584, -86.2805722901 37.8926437565, -86.2804027023 37.8928202895, -86.2802466842 37.8929561147, -86.2801001193 37.8930570176, -86.2798823814 37.893188451, -86.2768042727 37.8948498228, -86.2730454414 37.8968670495, -86.2671867408 37.9000191393, -86.2666598178 37.9003021338, -86.2664578903 37.9004211139, -86.2662695275 37.9005469001, -86.2660982235 37.9006835969, -86.2659432988 37.9008331299, -86.2658002299 37.9009930476, -86.2651207947 37.9018240563, -86.2624699771 37.9050736106, -86.2601486973 37.9079391034, -86.2585194046 37.9099361779, -86.2549010775 37.9143879718, -86.2524639539 37.9173826079, -86.2519392606 37.9180206306, -86.2466377089 37.9245503611, -86.2441864091 37.9275470734, -86.2439006624 37.9279031033, -86.2437783367 37.9280689476, -86.2436778546 37.9282349751, -86.2435988765 37.9284020096, -86.2435407066 37.9285697824, -86.2434800301 37.9288295683, -86.2432777496 37.9300558462, -86.2430805841 37.9311662041, -86.2428337068 37.9326225383, -86.242820345 37.932698668, -86.2424037454 37.9351213333, -86.2417028266 37.9391163769, -86.2412132377 37.9413687901, -86.2406601032 37.9438746785, -86.239965752 37.9470562056, -86.2395860365 37.9487382812, -86.2392576254 37.9502616771, -86.2389360361 37.9516650275, -86.238896398 37.9518071786, -86.2388589238 37.9519097738)"
"District 04","Breckinridge","04-08902.00","KY","261","KY-261","AM-BRIDGE (P)","15.73","15.75","REPLACE LOW WATER STRUCTURE ON KY 261 AT MP 15.74. (18CCN)","","2016","2026","R","BRX","25000","2028","","","","014-KY-0261-000","LINESTRING (-86.4228767703 37.814919038, -86.4227758897 37.8149366822, -86.4226867879 37.8149605366, -86.4225261245 37.8150165092)"
"District 04","Breckinridge","04-08902.00","KY","261","KY-261","AM-BRIDGE (P)","15.73","15.75","REPLACE LOW WATER STRUCTURE ON KY 261 AT MP 15.74. (18CCN)","","2016","2026","D","BRX","100000","2028","","","","014-KY-0261-000","LINESTRING (-86.4228767703 37.814919038, -86.4227758897 37.8149366822, -86.4226867879 37.8149605366, -86.4225261245 37.8150165092)"
"District 04","Breckinridge","04-08902.00","KY","261","KY-261","AM-BRIDGE (P)","15.73","15.75","REPLACE LOW WATER STRUCTURE ON KY 261 AT MP 15.74. (18CCN)","","2016","2026","U","BRX","25000","2028","","","","014-KY-0261-000","LINESTRING (-86.4228767703 37.814919038, -86.4227758897 37.8149366822, -86.4226867879 37.8149605366, -86.4225261245 37.8150165092)"
"District 04","Breckinridge","04-08902.00","KY","261","KY-261","AM-BRIDGE (P)","15.73","15.75","REPLACE LOW WATER STRUCTURE ON KY 261 AT MP 15.74. (18CCN)","","2016","2026","C","BRX","400000","2028","","","","014-KY-0261-000","LINESTRING (-86.4228767703 37.814919038, -86.4227758897 37.8149366822, -86.4226867879 37.8149605366, -86.4225261245 37.8150165092)"
"District 04","Breckinridge","04-08904.00","KY","992","KY-992","MINOR WIDENING(O)","12.0","13.822","MINOR WIDENING OF KY 992 BETWEEN ROCK QUARRY AND US 60. (16CCN) (18CCN) (2024CCN)","","2016","2026","R","STP2","900000","2030","","","","014-KY-0992-000","LINESTRING (-86.5070723838 37.7698441076, -86.5058720477 37.7694562044, -86.5054252218 37.7693052732, -86.5052092112 37.7692261886, -86.5049965851 37.7691396666, -86.5047887187 37.7690448744, -86.5045856134 37.768941811, -86.5043876269 37.7688318487, -86.504018419 37.7685897801, -86.5033520805 37.7681161624, -86.5028144822 37.7677474566, -86.5025870801 37.7676019747, -86.5024468082 37.7675191046, -86.5022067793 37.7673907322, -86.5020038205 37.7673013959, -86.5017933714 37.7672239181, -86.5015733778 37.7671605076, -86.5013462705 37.7671119729, -86.5011117026 37.7670783165, -86.500871387 37.7670578798, -86.5006273866 37.7670492766, -86.5001326711 37.7670524345, -86.4976878893 37.7671103052, -86.4962946838 37.7671490947, -86.4960710526 37.7671705641, -86.4957801729 37.7672136069, -86.495567493 37.7672575266, -86.49529321 37.7673339707, -86.4950243026 37.7674290556, -86.4948268896 37.7675118777, -86.4946326673 37.7676023688, -86.4944423547 37.7677032723, -86.4942101908 37.7678398688, -86.4938911903 37.7680459521, -86.4925282018 37.7689611857, -86.4878942118 37.7721015853, -86.487482376 37.7723700295, -86.4871102998 37.7726008705, -86.4869200648 37.7727119234, -86.4866788349 37.7728444426, -86.4863359777 37.7730218158, -86.4861362632 37.7731191941, -86.484598836 37.7738041711, -86.483242804 37.7743957155, -86.4818744598 37.7750040743, -86.4803478141 37.7756675059, -86.4794841036 37.7760485869, -86.4787820384 37.7763657655, -86.4784553225 37.7764990724)"
"District 04","Breckinridge","04-08904.00","KY","992","KY-992","MINOR WIDENING(O)","12.0","13.822","MINOR WIDENING OF KY 992 BETWEEN ROCK QUARRY AND US 60. (16CCN) (18CCN) (2024CCN)","","2016","2026","U","STP2","900000","2030","","","","014-KY-0992-000","LINESTRING (-86.5070723838 37.7698441076, -86.5058720477 37.7694562044, -86.5054252218 37.7693052732, -86.5052092112 37.7692261886, -86.5049965851 37.7691396666, -86.5047887187 37.7690448744, -86.5045856134 37.768941811, -86.5043876269 37.7688318487, -86.504018419 37.7685897801, -86.5033520805 37.7681161624, -86.5028144822 37.7677474566, -86.5025870801 37.7676019747, -86.5024468082 37.7675191046, -86.5022067793 37.7673907322, -86.5020038205 37.7673013959, -86.5017933714 37.7672239181, -86.5015733778 37.7671605076, -86.5013462705 37.7671119729, -86.5011117026 37.7670783165, -86.500871387 37.7670578798, -86.5006273866 37.7670492766, -86.5001326711 37.7670524345, -86.4976878893 37.7671103052, -86.4962946838 37.7671490947, -86.4960710526 37.7671705641, -86.4957801729 37.7672136069, -86.495567493 37.7672575266, -86.49529321 37.7673339707, -86.4950243026 37.7674290556, -86.4948268896 37.7675118777, -86.4946326673 37.7676023688, -86.4944423547 37.7677032723, -86.4942101908 37.7678398688, -86.4938911903 37.7680459521, -86.4925282018 37.7689611857, -86.4878942118 37.7721015853, -86.487482376 37.7723700295, -86.4871102998 37.7726008705, -86.4869200648 37.7727119234, -86.4866788349 37.7728444426, -86.4863359777 37.7730218158, -86.4861362632 37.7731191941, -86.484598836 37.7738041711, -86.483242804 37.7743957155, -86.4818744598 37.7750040743, -86.4803478141 37.7756675059, -86.4794841036 37.7760485869, -86.4787820384 37.7763657655, -86.4784553225 37.7764990724)"
